Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      34.9354   0.00235745   0.00146614   0.00235745  0.000993619  6.37837e-26  7.77977e-12  9.33542e-12  4.02019e-09
      34.8153   0.00283053   0.00176037   0.00283053   0.00119306  7.75757e-26  9.42892e-12  1.13073e-11  4.84921e-09
      34.6953   0.00339836   0.00211353   0.00339836   0.00143244  9.43495e-26  1.14272e-11  1.36955e-11  5.84862e-09
      34.5752   0.00407988   0.00253741   0.00407988   0.00171977   1.1475e-25  1.38491e-11  1.65879e-11  7.05612e-09
      34.4551   0.00489779   0.00304613   0.00489779   0.00206462   1.3956e-25  1.67844e-11  2.00909e-11  8.51217e-09
       34.335   0.00587936   0.00365663   0.00587936   0.00247848  1.69733e-25  2.03406e-11  2.43331e-11  1.02692e-08
      34.2149   0.00705725   0.00438925   0.00705725   0.00297513  2.06429e-25  2.46504e-11  2.94711e-11  1.23888e-08
      34.0949   0.00847064   0.00526836   0.00847064   0.00357111  2.51057e-25  2.98729e-11   3.5693e-11  1.49435e-08
      33.9748    0.0101665   0.00632319    0.0101665   0.00428622  3.05332e-25  3.62013e-11   4.3228e-11  1.80223e-08
      33.8547    0.0122012   0.00758877    0.0122012   0.00514426  3.71339e-25   4.3871e-11  5.23525e-11  2.17372e-08
      33.7346    0.0146424   0.00910715    0.0146424   0.00617371  4.51615e-25  5.31629e-11  6.34029e-11  2.62121e-08
      33.6145    0.0175709    0.0109287    0.0175709   0.00740874  5.49241e-25  6.44227e-11  7.67842e-11  3.16067e-08
      33.4944    0.0210839    0.0131138    0.0210839   0.00889032  6.67968e-25  7.80669e-11  9.29888e-11  3.81059e-08
      33.3744    0.0252977    0.0157349    0.0252977    0.0106676  8.12355e-25  9.45977e-11  1.12611e-10  4.59343e-08
      33.2543     0.030352    0.0188788     0.030352    0.0127994  9.87947e-25  1.14632e-10  1.36372e-10  5.53601e-08
      33.1342     0.036414    0.0226496     0.036414    0.0153563  1.20149e-24  1.38903e-10  1.65144e-10  6.67349e-08
      33.0141    0.0436841    0.0271718    0.0436841    0.0184229  1.46118e-24  1.68309e-10   1.9998e-10  8.04409e-08
       32.894    0.0524025    0.0325951    0.0524025    0.0221006  1.77698e-24  2.03943e-10  2.42167e-10  9.69838e-08
      32.7739    0.0628572    0.0390984    0.0628572    0.0265108  2.16103e-24  2.47113e-10  2.93244e-10  1.16939e-07
      32.6539    0.0753931    0.0468965    0.0753931    0.0317993  2.62807e-24  2.99425e-10  3.55094e-10  1.40993e-07
      32.5338    0.0904235    0.0562464    0.0904235    0.0381403  3.19603e-24  3.62805e-10  4.29974e-10  1.69938e-07
      32.4137     0.108444    0.0674562     0.108444    0.0457431   3.8867e-24  4.39579e-10  5.20639e-10  2.04877e-07
      32.2936     0.130047    0.0808953     0.130047    0.0548579  4.72662e-24  5.32607e-10  6.30408e-10  2.46918e-07
      32.1735     0.155945    0.0970057     0.155945     0.065785  5.74802e-24  6.45309e-10  7.63317e-10  2.97668e-07
      32.0534     0.186988     0.116317     0.186988    0.0788837  6.99011e-24  7.81844e-10  9.24221e-10  3.58774e-07
      31.9334     0.224197     0.139465     0.224197    0.0945846  8.50056e-24  9.47288e-10  1.11903e-09  4.32395e-07
