Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      34.9354   0.00235745   0.00146614   0.00235745  0.000993619  3.25929e-07  2.40573e-07  2.47875e-07  1.84663e-07
      34.8153   0.00283053   0.00176037   0.00283053   0.00119306  3.96405e-07   2.9157e-07  3.00233e-07  2.22742e-07
      34.6953   0.00339836   0.00211353   0.00339836   0.00143244  4.82118e-07  3.53364e-07  3.63646e-07   2.6863e-07
      34.5752   0.00407988   0.00253741   0.00407988   0.00171977   5.8636e-07  4.28254e-07  4.40445e-07  3.24065e-07
      34.4551   0.00489779   0.00304613   0.00489779   0.00206462  7.13138e-07  5.19022e-07  5.33456e-07  3.90927e-07
       34.335   0.00587936   0.00365663   0.00587936   0.00247848  8.67321e-07  6.28991e-07  6.46097e-07  4.71616e-07
      34.2149   0.00705725   0.00438925   0.00705725   0.00297513  1.05483e-06  7.62264e-07  7.82521e-07  5.68966e-07
      34.0949   0.00847064   0.00526836   0.00847064   0.00357111  1.28288e-06  9.23758e-07  9.47726e-07  6.86389e-07
      33.9748    0.0101665   0.00632319    0.0101665   0.00428622  1.56022e-06  1.11945e-06   1.1478e-06  8.27863e-07
      33.8547    0.0122012   0.00758877    0.0122012   0.00514426  1.89751e-06  1.35662e-06  1.39007e-06  9.98435e-07
      33.7346    0.0146424   0.00910715    0.0146424   0.00617371  2.30771e-06  1.64395e-06  1.68348e-06  1.20415e-06
      33.6145    0.0175709    0.0109287    0.0175709   0.00740874  2.80657e-06  1.99214e-06  2.03879e-06  1.45196e-06
      33.4944    0.0210839    0.0131138    0.0210839   0.00889032  3.41326e-06  2.41406e-06  2.46905e-06  1.75077e-06
      33.3744    0.0252977    0.0157349    0.0252977    0.0106676  4.15106e-06  2.92524e-06  2.99007e-06  2.11064e-06
      33.2543     0.030352    0.0188788     0.030352    0.0127994  5.04832e-06  3.54475e-06  3.62098e-06  2.54409e-06
      33.1342     0.036414    0.0226496     0.036414    0.0153563  6.13949e-06   4.2953e-06  4.38492e-06  3.06622e-06
      33.0141    0.0436841    0.0271718    0.0436841    0.0184229  7.46648e-06  5.20461e-06  5.30991e-06  3.69633e-06
       32.894    0.0524025    0.0325951    0.0524025    0.0221006  9.08023e-06  6.30652e-06  6.43005e-06  4.45561e-06
      32.7739    0.0628572    0.0390984    0.0628572    0.0265108  1.10427e-05  7.64147e-06  7.78627e-06  5.37246e-06
      32.6539    0.0753931    0.0468965    0.0753931    0.0317993  1.34292e-05  9.25909e-06  9.42852e-06  6.47744e-06
      32.5338    0.0904235    0.0562464    0.0904235    0.0381403  1.63314e-05   1.1219e-05  1.14167e-05   7.8092e-06
      32.4137     0.108444    0.0674562     0.108444    0.0457431  1.98607e-05  1.35931e-05  1.38241e-05   9.4128e-06
      32.2936     0.130047    0.0808953     0.130047    0.0548579  2.41526e-05  1.64698e-05  1.67387e-05  1.13475e-05
      32.1735     0.155945    0.0970057     0.155945     0.065785  2.93719e-05  1.99549e-05  2.02677e-05  1.36764e-05
      32.0534     0.186988     0.116317     0.186988    0.0788837  3.57188e-05  2.41769e-05  2.45401e-05  1.64852e-05
      31.9334     0.224197     0.139465     0.224197    0.0945846  4.34371e-05  2.92929e-05  2.97126e-05  1.98702e-05
      31.8133     0.268793     0.167208     0.268793     0.113403  5.28229e-05  3.54896e-05  3.59748e-05  2.39415e-05
      31.6932     0.322239     0.200457     0.322239     0.135958  6.42365e-05  4.29966e-05  4.35559e-05  2.88414e-05
      31.5731     0.386287     0.240302     0.386287     0.162988  7.81158e-05  5.20914e-05   5.2734e-05  3.47472e-05
       31.453     0.463036     0.288049     0.463036     0.195379  9.49935e-05  6.31085e-05  6.38445e-05  4.18538e-05
       31.333     0.554997     0.345261     0.554997     0.234192  0.000115517  7.64566e-05  7.72959e-05   5.0433e-05
      31.2129     0.665179     0.413809     0.665179     0.280698  0.000140474  9.26236e-05  9.35777e-05  6.07784e-05
      31.0928     0.797182     0.495934     0.797182     0.336416  0.000170821  0.000112208  0.000113289  7.32486e-05
      30.9727     0.955318     0.594318     0.955318     0.403168  0.000207724  0.000135934  0.000137148  8.82834e-05
      30.8526      1.14475     0.712173      1.14475     0.483133  0.000252597  0.000164669  0.000166033  0.000106399
      30.7325      1.37165      0.85334      1.37165     0.578918  0.000307162  0.000199482  0.000200996  0.000128229
      30.6125      1.64341      1.02242      1.64341     0.693649  0.000373512   0.00024165   0.00024332   0.00015454
      30.4924      1.96888      1.22492      1.96888      0.83106  0.000454193   0.00029272  0.000294547  0.000186247
      30.3723      2.35864      1.46743      2.35864     0.995625  0.000552298  0.000354587  0.000356555  0.000224433
      30.2522      2.82537      1.75782      2.82537      1.19269  0.000671592   0.00042951  0.000431607  0.000270353
      30.1321      3.38423      2.10554      3.38423      1.42867  0.000816649  0.000520275  0.000522449  0.000325715
       30.012      4.05334      2.52187      4.05334      1.71122   0.00099303  0.000630214  0.000632416  0.000392221
       29.892       4.8544       3.0203       4.8544       2.0495    0.0012075  0.000763335  0.000765501  0.000472409
      29.7719      5.81336      3.61698      5.81336      2.45448   0.00146828  0.000924596  0.000926597  0.000568934
      29.6518      6.96126      4.33124      6.96126      2.93928   0.00178537   0.00111989   0.00112155  0.000685244
      29.5317      8.33523      5.18617      8.33523      3.51958   0.00217093   0.00135642   0.00135752   0.00082523
      29.4116      9.97966       6.2094      9.97966      4.21415   0.00263973   0.00164294   0.00164307  0.000994252
      29.2916      11.9476      7.43398      11.9476      5.04541   0.00320975   0.00198987   0.00198871   0.00119757
      29.1715      14.3027      8.89941      14.3027      6.04021   0.00390284   0.00241003   0.00240698   0.00144283
      29.0514      17.1206      10.6529      17.1206      7.23062   0.00474555    0.0029189   0.00291315    0.0017378
      28.9313      20.4922       12.751      20.4922        8.655    0.0057702   0.00353512   0.00352568   0.00209314
      28.8112       24.526      15.2612       24.526      10.3592   0.00701606   0.00428155     0.004267   0.00251982
      28.6911      29.3516      18.2641      29.3516       12.398   0.00853089   0.00518531   0.00516407   0.00303483
      28.5711       35.124      21.8562       35.124       14.837    0.0103727   0.00627965   0.00624954   0.00365318
       28.451      42.0284      26.1528      42.0284      17.7544    0.0126122   0.00760515   0.00756313   0.00439782
      28.3309       50.286      31.2917       50.286      21.2438     0.015335   0.00921008   0.00915255   0.00529252
      28.2108      60.1615      37.4374      60.1615      25.4171    0.0186456    0.0111536    0.0110759   0.00636805
      28.0907      71.9707      44.7866      71.9707      30.4078    0.0226707    0.0135072    0.0134028   0.00765962
      27.9706      86.0913      53.5744      86.0913      36.3757    0.0275646    0.0163565    0.0162189   0.00921704
      27.8506      102.974      64.0813      102.974      43.5112    0.0335148    0.0198073    0.0196261    0.0110898
      27.7305      123.158      76.6426      123.158      52.0425    0.0407491    0.0239851    0.0237485    0.0133495
      27.6104      147.286       91.659      147.286      62.2414    0.0495446    0.0290441    0.0287359    0.0160726
      27.4903      176.126      109.608      176.126      74.4332    0.0602381    0.0351706    0.0347707    0.0193507
      27.3702      210.597      131.062      210.597      89.0055    0.0732394    0.0425861    0.0420719    0.0232881
      27.2501      251.793      156.702      251.793      106.422    0.0890463    0.0515659    0.0509049    0.0280318
      27.1301      301.023      187.343      301.023      127.237     0.108264    0.0624378    0.0615924    0.0337396
        27.01      359.848      223.956      359.848      152.109     0.131629    0.0756003    0.0745224    0.0406092
      26.8899      430.133      267.702      430.133      181.829     0.160036    0.0915396    0.0901654    0.0488812
      26.7698      514.101      319.966      514.101      217.337     0.194573     0.110832     0.109087    0.0588248
      26.6497      614.409      382.401      614.409      259.756     0.236561     0.134191      0.13198    0.0707345
      26.5297      734.225       456.98      734.225      310.429     0.287608      0.16247     0.159672    0.0850816
      26.4096      877.329      546.055      877.329      370.954     0.349669     0.196701     0.193179     0.102318
      26.2895      1048.23      652.436      1048.23      443.241     0.425119     0.238154     0.233704     0.123067
      26.1694      1252.32      779.474      1252.32      529.569     0.516845     0.288327      0.28273     0.148094
      26.0493      1496.01      931.163      1496.01      632.654     0.628357     0.349056     0.342031     0.178242
      25.9292      1786.96      1112.27      1786.96      755.738     0.763925     0.422588     0.413768      0.21447
      25.8092      2134.29      1328.49      2134.29      902.687     0.928735     0.511587     0.500535     0.258177
      25.6891      2548.91      1586.59      2548.91      1078.11       1.1291     0.619341     0.605489     0.310636
       25.569       3043.8      1894.67       3043.8      1287.51      1.37267     0.749773     0.732441     0.373791
      25.4489      3634.43      2262.35      3634.43      1537.44      1.66879     0.907621     0.885975     0.449745
      25.3288      4339.27      2701.14      4339.27      1835.71      2.02877      1.09873      1.07169     0.541216
      25.2087      5180.31      3224.73      5180.31      2191.64      2.46641      1.33003      1.29627     0.650885
      25.0887      6183.78      3849.44      6183.78      2616.34      2.99842      1.60999      1.56795     0.782871
      24.9686      7380.92      4594.74      7380.92      3123.05      3.64518      1.94897      1.89646     0.941063
      24.8485      8808.96       5483.8      8808.96      3727.52      4.43142       2.3591      2.29378      1.13107
      24.7284      10512.3      6544.26      10512.3      4448.57       5.3872      2.85551      2.77423      1.35935
      24.6083      12543.7      7809.03      12543.7      5308.56      6.54908      3.45641      3.35534      1.63397
      24.4883      14966.3      9317.33      14966.3      6334.21      7.96152      4.18361      4.05797      1.96324
      24.3682      17854.9      11115.8      17854.9      7557.23      9.67848      5.06393      4.90772       2.3599
      24.2481      21298.9      13260.1      21298.9      9015.55      11.7657      6.12907      5.93527      2.83706
       24.128      25404.6      15816.5      25404.6      10754.1      14.3028      7.41821      7.17784      3.41104
      24.0079      30298.7      18863.8      30298.7      12826.8      17.3871       8.9786      8.68032       4.1012
      23.8878      36131.8      22495.9      36131.8      15297.2      21.1362      10.8664      10.4969      4.93075
      23.7678      43083.5      26824.5      43083.5      18241.6      25.6936      13.1517      12.6938      5.92486
      23.6477      51367.3      31982.6      51367.3      21750.4      31.2336      15.9168      15.3499      7.11968
      23.5276      61237.4      38128.7      61237.4      25931.5      37.9681      19.2625      18.5619      8.55664
      23.4075      72996.1      45450.8      72996.1      30912.9      46.1543      23.3119      22.4449      10.2793
      23.2874      87003.3      54173.3      87003.3      36847.5      56.1052      28.2109      27.1407      12.3471
      23.1673       103687      64562.9       103687      43916.4       68.201      34.1405      32.8169      14.8293
      23.0473       123557      76936.3       123557      52335.9      82.9041      41.3154      39.6806      17.7956
      22.9272       147218      91671.1       147218      62362.5      100.776      49.9946      47.9784      21.3652
      22.8071       175390       109216       175390        74302      122.501      60.4991      58.0109      25.6584
       22.687       208930       130103       208930      88517.2      148.907      73.2067      70.1395      30.8198
      22.5669       248856       154969       248856       105440      181.004      88.5832      84.8009      37.0514
      22.4468       296377       184565       296377       125584      220.018      107.193      102.527      44.5414
      22.3268       352931       219787       352931       149560      267.439      129.703      123.953      53.5291
      22.2067       420229       261702       420229       178091       325.08      156.937       149.86      64.3181
      22.0866       500299       311572       500299       212042      395.142      189.889      181.171      77.2817
      21.9665       595556       370902       595556       252433      480.302      229.752      219.025      92.8563
