T1,L1,T2,L2,T3,L3,T4,L4
1756.067645,107.8352885,1016.151596,135348.5897,1016.515146,954944.4367,1017.180707,34150657.13
1787.472282,148.8319325,1076.870897,188400.2649,1083.606382,1238930.02,1087.407066,32547453.3
1815.90826,203.3506384,1131.909624,255300.4335,1150.701982,1645514.89,1157.632552,30874340.32
1841.859637,275.5596238,1177.107541,336267.4055,1217.795662,2163091.323,1227.858474,29356008.04
1867.809147,369.6818466,1223.894564,464789.8519,1284.89231,2889180.158,1298.084397,27912344.01
1899.438905,508.5508917,1275.032395,633456.3311,1355.177805,3783710.008,1368.310756,26601998.01
1931.423574,700.287647,1326.168427,855017.1947,1425.460682,4885952.534,1438.537987,25472377.23
1963.404882,947.0545792,1377.301157,1133782.048,1495.736576,6076905.129,1508.766092,24505409.96
1997.998007,1279.125924,1431.625602,1496982.775,1566.007015,7339774.384,1578.994415,23602814.06
2031.139269,1720.960265,1492.333614,1961082.397,1636.272435,8629162.4,1649.22492,23001638.91
2071.379598,2310.821831,1559.423846,2530589.2,1706.533272,9898260.726,1719.453024,22128464.34
2111.21918,3121.388677,1629.699522,3143732.209,1776.787562,10961489.84,1789.690076,22337050.33
2151.50548,4137.528206,1699.968651,3770421.373,1847.043505,12247207.27,1859.922108,21947550.02
2191.20047,5548.784829,1770.233198,4412030.919,1904.524561,13332945.24,1930.151615,21274149.8
2238.345559,7477.488244,1840.492726,5025426.019,2000.325384,15283556.92,2000.388703,21478872.17
2289.48009,10011.80409,1910.751381,5697311.265,2070.572598,16293680.17,2070.627308,21863141.87
2343.806302,13345.15534,1981.009599,6443893.792,2140.818495,17248043.48,2140.864453,22080251.53
2401.32596,17877.78356,2051.268036,7296861.762,2211.059867,17819567.31,2211.102845,22449582.57
2458.843486,23676.83867,2121.524945,8195182.608,2281.300461,18333330.59,2285.765331,23282240.86
2516.359944,31177.67703,2191.780109,9118147.322,2351.535243,18281729.2,2351.588077,24284691.98
2577.069663,41219.88668,2262.03309,10026777.8,2421.777046,18931404.36,2421.837303,26171160.34
2644.164565,54542.12007,2332.28498,10961489.84,2492.01145,18839859.05,2492.07652,26727081.01
2714.448751,70928.26312,2402.535561,11899312.49,2562.250237,19195635.28,2562.3199,27912344.01
2784.729664,90628.93151,2472.784833,12826797.67,2632.491413,19810962.62,2632.555642,27977889.18
2855.007304,113782.2767,2543.032795,13729626.04,2702.723788,19501385.59,2702.790948,27977889.18
2925.282325,140854.4456,2613.279884,14627223.56,2772.964326,20057500.43,2773.030399,28608296.24
2995.557128,174163.5144,2683.525571,15466459.21,2834.422409,20294999.63,2843.263523,28274752.42
3065.829531,212589.2496,2753.770759,16310067.02,2938.979491,20542119.41,2913.498953,28293661.83
3136.098879,255267.1686,2824.012424,16877135.52,3009.222965,21463917.92,2983.736971,28709124.54
3206.365826,302584.1129,2894.25144,17216986.92,3079.466126,22389503.32,3053.980351,29982285.01
3276.630591,354490.09,2964.489582,17481483.64,3149.70324,22608123.96,3124.210638,29184375.61
3346.89361,411422.017,3034.731216,18086249.6,3219.94902,23917281.03,3194.448032,29513765.28
3417.155102,473593.4974,3104.971323,18558955.22,3290.190766,24759619.93,3264.68605,29947143.93
3487.415721,542608.583,3175.207501,18646219.71,3360.43606,26124973.38,3334.92427,30419946.63
3557.675467,618771.5168,3245.444771,18844067.98,3430.677395,26985342.87,3405.159592,30422494.95
3627.933685,699856.0813,3315.682477,19088735.67,3500.922535,28449931.22,3479.814389,30273776.79
3698.190813,786938.1056,3385.916754,18983476.38,3571.156851,28299079.61,3539.669373,30182992.85
3768.446194,876592.728,3456.150906,18866180.3,3641.394659,28682202.3,3615.870226,31203642.02
3838.700703,971891.711,3526.386523,18897791.79,3711.631012,28844115.29,3686.117336,33247279.93
3908.954339,1072508.195,3596.624354,19156012.83,3781.867627,29047792.45,3756.352025,33137214.2
3979.207538,1180768.405,3666.862341,19433996.19,3852.104024,29218621.63,3826.602288,35910872.51
4049.459647,1292356.218,3737.098239,19495972.09,3922.33933,29218621.63,3896.845263,37421905.35
4119.711101,1409521.791,3807.334916,19640203.27,3992.576163,29459471.61,3967.09017,39403600.14
4189.961245,1526530.346,3877.571095,19732551.81,4062.813651,29806991,4037.326567,39635331.52
4260.210953,1649378.971,3947.804873,19571225.61,4133.050266,30017467.32,4107.568637,41102795.84
4330.45957,1771694.645,4018.045603,20150155.18,4203.285354,29982285.01,4177.810053,42474891.45
4400.708187,1903081.08,4088.279447,19992492.58,4273.522623,30300416.16,4248.047977,43076865.85
4470.956368,2039421.879,4158.514749,19992096.55,4343.76142,30874340.32,4318.291357,44987191
4541.20433,2182968.849,4228.752289,20233606.93,4413.99869,31201936.74,4388.526881,45039980.62
4611.451201,2322958.285,4298.986265,20089457.12,4484.236178,31570011.17,4458.766613,46124294.44
4681.697199,2460356.33,4368.161494,20536417.01,4554.470393,31385434.38,4529.00513,46927167.07
4751.94298,2602826.925,4439.463204,20784445.04,4624.708753,31904989.1,4599.243958,47824013.21
4822.18876,2753547.492,4509.69717,20635259.56,4694.943186,31755673.44,4669.480978,48266741.17
4892.433885,2902765.127,4579.934699,20883356.64,4765.179801,31979910.01,4739.719994,49238678.61
4959.486759,3064378.486,4649.106972,21011509.28,4835.414452,31867594.5,4809.955081,49180967.85
,,4720.406256,20989754.13,4905.652813,32395130.9,4880.191042,49354303.36
,,4790.644706,21347460.25,4969.504158,32581399.87,4945.283961,49090357.54
,,4864.807305,21124339.57,,,4988.734987,48950800.44
,,4928.986825,21330220.73,,,,
,,4982.195004,21286025.24,,,,
