Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  5.39586e-18  1.25502e-27
  210  8.60812e-18  5.56373e-27
  220  1.34468e-17  2.20089e-26
  230  2.05764e-17  7.86684e-26
  240    3.086e-17  2.56801e-25
  250  4.53925e-17  7.72619e-25
  260  6.55347e-17  2.15954e-24
  270  9.29452e-17  5.64693e-24
  280   1.2961e-16   1.3899e-23
  290  1.77872e-16   3.2377e-23
  300  2.40451e-16   7.1724e-23
  310  3.20465e-16  1.51753e-22
  320   4.2145e-16  3.07838e-22
  330  5.47364e-16  6.00775e-22
  340  7.02602e-16  1.13149e-21
  350  8.91995e-16  2.06225e-21
  360  1.12081e-15  3.64647e-21
  370  1.39476e-15  6.26943e-21
  380  1.71996e-15  1.05026e-20
  390  2.10297e-15  1.71745e-20
  400  2.55075e-15  2.74616e-20
  410  3.07064e-15  4.30017e-20
  420  3.67037e-15  6.60352e-20
  430  4.35803e-15   9.9575e-20
  440  5.14206e-15  1.47611e-19
  450  6.03122e-15  2.15352e-19
  460  7.03458e-15  3.09506e-19
  470  8.16151e-15  4.38606e-19
  480  9.42164e-15  6.13377e-19
  490  1.08249e-14  8.47158e-19
  500  1.23813e-14  1.15637e-18
  510  1.41013e-14  1.56101e-18
  520  1.59954e-14  2.08528e-18
  530  1.80744e-14  2.75813e-18
  540  2.03491e-14  3.61401e-18
  550  2.28306e-14  4.69352e-18
  560  2.55302e-14  6.04426e-18
  570  2.84591e-14  7.72161e-18
  580  3.16289e-14  9.78961e-18
  590   3.5051e-14  1.23219e-17
  600  3.87372e-14  1.54027e-17
  610  4.26991e-14  1.91277e-17
  620  4.69487e-14  2.36053e-17
  630  5.14978e-14  2.89576e-17
  640  5.63582e-14  3.53215e-17
  650  6.15421e-14  4.28497e-17
  660  6.70615e-14  5.17122e-17
  670  7.29283e-14  6.20973e-17
  680  7.91548e-14  7.42128e-17
  690   8.5753e-14  8.82874e-17
  700  9.27351e-14  1.04572e-16
  800  1.86342e-13  4.62379e-16
  900  3.31649e-13  1.52913e-15
 1000  5.40477e-13  4.11321e-15
 1100  8.24143e-13  9.49684e-15
 1200  1.19333e-12  1.95135e-14
 1300  1.65799e-12  3.65934e-14
 1400  2.22731e-12  6.37798e-14
 1500  2.90975e-12   1.0472e-13
 1600  3.71301e-12  1.63637e-13
 1700  4.64409e-12  2.45293e-13
 1800  5.70937e-12  3.54935e-13
 1900  6.91459e-12  4.98246e-13
 2000    8.265e-12  6.81294e-13
 2100  9.76533e-12  9.10475e-13
 2200  1.14198e-11  1.19246e-12
 2300  1.32325e-11  1.53417e-12
 2400  1.52067e-11  1.94269e-12
 2500  1.73457e-11  2.42529e-12
 2600  1.96525e-11  2.98932e-12
 2700  2.21296e-11  3.64225e-12
 2800  2.47796e-11  4.39161e-12
 2900  2.76046e-11  5.24494e-12
 3000  3.06066e-11  6.20981e-12
 3100  3.37875e-11  7.29381e-12
 3200   3.7149e-11   8.5045e-12
 3300  4.06927e-11  9.84939e-12
 3400  4.44199e-11   1.1336e-11
 3500   4.8332e-11  1.29717e-11
 3600  5.24303e-11   1.4764e-11
 3700  5.67158e-11  1.67201e-11
 3800  6.11896e-11  1.88473e-11
 3900  6.58527e-11  2.11529e-11
