Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200   6.9396e-18  1.25412e-27
  210   1.0939e-17  5.55992e-27
  220  1.69028e-17  2.19945e-26
  230  2.56089e-17  7.86192e-26
  240   3.8059e-17  2.56647e-25
  250  5.55141e-17  7.72174e-25
  260  7.95294e-17  2.15835e-24
  270  1.11988e-16  5.64392e-24
  280  1.55129e-16  1.38919e-23
  290  2.11577e-16  3.23609e-23
  300  2.84364e-16  7.16897e-23
  310  3.76947e-16  1.51683e-22
  320  4.93221e-16  3.07699e-22
  330  6.37532e-16  6.00513e-22
  340  8.14681e-16  1.13101e-21
  350  1.02992e-15   2.0614e-21
  360  1.28896e-15  3.64501e-21
  370  1.59796e-15  6.26699e-21
  380   1.9635e-15  1.04986e-20
  390  2.39261e-15  1.71682e-20
  400  2.89271e-15  2.74517e-20
  410  3.47162e-15  4.29866e-20
  420  4.13756e-15  6.60126e-20
  430  4.89908e-15  9.95416e-20
  440   5.7651e-15  1.47563e-19
  450  6.74483e-15  2.15283e-19
  460  7.84781e-15   3.0941e-19
  470  9.08385e-15  4.38472e-19
  480   1.0463e-14  6.13193e-19
  490  1.19956e-14  8.46909e-19
  500  1.36923e-14  1.15603e-18
  510  1.55636e-14  1.56057e-18
  520  1.76207e-14   2.0847e-18
  530  1.98746e-14  2.75738e-18
  540  2.23366e-14  3.61304e-18
  550   2.5018e-14  4.69229e-18
  560  2.79306e-14  6.04271e-18
  570  3.10859e-14  7.71966e-18
  580  3.44956e-14  9.78718e-18
  590  3.81718e-14  1.23189e-17
  600  4.21262e-14   1.5399e-17
  610   4.6371e-14  1.91232e-17
  620  5.09182e-14  2.35999e-17
  630    5.578e-14   2.8951e-17
  640  6.09685e-14  3.53135e-17
  650  6.64959e-14  4.28402e-17
  660  7.23746e-14  5.17009e-17
  670  7.86167e-14   6.2084e-17
  680  8.52347e-14  7.41971e-17
  690  9.22407e-14   8.8269e-17
  700  9.96472e-14   1.0455e-16
  800   1.9844e-13  4.62296e-16
  900  3.50721e-13  1.52888e-15
 1000   5.6837e-13  4.11262e-15
 1100  8.62721e-13   9.4956e-15
 1200  1.24443e-12  1.95111e-14
 1300  1.72342e-12  3.65894e-14
 1400  2.30883e-12  6.37733e-14
 1500  3.00903e-12   1.0471e-13
 1600  3.83165e-12  1.63623e-13
 1700  4.78362e-12  2.45272e-13
 1800  5.87123e-12  3.54906e-13
 1900  7.10018e-12  4.98209e-13
 2000   8.4756e-12  6.81245e-13
 2100  1.00022e-11  9.10412e-13
 2200  1.16841e-11  1.19239e-12
 2300  1.35252e-11  1.53407e-12
 2400  1.55289e-11  1.94258e-12
 2500  1.76984e-11  2.42515e-12
 2600  2.00366e-11  2.98915e-12
 2700   2.2546e-11  3.64206e-12
 2800   2.5229e-11  4.39138e-12
 2900  2.80878e-11  5.24468e-12
 3000  3.11243e-11  6.20952e-12
 3100  3.43405e-11  7.29348e-12
 3200  3.77378e-11  8.50411e-12
 3300   4.1318e-11  9.84896e-12
 3400  4.50822e-11  1.13355e-11
 3500   4.9032e-11  1.29712e-11
 3600  5.31683e-11  1.47634e-11
 3700  5.74925e-11  1.67194e-11
 3800  6.20053e-11  1.88466e-11
 3900  6.67079e-11  2.11521e-11
