========================================
CH3+OHtripletabs_P8_Energy_1_34.9759.out
--
T,R->P8
200.0,5.39586e-18
210.0,8.60812e-18
220.0,1.34468e-17
230.0,2.05764e-17
240.0,3.086e-17
250.0,4.53925e-17
260.0,6.55347e-17
270.0,9.29452e-17
280.0,1.2961e-16
290.0,1.77872e-16
300.0,2.40451e-16
310.0,3.20465e-16
320.0,4.2145e-16
330.0,5.47364e-16
340.0,7.02602e-16
350.0,8.91995e-16
360.0,1.12081e-15
370.0,1.39476e-15
380.0,1.71996e-15
390.0,2.10297e-15
400.0,2.55075e-15
410.0,3.07064e-15
420.0,3.67037e-15
430.0,4.35803e-15
440.0,5.14206e-15
450.0,6.03122e-15
460.0,7.03458e-15
470.0,8.16151e-15
480.0,9.42164e-15
490.0,1.08249e-14
500.0,1.23813e-14
510.0,1.41013e-14
520.0,1.59954e-14
530.0,1.80744e-14
540.0,2.03491e-14
550.0,2.28306e-14
560.0,2.55302e-14
570.0,2.84591e-14
580.0,3.16289e-14
590.0,3.5051e-14
600.0,3.87372e-14
610.0,4.26991e-14
620.0,4.69487e-14
630.0,5.14978e-14
640.0,5.63582e-14
650.0,6.15421e-14
660.0,6.70615e-14
670.0,7.29283e-14
680.0,7.91548e-14
690.0,8.5753e-14
700.0,9.27351e-14
800.0,1.86342e-13
900.0,3.31649e-13
1000.0,5.40477e-13
1100.0,8.24143e-13
1200.0,1.19333e-12
1300.0,1.65799e-12
1400.0,2.22731e-12
1500.0,2.90975e-12
1600.0,3.71301e-12
1700.0,4.64409e-12
1800.0,5.70937e-12
1900.0,6.91459e-12
2000.0,8.265e-12
2100.0,9.76533e-12
2200.0,1.14198e-11
2300.0,1.32325e-11
2400.0,1.52067e-11
2500.0,1.73457e-11
2600.0,1.96525e-11
2700.0,2.21296e-11
2800.0,2.47796e-11
2900.0,2.76046e-11
3000.0,3.06066e-11
3100.0,3.37875e-11
3200.0,3.7149e-11
3300.0,4.06927e-11
3400.0,4.44199e-11
3500.0,4.8332e-11
3600.0,5.24303e-11
3700.0,5.67158e-11
3800.0,6.11896e-11
3900.0,6.58527e-11
========================================
CH3+OHtripletabs_R_Energy_1_34.9759.out
--
T,R->P8
200.0,6.9396e-18
210.0,1.0939e-17
220.0,1.69028e-17
230.0,2.56089e-17
240.0,3.8059e-17
250.0,5.55141e-17
260.0,7.95294e-17
270.0,1.11988e-16
280.0,1.55129e-16
290.0,2.11577e-16
300.0,2.84364e-16
310.0,3.76947e-16
320.0,4.93221e-16
330.0,6.37532e-16
340.0,8.14681e-16
350.0,1.02992e-15
360.0,1.28896e-15
370.0,1.59796e-15
380.0,1.9635e-15
390.0,2.39261e-15
400.0,2.89271e-15
410.0,3.47162e-15
420.0,4.13756e-15
430.0,4.89908e-15
440.0,5.7651e-15
450.0,6.74483e-15
460.0,7.84781e-15
470.0,9.08385e-15
480.0,1.0463e-14
490.0,1.19956e-14
500.0,1.36923e-14
510.0,1.55636e-14
520.0,1.76207e-14
530.0,1.98746e-14
540.0,2.23366e-14
550.0,2.5018e-14
560.0,2.79306e-14
570.0,3.10859e-14
580.0,3.44956e-14
590.0,3.81718e-14
600.0,4.21262e-14
610.0,4.6371e-14
620.0,5.09182e-14
630.0,5.578e-14
640.0,6.09685e-14
650.0,6.64959e-14
660.0,7.23746e-14
670.0,7.86167e-14
680.0,8.52347e-14
690.0,9.22407e-14
700.0,9.96472e-14
800.0,1.9844e-13
900.0,3.50721e-13
1000.0,5.6837e-13
1100.0,8.62721e-13
1200.0,1.24443e-12
1300.0,1.72342e-12
1400.0,2.30883e-12
1500.0,3.00903e-12
1600.0,3.83165e-12
1700.0,4.78362e-12
1800.0,5.87123e-12
1900.0,7.10018e-12
2000.0,8.4756e-12
2100.0,1.00022e-11
2200.0,1.16841e-11
2300.0,1.35252e-11
2400.0,1.55289e-11
2500.0,1.76984e-11
2600.0,2.00366e-11
2700.0,2.2546e-11
2800.0,2.5229e-11
2900.0,2.80878e-11
3000.0,3.11243e-11
3100.0,3.43405e-11
3200.0,3.77378e-11
3300.0,4.1318e-11
3400.0,4.50822e-11
3500.0,4.9032e-11
3600.0,5.31683e-11
3700.0,5.74925e-11
3800.0,6.20053e-11
3900.0,6.67079e-11
========================================
CH3+OHtripletabs_P8_Frequencies_1_0.1.out
--
T,R->P8
200.0,5.39586e-18
210.0,8.60812e-18
220.0,1.34468e-17
230.0,2.05764e-17
240.0,3.086e-17
250.0,4.53925e-17
260.0,6.55347e-17
270.0,9.29452e-17
280.0,1.2961e-16
290.0,1.77872e-16
300.0,2.40451e-16
310.0,3.20465e-16
320.0,4.2145e-16
330.0,5.47364e-16
340.0,7.02602e-16
350.0,8.91995e-16
360.0,1.12081e-15
370.0,1.39476e-15
380.0,1.71996e-15
390.0,2.10297e-15
400.0,2.55075e-15
410.0,3.07064e-15
420.0,3.67037e-15
430.0,4.35803e-15
440.0,5.14206e-15
450.0,6.03122e-15
460.0,7.03458e-15
470.0,8.16151e-15
480.0,9.42164e-15
490.0,1.08249e-14
500.0,1.23813e-14
510.0,1.41013e-14
520.0,1.59954e-14
530.0,1.80744e-14
540.0,2.03491e-14
550.0,2.28306e-14
560.0,2.55302e-14
570.0,2.84591e-14
580.0,3.16289e-14
590.0,3.5051e-14
600.0,3.87372e-14
610.0,4.26991e-14
620.0,4.69487e-14
630.0,5.14978e-14
640.0,5.63582e-14
650.0,6.15421e-14
660.0,6.70615e-14
670.0,7.29283e-14
680.0,7.91548e-14
690.0,8.5753e-14
700.0,9.27351e-14
800.0,1.86342e-13
900.0,3.31649e-13
1000.0,5.40477e-13
1100.0,8.24143e-13
1200.0,1.19333e-12
1300.0,1.65799e-12
1400.0,2.22731e-12
1500.0,2.90975e-12
1600.0,3.71301e-12
1700.0,4.64409e-12
1800.0,5.70937e-12
1900.0,6.91459e-12
2000.0,8.265e-12
2100.0,9.76533e-12
2200.0,1.14198e-11
2300.0,1.32325e-11
2400.0,1.52067e-11
2500.0,1.73457e-11
2600.0,1.96525e-11
2700.0,2.21296e-11
2800.0,2.47796e-11
2900.0,2.76046e-11
3000.0,3.06066e-11
3100.0,3.37875e-11
3200.0,3.7149e-11
3300.0,4.06927e-11
3400.0,4.44199e-11
3500.0,4.8332e-11
3600.0,5.24303e-11
3700.0,5.67158e-11
3800.0,6.11896e-11
3900.0,6.58527e-11
========================================
CH3+OHtripletabs_R_Frequencies_1_0.1.out
--
T,R->P8
200.0,5.39586e-18
210.0,8.60812e-18
220.0,1.34468e-17
230.0,2.05764e-17
240.0,3.086e-17
250.0,4.53925e-17
260.0,6.55347e-17
270.0,9.29452e-17
280.0,1.2961e-16
290.0,1.77872e-16
300.0,2.40451e-16
310.0,3.20465e-16
320.0,4.2145e-16
330.0,5.47364e-16
340.0,7.02602e-16
350.0,8.91995e-16
360.0,1.12081e-15
370.0,1.39476e-15
380.0,1.71996e-15
390.0,2.10297e-15
400.0,2.55075e-15
410.0,3.07064e-15
420.0,3.67037e-15
430.0,4.35804e-15
440.0,5.14208e-15
450.0,6.03125e-15
460.0,7.03463e-15
470.0,8.16158e-15
480.0,9.42174e-15
490.0,1.0825e-14
500.0,1.23815e-14
510.0,1.41016e-14
520.0,1.59958e-14
530.0,1.80749e-14
540.0,2.03497e-14
550.0,2.28315e-14
560.0,2.55313e-14
570.0,2.84606e-14
580.0,3.16308e-14
590.0,3.50535e-14
600.0,3.87403e-14
610.0,4.27031e-14
620.0,4.69537e-14
630.0,5.1504e-14
640.0,5.63659e-14
650.0,6.15515e-14
660.0,6.7073e-14
670.0,7.29423e-14
680.0,7.91717e-14
690.0,8.57733e-14
700.0,9.27594e-14
800.0,1.86458e-13
900.0,3.32046e-13
1000.0,5.41561e-13
1100.0,8.26646e-13
1200.0,1.19842e-12
1300.0,1.66737e-12
1400.0,2.24331e-12
1500.0,2.93536e-12
1600.0,3.75195e-12
1700.0,4.70084e-12
1800.0,5.78914e-12
1900.0,7.02336e-12
2000.0,8.40948e-12
2100.0,9.95293e-12
2200.0,1.16587e-11
2300.0,1.35313e-11
2400.0,1.5575e-11
2500.0,1.77935e-11
2600.0,2.01903e-11
2700.0,2.27686e-11
2800.0,2.55313e-11
2900.0,2.84811e-11
3000.0,3.16206e-11
3100.0,3.49518e-11
3200.0,3.84771e-11
3300.0,4.21982e-11
3400.0,4.6117e-11
3500.0,5.02351e-11
3600.0,5.45541e-11
3700.0,5.90754e-11
3800.0,6.38002e-11
3900.0,6.87298e-11
========================================
CH3+OHtripletabs_B1_VariationalHinderRotor_1_0.1.out
--
T,R->P8
200.0,5.39586e-18
210.0,8.60812e-18
220.0,1.34468e-17
230.0,2.05764e-17
240.0,3.086e-17
250.0,4.53925e-17
260.0,6.55347e-17
270.0,9.29452e-17
280.0,1.2961e-16
290.0,1.77872e-16
300.0,2.40451e-16
310.0,3.20465e-16
320.0,4.2145e-16
330.0,5.47364e-16
340.0,7.02602e-16
350.0,8.91995e-16
360.0,1.12081e-15
370.0,1.39476e-15
380.0,1.71996e-15
390.0,2.10297e-15
400.0,2.55075e-15
410.0,3.07064e-15
420.0,3.67037e-15
430.0,4.35803e-15
440.0,5.14206e-15
450.0,6.03122e-15
460.0,7.03458e-15
470.0,8.16151e-15
480.0,9.42164e-15
490.0,1.08249e-14
500.0,1.23813e-14
510.0,1.41013e-14
520.0,1.59954e-14
530.0,1.80744e-14
540.0,2.03491e-14
550.0,2.28306e-14
560.0,2.55302e-14
570.0,2.84591e-14
580.0,3.16289e-14
590.0,3.5051e-14
600.0,3.87372e-14
610.0,4.26991e-14
620.0,4.69487e-14
630.0,5.14978e-14
640.0,5.63582e-14
650.0,6.15421e-14
660.0,6.70615e-14
670.0,7.29283e-14
680.0,7.91548e-14
690.0,8.5753e-14
700.0,9.27351e-14
800.0,1.86342e-13
900.0,3.31649e-13
1000.0,5.40477e-13
1100.0,8.24143e-13
1200.0,1.19333e-12
1300.0,1.65799e-12
1400.0,2.22731e-12
1500.0,2.90975e-12
1600.0,3.71301e-12
1700.0,4.64409e-12
1800.0,5.70937e-12
1900.0,6.91459e-12
2000.0,8.265e-12
2100.0,9.76533e-12
2200.0,1.14198e-11
2300.0,1.32325e-11
2400.0,1.52067e-11
2500.0,1.73457e-11
2600.0,1.96525e-11
2700.0,2.21296e-11
2800.0,2.47796e-11
2900.0,2.76046e-11
3000.0,3.06066e-11
3100.0,3.37875e-11
3200.0,3.7149e-11
3300.0,4.06927e-11
3400.0,4.44199e-11
3500.0,4.8332e-11
3600.0,5.24303e-11
3700.0,5.67158e-11
3800.0,6.11896e-11
3900.0,6.58527e-11
========================================
CH3+OHtripletabs_B1_VariationalFrequencies_1_0.1.out
--
T,R->P8
200.0,5.0494e-18
210.0,8.01548e-18
220.0,1.24596e-17
230.0,1.89735e-17
240.0,2.83196e-17
250.0,4.14585e-17
260.0,5.95747e-17
270.0,8.4101e-17
280.0,1.1674e-16
290.0,1.59483e-16
300.0,2.14623e-16
310.0,2.84772e-16
320.0,3.7286e-16
330.0,4.82144e-16
340.0,6.1621e-16
350.0,7.78964e-16
360.0,9.74629e-16
370.0,1.20774e-15
380.0,1.48312e-15
390.0,1.80589e-15
400.0,2.18142e-15
410.0,2.61534e-15
420.0,3.11354e-15
430.0,3.68209e-15
440.0,4.32729e-15
450.0,5.05561e-15
460.0,5.87368e-15
470.0,6.7883e-15
480.0,7.80639e-15
490.0,8.93497e-15
500.0,1.01812e-14
510.0,1.15523e-14
520.0,1.30555e-14
530.0,1.46983e-14
540.0,1.64879e-14
550.0,1.84319e-14
560.0,2.05377e-14
570.0,2.28128e-14
580.0,2.52647e-14
590.0,2.79008e-14
600.0,3.07287e-14
610.0,3.37557e-14
620.0,3.69893e-14
630.0,4.04369e-14
640.0,4.41059e-14
650.0,4.80036e-14
660.0,5.21374e-14
670.0,5.65143e-14
680.0,6.11417e-14
690.0,6.60267e-14
700.0,7.11764e-14
800.0,1.38744e-13
900.0,2.4009e-13
1000.0,3.81174e-13
1100.0,5.67233e-13
1200.0,8.02818e-13
1300.0,1.09185e-12
1400.0,1.43768e-12
1500.0,1.84318e-12
1600.0,2.3108e-12
1700.0,2.84261e-12
1800.0,3.4404e-12
