Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.19554e-18  9.75139e-28
  210   6.7739e-18  4.37521e-27
  220  1.06974e-17  1.74975e-26
  230  1.65329e-17  6.31697e-26
  240  2.50227e-17  2.08102e-25
  250  3.71164e-17  6.31388e-25
  260  5.40027e-17  1.77854e-24
  270  7.71408e-17  4.68422e-24
  280   1.0829e-16  1.16067e-23
  290  1.49536e-16  2.72057e-23
  300  2.03319e-16  6.06188e-23
  310  2.72447e-16  1.28955e-22
  320  3.60122e-16  2.62924e-22
  330  4.69948e-16   5.1558e-22
  340  6.05942e-16   9.7541e-22
  350  7.72539e-16  1.78534e-21
  360  9.74599e-16   3.1695e-21
  370   1.2174e-15  5.47006e-21
  380  1.50663e-15  9.19644e-21
  390   1.8484e-15  1.50899e-20
  400  2.24921e-15  2.42065e-20
  410  2.71597e-15  3.80215e-20
  420  3.25593e-15  5.85588e-20
  430  3.87673e-15  8.85483e-20
  440  4.58635e-15  1.31616e-19
  450  5.39311e-15  1.92506e-19
  460  6.30563e-15  2.77347e-19
  470  7.33283e-15  3.93951e-19
  480  8.48391e-15  5.52163e-19
  490  9.76835e-15   7.6425e-19
  500  1.11958e-14  1.04535e-18
  510  1.27764e-14  1.41394e-18
  520    1.452e-14  1.89241e-18
  530  1.64372e-14  2.50762e-18
  540  1.85384e-14  3.29156e-18
  550  2.08344e-14  4.28203e-18
  560  2.33361e-14  5.52339e-18
  570  2.60543e-14  7.06735e-18
  580  2.90003e-14  8.97381e-18
  590  3.21854e-14  1.13118e-17
  600  3.56208e-14  1.41601e-17
  610   3.9318e-14  1.76089e-17
  620  4.32887e-14    2.176e-17
  630  4.75443e-14  2.67285e-17
  640  5.20966e-14  3.26432e-17
  650  5.69574e-14  3.96487e-17
  660  6.21384e-14  4.79055e-17
  670  6.76515e-14  5.75918e-17
  680  7.35086e-14  6.89046e-17
  690  7.97216e-14  8.20606e-17
  700  8.63025e-14   9.7298e-17
  800  1.74982e-13  4.34112e-16
  900  3.13615e-13  1.44574e-15
 1000  5.13952e-13  3.91078e-15
 1100   7.8729e-13  9.07098e-15
 1200  1.14432e-12  1.87099e-14
 1300  1.59503e-12  3.52001e-14
 1400  2.14868e-12  6.15217e-14
 1500  2.81376e-12  1.01255e-13
 1600  3.59805e-12  1.58557e-13
 1700  4.50864e-12  2.38118e-13
 1800  5.55196e-12  3.45122e-13
 1900  6.73386e-12  4.85187e-13
 2000  8.05964e-12  6.64318e-13
 2100   9.5341e-12  8.88856e-13
 2200  1.11616e-11  1.16542e-12
 2300  1.29461e-11  1.50087e-12
 2400  1.48912e-11  1.90227e-12
 2500  1.70001e-11  2.37682e-12
 2600  1.92758e-11  2.93186e-12
 2700   2.1721e-11  3.57481e-12
 2800  2.43382e-11  4.31316e-12
 2900  2.71297e-11  5.15445e-12
 3000  3.00975e-11  6.10623e-12
 3100  3.32435e-11  7.17604e-12
 3200  3.65694e-11  8.37143e-12
 3300  4.00768e-11  9.69991e-12
 3400  4.37673e-11   1.1169e-11
 3500  4.76421e-11   1.2786e-11
 3600  5.17025e-11  1.45585e-11
 3700  5.59497e-11  1.64936e-11
 3800  6.03847e-11  1.85987e-11
 3900  6.50084e-11  2.08809e-11
