Pressure (--),Temperature (K),P8_Energy_1_R->P8,P8_Frequencies_1_R->P8,R_Frequencies_1_R->P8,B1_VariationalHinderRotor_1_R->P8,B1_VariationalFrequencies_1_R->P8,P8_SymmetryFactor_1_R->P8,B1_VariationalEnergy_1_R->P8,R_Energy_1_R->P8,R_SymmetryFactor_1_R->P8,B1_ImaginaryFrequency_1_R->P8,B1_VariationalSymmetryFactor_1_R->P8
1.0,200.0,0.0,0.0,7.479649401186034e-10,0.0,-0.6963020851562804,0.0,-2.5160942150492813,2.51610639697899,1.0000043598926627,6.102962590869506,0.0
1.0,210.0,0.0,0.0,-1.724540011297431e-08,0.0,-0.748429342509271,0.0,-2.3962898483612536,2.396282257780305,0.9999918183168235,5.584888150345252,0.0
1.0,220.0,0.0,0.0,1.619384553472789e-07,0.0,-0.7999813203032103,0.0,-2.287406970086701,2.287355073219771,0.9999918928544462,5.108959058395363,0.0
1.0,230.0,0.0,0.0,-7.932573647997222e-07,0.0,-0.8509539734545324,0.0,-2.1879273527490866,2.187938092049481,1.0000251908610154,4.6760076581318835,0.0
1.0,240.0,0.0,0.0,2.1090323299910636e-06,0.0,-0.9013385363359392,0.0,-2.0967633111923742,2.0967394059922873,0.9999864262284824,4.284421858519665,0.0
1.0,250.0,0.0,0.0,-2.6511668592054566e-06,0.0,-0.9511733291355345,0.0,-2.0128971146526435,2.0128653931200744,0.9999902424368207,3.9319577023393544,0.0
1.0,260.0,0.0,0.0,2.2306435925722312e-07,0.0,-1.0004085963820462,0.0,-1.9354584302689932,1.9354791111583212,1.0000109171956955,3.6155670281734946,0.0
1.0,270.0,0.0,0.0,2.2579130005182746e-06,0.0,-1.0491041918606376,0.0,-1.8637624789487188,1.8638143269321865,1.0000137741803687,3.3318324029732573,0.0
1.0,280.0,0.0,0.0,2.72890210739262e-07,0.0,-1.0973010160855947,0.0,-1.797204412954209,1.797247237858333,1.0000050637440403,3.0773795641403643,0.0
1.0,290.0,0.0,0.0,-1.930252884486172e-06,0.0,-1.1450042763389345,0.0,-1.7352416639862434,1.7352637857632045,1.0000002211280017,2.849027575089312,0.0
1.0,300.0,0.0,0.0,-1.7001191615565216e-06,0.0,-1.1922176117166137,0.0,-1.6774044413884341,1.6774161317033771,1.0000035969869787,2.6438343168602843,0.0
1.0,310.0,0.0,0.0,2.6389228891818727e-07,0.0,-1.2389574032577615,0.0,-1.6232922546954378,1.623304863174001,1.0000106137804494,2.4591222192021442,0.0
1.0,320.0,0.0,0.0,1.963382617998658e-06,0.0,-1.2852473178663029,0.0,-1.5725599763308127,1.5725758755291102,1.0000156638844364,2.2924928611016826,0.0
1.0,330.0,0.0,0.0,2.130986839992829e-06,0.0,-1.3311095467045362,0.0,-1.5249044278707367,1.524918640366117,1.000016308382466,2.141825258132839,0.0
1.0,340.0,0.0,0.0,7.930090239918985e-07,0.0,-1.376560550929458,0.0,-1.4800557240647882,1.4800617348178398,1.0000132794444896,2.0052593607566327,0.0
1.0,350.0,0.0,0.0,-1.1747510804748826e-06,0.0,-1.4216111935325415,0.0,-1.4377725466781783,1.4377667106381573,1.0000087342342767,1.8811708844531019,0.0
1.0,360.0,0.0,0.0,-2.713241623823095e-06,0.0,-1.4662687358017163,0.0,-1.3978393003759733,1.3978221825456452,1.0000046632143569,1.7681434133091245,0.0
1.0,370.0,0.0,0.0,-3.0252682802755633e-06,0.0,-1.5105387814834146,0.0,-1.3600637340359079,1.3600391316037668,1.0000021293403962,1.6649415383517159,0.0
1.0,380.0,0.0,0.0,-1.7140982138113684e-06,0.0,-1.5544264281738756,0.0,-1.3242744847563692,1.3242475292880875,1.000001234895163,1.5704867112346943,0.0
