Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18  1.01743e-27
  210  7.03766e-18  4.54557e-27
  220  1.10731e-17  1.81119e-26
  230  1.70585e-17  6.51779e-26
  240  2.57456e-17  2.14113e-25
  250  3.80938e-17  6.48015e-25
  260  5.53029e-17  1.82137e-24
  270  7.88437e-17  4.78763e-24
  280  1.10487e-16  1.18422e-23
  290  1.52332e-16  2.77143e-23
  300  2.06828e-16  6.16652e-23
  310  2.76798e-16  1.31014e-22
  320  3.65452e-16  2.66816e-22
  330  4.76406e-16  5.22666e-22
  340  6.13685e-16  9.87875e-22
  350  7.81733e-16  1.80658e-21
  360  9.85415e-16  3.20468e-21
  370  1.23001e-15  5.52675e-21
  380  1.52123e-15  9.28553e-21
  390  1.86516e-15  1.52267e-20
  400  2.26832e-15  2.44121e-20
  410   2.7376e-15  3.83244e-20
  420  3.28026e-15  5.89965e-20
  430  3.90395e-15    8.917e-20
  440  4.61662e-15  1.32484e-19
  450  5.42659e-15  1.93701e-19
  460  6.34247e-15  2.78968e-19
  470  7.37318e-15  3.96119e-19
  480   8.5279e-15  5.55026e-19
  490   9.8161e-15  7.67986e-19
  500  1.12475e-14  1.05017e-18
  510  1.28319e-14  1.42009e-18
  520  1.45796e-14  1.90018e-18
  530  1.65009e-14  2.51734e-18
  540  1.86063e-14  3.30361e-18
  550  2.09065e-14  4.29683e-18
  560  2.34123e-14  5.54142e-18
  570  2.61347e-14  7.08915e-18
  580  2.90849e-14  8.99998e-18
  590   3.2274e-14  1.13429e-17
  600  3.57135e-14   1.4197e-17
  610  3.94147e-14  1.76522e-17
  620  4.33892e-14  2.18106e-17
  630  4.76486e-14  2.67871e-17
  640  5.22046e-14  3.27109e-17
  650  5.70688e-14  3.97263e-17
  660  6.22532e-14   4.7994e-17
  670  6.77694e-14  5.76922e-17
  680  7.36294e-14  6.90179e-17
  690  7.98452e-14  8.21878e-17
  700  8.64285e-14  9.74401e-17
  750  1.25279e-13  2.14901e-16
  800  1.75117e-13  4.34446e-16
  850  2.37437e-13  8.17073e-16
  900  3.13719e-13  1.44622e-15
  950  4.05422e-13  2.43133e-15
 1000  5.13976e-13  3.91097e-15
 1050  6.40776e-13  6.05559e-15
 1100   7.8718e-13  9.06971e-15
 1150  9.54501e-13  1.31937e-14
 1200  1.14401e-12  1.87048e-14
 1250  1.35694e-12  2.59184e-14
 1300  1.59447e-12  3.51876e-14
 1350  1.85772e-12  4.69039e-14
 1400  2.14779e-12  6.14962e-14
 1450  2.46571e-12  7.94307e-14
 1500  2.81248e-12  1.01209e-13
 1550  3.18905e-12  1.27369e-13
 1600  3.59632e-12  1.58481e-13
 1650  4.03516e-12  1.95146e-13
 1700   4.5064e-12     2.38e-13
 1750  5.01081e-12  2.87703e-13
 1800  5.54915e-12  3.44947e-13
 1850  6.12212e-12  4.10445e-13
 1900  6.73042e-12  4.84938e-13
 1950  7.37468e-12  5.69188e-13
 2000  8.05551e-12  6.63978e-13
 2050  8.77351e-12  7.70109e-13
 2100  9.52923e-12  8.88401e-13
 2150  1.03232e-11  1.01969e-12
 2200  1.11559e-11  1.16483e-12
 2250  1.20279e-11  1.32468e-12
 2300  1.29396e-11  1.50012e-12
 2350  1.38914e-11  1.69203e-12
 2400  1.48838e-11  1.90132e-12
 2450  1.59171e-11  2.12889e-12
 2500  1.69917e-11  2.37565e-12
 2550  1.81081e-11  2.64253e-12
 2600  1.92665e-11  2.93044e-12
 2650  2.04672e-11  3.24032e-12
 2700  2.17107e-11  3.57311e-12
 2750  2.29971e-11  3.92974e-12
 2800  2.43269e-11  4.31115e-12
 2850  2.57001e-11  4.71828e-12
 2900  2.71172e-11  5.15208e-12
 2950  2.85784e-11   5.6135e-12
