========================================
CH3+OHtripletabs_R_Energy_1_0.0.out
--
T,R->P8
200.0,4.37748e-18
210.0,7.03766e-18
220.0,1.10731e-17
230.0,1.70585e-17
240.0,2.57456e-17
250.0,3.80938e-17
260.0,5.53029e-17
270.0,7.88437e-17
280.0,1.10487e-16
290.0,1.52332e-16
300.0,2.06828e-16
310.0,2.76798e-16
320.0,3.65452e-16
330.0,4.76406e-16
340.0,6.13685e-16
350.0,7.81733e-16
360.0,9.85415e-16
370.0,1.23001e-15
380.0,1.52123e-15
390.0,1.86516e-15
400.0,2.26832e-15
410.0,2.7376e-15
420.0,3.28026e-15
430.0,3.90395e-15
440.0,4.61662e-15
450.0,5.42659e-15
460.0,6.34247e-15
470.0,7.37318e-15
480.0,8.5279e-15
490.0,9.8161e-15
500.0,1.12475e-14
510.0,1.28319e-14
520.0,1.45796e-14
530.0,1.65009e-14
540.0,1.86063e-14
550.0,2.09065e-14
560.0,2.34123e-14
570.0,2.61347e-14
580.0,2.90849e-14
590.0,3.2274e-14
600.0,3.57135e-14
610.0,3.94147e-14
620.0,4.33892e-14
630.0,4.76486e-14
640.0,5.22046e-14
650.0,5.70688e-14
660.0,6.22532e-14
670.0,6.77694e-14
680.0,7.36294e-14
690.0,7.98452e-14
700.0,8.64285e-14
750.0,1.25279e-13
800.0,1.75117e-13
850.0,2.37437e-13
900.0,3.13719e-13
950.0,4.05422e-13
1000.0,5.13976e-13
1050.0,6.40776e-13
1100.0,7.8718e-13
1150.0,9.54501e-13
1200.0,1.14401e-12
1250.0,1.35694e-12
1300.0,1.59447e-12
1350.0,1.85772e-12
1400.0,2.14779e-12
1450.0,2.46571e-12
1500.0,2.81248e-12
1550.0,3.18905e-12
1600.0,3.59632e-12
1650.0,4.03516e-12
1700.0,4.5064e-12
1750.0,5.01081e-12
1800.0,5.54915e-12
1850.0,6.12212e-12
1900.0,6.73042e-12
1950.0,7.37468e-12
2000.0,8.05551e-12
2050.0,8.77351e-12
2100.0,9.52923e-12
2150.0,1.03232e-11
2200.0,1.11559e-11
2250.0,1.20279e-11
2300.0,1.29396e-11
2350.0,1.38914e-11
2400.0,1.48838e-11
2450.0,1.59171e-11
2500.0,1.69917e-11
2550.0,1.81081e-11
2600.0,1.92665e-11
2650.0,2.04672e-11
2700.0,2.17107e-11
2750.0,2.29971e-11
2800.0,2.43269e-11
2850.0,2.57001e-11
2900.0,2.71172e-11
2950.0,2.85784e-11
