Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18   1.0683e-27
  210  7.03766e-18  4.77285e-27
  220  1.10731e-17  1.90175e-26
  230  1.70585e-17  6.84368e-26
  240  2.57456e-17  2.24819e-25
  250  3.80938e-17  6.80416e-25
  260  5.53029e-17  1.91244e-24
  270  7.88437e-17  5.02701e-24
  280  1.10487e-16  1.24343e-23
  290  1.52332e-16     2.91e-23
  300  2.06828e-16  6.47485e-23
  310  2.76798e-16  1.37565e-22
  320  3.65452e-16  2.80157e-22
  330  4.76406e-16  5.48799e-22
  340  6.13685e-16  1.03727e-21
  350  7.81733e-16  1.89691e-21
  360  9.85415e-16  3.36491e-21
  370  1.23001e-15  5.80309e-21
  380  1.52123e-15  9.74981e-21
  390  1.86516e-15  1.59881e-20
  400  2.26832e-15  2.56327e-20
  410   2.7376e-15  4.02406e-20
  420  3.28026e-15  6.19463e-20
  430  3.90395e-15  9.36285e-20
  440  4.61662e-15  1.39108e-19
  450  5.42659e-15  2.03386e-19
  460  6.34247e-15  2.92916e-19
  470  7.37318e-15  4.15925e-19
  480   8.5279e-15  5.82777e-19
  490   9.8161e-15  8.06386e-19
  500  1.12475e-14  1.10268e-18
  510  1.28319e-14   1.4911e-18
  520  1.45796e-14  1.99519e-18
  530  1.65009e-14  2.64321e-18
  540  1.86063e-14  3.46879e-18
  550  2.09065e-14  4.51167e-18
  560  2.34123e-14  5.81849e-18
  570  2.61347e-14  7.44361e-18
  580  2.90849e-14  9.44997e-18
  590   3.2274e-14  1.19101e-17
  600  3.57135e-14  1.49069e-17
  610  3.94147e-14  1.85348e-17
  620  4.33892e-14  2.29011e-17
  630  4.76486e-14  2.81265e-17
  640  5.22046e-14  3.43464e-17
  650  5.70688e-14  4.17126e-17
  660  6.22532e-14  5.03937e-17
  670  6.77694e-14  6.05768e-17
  680  7.36294e-14  7.24688e-17
  690  7.98452e-14  8.62972e-17
  700  8.64285e-14  1.02312e-16
  750  1.25279e-13  2.25646e-16
  800  1.75117e-13  4.56169e-16
  850  2.37437e-13  8.57926e-16
  900  3.13719e-13  1.51854e-15
  950  4.05422e-13   2.5529e-15
 1000  5.13976e-13  4.10652e-15
 1050  6.40776e-13  6.35837e-15
 1100   7.8718e-13  9.52319e-15
 1150  9.54501e-13  1.38534e-14
 1200  1.14401e-12  1.96401e-14
 1250  1.35694e-12  2.72143e-14
 1300  1.59447e-12   3.6947e-14
 1350  1.85772e-12  4.92491e-14
 1400  2.14779e-12   6.4571e-14
 1450  2.46571e-12  8.34022e-14
 1500  2.81248e-12   1.0627e-13
 1550  3.18905e-12  1.33738e-13
 1600  3.59632e-12  1.66405e-13
 1650  4.03516e-12  2.04904e-13
 1700   4.5064e-12    2.499e-13
 1750  5.01081e-12  3.02089e-13
 1800  5.54915e-12  3.62194e-13
 1850  6.12212e-12  4.30967e-13
 1900  6.73042e-12  5.09185e-13
 1950  7.37468e-12  5.97648e-13
 2000  8.05551e-12  6.97177e-13
 2050  8.77351e-12  8.08614e-13
 2100  9.52923e-12  9.32821e-13
 2150  1.03232e-11  1.07068e-12
 2200  1.11559e-11  1.22307e-12
 2250  1.20279e-11  1.39091e-12
 2300  1.29396e-11  1.57512e-12
 2350  1.38914e-11  1.77664e-12
 2400  1.48838e-11  1.99639e-12
 2450  1.59171e-11  2.23534e-12
 2500  1.69917e-11  2.49444e-12
 2550  1.81081e-11  2.77465e-12
 2600  1.92665e-11  3.07696e-12
 2650  2.04672e-11  3.40234e-12
 2700  2.17107e-11  3.75177e-12
 2750  2.29971e-11  4.12622e-12
 2800  2.43269e-11   4.5267e-12
 2850  2.57001e-11   4.9542e-12
 2900  2.71172e-11  5.40969e-12
 2950  2.85784e-11  5.89417e-12
