Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.59636e-18  1.01743e-27
  210  7.38954e-18  4.54557e-27
  220  1.16267e-17  1.81119e-26
  230  1.79115e-17  6.51779e-26
  240  2.70328e-17  2.14113e-25
  250  3.99985e-17  6.48015e-25
  260  5.80681e-17  1.82137e-24
  270  8.27859e-17  4.78763e-24
  280  1.16012e-16  1.18422e-23
  290  1.59949e-16  2.77143e-23
  300   2.1717e-16  6.16652e-23
  310  2.90638e-16  1.31014e-22
  320  3.83725e-16  2.66816e-22
  330  5.00226e-16  5.22666e-22
  340  6.44369e-16  9.87875e-22
  350   8.2082e-16  1.80658e-21
  360  1.03469e-15  3.20468e-21
  370  1.29151e-15  5.52675e-21
  380  1.59729e-15  9.28553e-21
  390  1.95842e-15  1.52267e-20
  400  2.38173e-15  2.44121e-20
  410  2.87448e-15  3.83244e-20
  420  3.44428e-15  5.89965e-20
  430  4.09914e-15    8.917e-20
  440  4.84745e-15  1.32484e-19
  450  5.69792e-15  1.93701e-19
  460   6.6596e-15  2.78968e-19
  470  7.74184e-15  3.96119e-19
  480   8.9543e-15  5.55026e-19
  490  1.03069e-14  7.67986e-19
  500  1.18098e-14  1.05017e-18
  510  1.34735e-14  1.42009e-18
  520  1.53086e-14  1.90018e-18
  530   1.7326e-14  2.51734e-18
  540  1.95366e-14  3.30361e-18
  550  2.19518e-14  4.29683e-18
  560  2.45829e-14  5.54142e-18
  570  2.74415e-14  7.08915e-18
  580  3.05391e-14  8.99998e-18
  590  3.38877e-14  1.13429e-17
  600  3.74992e-14   1.4197e-17
  610  4.13855e-14  1.76522e-17
  620  4.55587e-14  2.18106e-17
  630  5.00311e-14  2.67871e-17
  640  5.48148e-14  3.27109e-17
  650  5.99223e-14  3.97263e-17
  660  6.53658e-14   4.7994e-17
  670  7.11579e-14  5.76922e-17
  680  7.73109e-14  6.90179e-17
  690  8.38374e-14  8.21878e-17
  700    9.075e-14  9.74401e-17
  750  1.31543e-13  2.14901e-16
  800  1.83872e-13  4.34446e-16
  850  2.49308e-13  8.17073e-16
  900  3.29405e-13  1.44622e-15
  950  4.25694e-13  2.43133e-15
 1000  5.39675e-13  3.91097e-15
 1050  6.72815e-13  6.05559e-15
 1100  8.26539e-13  9.06971e-15
 1150  1.00223e-12  1.31937e-14
 1200  1.20121e-12  1.87048e-14
 1250  1.42479e-12  2.59184e-14
 1300  1.67419e-12  3.51876e-14
 1350  1.95061e-12  4.69039e-14
 1400  2.25518e-12  6.14962e-14
 1450    2.589e-12  7.94307e-14
 1500   2.9531e-12  1.01209e-13
 1550   3.3485e-12  1.27369e-13
 1600  3.77614e-12  1.58481e-13
 1650  4.23692e-12  1.95146e-13
 1700  4.73172e-12     2.38e-13
 1750  5.26135e-12  2.87703e-13
 1800   5.8266e-12  3.44947e-13
 1850  6.42823e-12  4.10445e-13
 1900  7.06694e-12  4.84938e-13
 1950  7.74341e-12  5.69188e-13
 2000  8.45829e-12  6.63978e-13
 2050  9.21218e-12  7.70109e-13
 2100  1.00057e-11  8.88401e-13
 2150  1.08394e-11  1.01969e-12
 2200  1.17137e-11  1.16483e-12
 2250  1.26293e-11  1.32468e-12
 2300  1.35866e-11  1.50012e-12
 2350   1.4586e-11  1.69203e-12
 2400  1.56279e-11  1.90132e-12
 2450  1.67129e-11  2.12889e-12
 2500  1.78413e-11  2.37565e-12
 2550  1.90135e-11  2.64253e-12
 2600  2.02298e-11  2.93044e-12
 2650  2.14906e-11  3.24032e-12
 2700  2.27962e-11  3.57311e-12
 2750   2.4147e-11  3.92974e-12
 2800  2.55432e-11  4.31115e-12
 2850  2.69851e-11  4.71828e-12
 2900  2.84731e-11  5.15208e-12
 2950  3.00073e-11   5.6135e-12
