Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.22909e-18  9.82936e-28
  210  6.78163e-18   4.3802e-27
  220  1.06431e-17  1.74086e-26
  230   1.6355e-17  6.24899e-26
  240  2.46224e-17  2.04772e-25
  250  3.63424e-17  6.18222e-25
  260   5.2632e-17   1.7334e-24
  270  7.48551e-17  4.54543e-24
  280  1.04648e-16  1.12163e-23
  290   1.4394e-16  2.61875e-23
  300  1.94977e-16  5.81317e-23
  310  2.60331e-16   1.2322e-22
  320  3.42921e-16  2.50365e-22
  330  4.46013e-16  4.89321e-22
  340  5.73233e-16  9.22757e-22
  350  7.28563e-16  1.68371e-21
  360  9.16343e-16  2.98005e-21
  370  1.14126e-15  5.12798e-21
  380  1.40836e-15  8.59663e-21
  390  1.72302e-15  1.40663e-20
  400  2.09092e-15  2.25029e-20
  410  2.51807e-15  3.52512e-20
  420   3.0108e-15    5.415e-20
  430  3.57567e-15  8.16717e-20
  440  4.21954e-15  1.21089e-19
  450  4.94952e-15  1.76672e-19
  460  5.77294e-15  2.53917e-19
  470  6.69734e-15   3.5981e-19
  480  7.73049e-15  5.03127e-19
  490   8.8803e-15  6.94772e-19
  500  1.01549e-14  9.48154e-19
  510  1.15625e-14   1.2796e-18
  520  1.31115e-14  1.70884e-18
  530  1.48104e-14  2.25944e-18
  540  1.66679e-14  2.95943e-18
  550  1.86926e-14  3.84181e-18
  560  2.08933e-14  4.94522e-18
  570   2.3279e-14  6.31453e-18
  580  2.58586e-14  8.00163e-18
  590   2.8641e-14   1.0066e-17
  600  3.16353e-14  1.25758e-17
  610  3.48505e-14  1.56081e-17
  620  3.82958e-14  1.92503e-17
  630  4.19803e-14  2.36005e-17
  640   4.5913e-14  2.87687e-17
  650  5.01032e-14  3.48774e-17
  660  5.45599e-14  4.20629e-17
  670  5.92923e-14  5.04756e-17
  680  6.43096e-14  6.02817e-17
  690  6.96207e-14  7.16634e-17
  700  7.52348e-14  8.48202e-17
  750  1.08166e-13  1.85547e-16
  800  1.50018e-13  3.72179e-16
  850  2.01883e-13  6.94726e-16
  900  2.64825e-13  1.22082e-15
  950  3.39867e-13  2.03819e-15
 1000  4.27994e-13  3.25671e-15
 1050   5.3015e-13  5.01013e-15
 1100  6.47235e-13   7.4573e-15
 1150  7.80106e-13  1.07831e-14
 1200  9.29577e-13  1.51988e-14
 1250  1.09642e-12  2.09422e-14
 1300  1.28136e-12  2.82778e-14
 1350   1.4851e-12  3.74959e-14
 1400  1.70828e-12  4.89119e-14
 1450  1.95151e-12  6.28662e-14
 1500  2.21538e-12  7.97222e-14
 1550  2.50043e-12   9.9866e-14
 1600  2.80718e-12  1.23705e-13
 1650   3.1361e-12  1.51666e-13
 1700  3.48766e-12  1.84196e-13
 1750  3.86228e-12  2.21759e-13
 1800  4.26036e-12  2.64833e-13
 1850   4.6823e-12  3.13915e-13
 1900  5.12843e-12  3.69512e-13
 1950  5.59911e-12  4.32147e-13
 2000  6.09464e-12  5.02353e-13
 2050  6.61534e-12  5.80672e-13
 2100  7.16148e-12  6.67658e-13
 2150  7.73332e-12  7.63872e-13
 2200  8.33113e-12  8.69882e-13
 2250  8.95514e-12  9.86264e-13
 2300  9.60558e-12   1.1136e-12
 2350  1.02827e-11  1.25247e-12
 2400  1.09866e-11  1.40348e-12
 2450  1.17175e-11  1.56721e-12
 2500  1.24757e-11  1.74425e-12
 2550  1.32612e-11  1.93522e-12
 2600  1.40743e-11  2.14071e-12
 2650  1.49151e-11  2.36132e-12
 2700  1.57837e-11  2.59766e-12
 2750  1.66804e-11  2.85033e-12
 2800  1.76051e-11  3.11994e-12
 2850  1.85581e-11  3.40708e-12
 2900  1.95395e-11  3.71236e-12
 2950  2.05493e-11  4.03638e-12
