Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.05751e-12  1.32937e-71
  210  2.08626e-12  9.36918e-69
  220  2.17106e-12  3.73441e-66
  230  2.23691e-12  8.77795e-64
  240  2.36993e-12  1.34835e-61
  250  2.41755e-12  1.33825e-59
  260  2.61739e-12   9.9063e-58
  270  2.66214e-12  5.03478e-56
  280  2.97399e-12  2.12437e-54
  290  2.80264e-12  5.88337e-53
  300  2.89393e-12  1.42447e-51
  310  3.27717e-12  3.08471e-50
  320  3.38105e-12  5.05911e-49
  330  3.18674e-12  6.40827e-48
  340  3.31577e-12  7.68887e-47
  350  3.38874e-12   7.8781e-46
  360  3.44637e-12  7.06551e-45
  370  3.56487e-12  5.72855e-44
  380  3.66394e-12  4.14035e-43
  390  3.92903e-12  2.82464e-42
  400  3.88811e-12  1.62097e-41
  410  4.02418e-12  8.92884e-41
  420  4.13945e-12  4.51366e-40
  430  4.22936e-12  2.10445e-39
  440  4.31102e-12  9.13542e-39
  450  4.48242e-12  3.79278e-38
  460  4.52982e-12  1.44101e-37
  470  4.66305e-12  5.27118e-37
  480  4.78841e-12  1.82445e-36
  490  4.90379e-12  5.99281e-36
  500  5.01104e-12  1.87472e-35
  510  5.24403e-12  5.74819e-35
  520  5.29041e-12  1.63027e-34
  530   5.6827e-12  4.73473e-34
  540  5.53751e-12  1.20236e-33
  550  5.72123e-12  3.12657e-33
  560  6.31816e-12  8.40864e-33
  570  5.90563e-12  1.85526e-32
  580  6.04829e-12  4.35438e-32
  590  6.18616e-12  9.92375e-32
  600  6.31877e-12   2.1992e-31
  610    6.447e-12   4.7463e-31
  620  7.19353e-12  1.09352e-30
  630  6.82266e-12  2.09288e-30
  640  6.90847e-12  4.18379e-30
  650  7.01509e-12  8.21387e-30
  660  7.26198e-12  1.61153e-29
  670  7.32865e-12  3.02418e-29
  680  7.60928e-12  5.73356e-29
  690  7.62942e-12   1.0316e-28
  700  7.87056e-12  1.87813e-28
  800  9.37873e-12  3.01118e-26
  900  1.13162e-11  1.65183e-24
 1000  1.31759e-11   4.0926e-23
 1100  1.54488e-11  5.87902e-22
 1200  1.75216e-11  5.39943e-21
 1300  2.00792e-11  3.64356e-20
 1400  2.26617e-11  1.88507e-19
 1500  2.55603e-11  7.97647e-19
 1600  2.84695e-11  2.83182e-18
 1700  3.14506e-11   8.7183e-18
 1800  3.47772e-11  2.40198e-17
 1900  3.81951e-11  5.98072e-17
 2000  4.16915e-11  1.36578e-16
 2100  4.59652e-11  2.94047e-16
 2200   4.9269e-11  5.79882e-16
 2300  5.34984e-11  1.09991e-15
 2400  5.72056e-11  1.96325e-15
