Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.43151e-12  1.57102e-71
  210  2.44312e-12  1.09718e-68
  220  2.52512e-12  4.34342e-66
  230  2.58392e-12  1.01397e-63
  240  2.72536e-12  1.55056e-61
  250  2.76208e-12  1.52897e-59
  260   2.9844e-12  1.12953e-57
  270  3.01768e-12  5.70719e-56
  280  3.37356e-12  2.40979e-54
  290  3.14671e-12  6.60564e-53
  300  3.23665e-12  1.59316e-51
  310   3.6755e-12  3.45964e-50
  320  3.77937e-12  5.65512e-49
  330  3.52858e-12  7.09569e-48
  340  3.66303e-12  8.49414e-47
  350  3.73068e-12  8.67304e-46
  360   3.7802e-12  7.74992e-45
  370  3.90166e-12  6.26976e-44
  380  4.00002e-12  4.52013e-43
  390  4.29369e-12   3.0868e-42
  400   4.2269e-12  1.76222e-41
  410  4.36824e-12  9.69223e-41
  420  4.48493e-12  4.89037e-40
  430  4.57175e-12  2.27481e-39
  440  4.64883e-12  9.85127e-39
  450  4.83059e-12  4.08739e-38
  460  4.86743e-12   1.5484e-37
  470  5.00421e-12  5.65684e-37
  480  5.13162e-12  1.95522e-36
  490  5.24725e-12  6.41255e-36
  500  5.35325e-12  2.00275e-35
  510  5.60496e-12  6.14383e-35
  520  5.63995e-12  1.73798e-34
  530  6.07489e-12  5.06149e-34
  540  5.88842e-12  1.27855e-33
  550  6.08195e-12   3.3237e-33
  560  6.74924e-12  8.98234e-33
  570   6.2568e-12  1.96558e-32
  580  6.40223e-12   4.6092e-32
  590  6.54192e-12  1.04945e-31
  600  6.67535e-12  2.32331e-31
  610  6.80355e-12  5.00879e-31
  620  7.63861e-12  1.16118e-30
  630  7.19641e-12  2.20753e-30
  640  7.27518e-12  4.40587e-30
  650  7.37773e-12  8.63848e-30
  660  7.64115e-12  1.69567e-29
  670  7.69744e-12  3.17637e-29
  680  7.99893e-12  6.02716e-29
  690  8.00159e-12  1.08192e-28
  700  8.25733e-12  1.97043e-28
  800  9.76791e-12  3.13613e-26
  900  1.17462e-11  1.71461e-24
 1000   1.3614e-11  4.22868e-23
 1100  1.59282e-11  6.06146e-22
 1200  1.79943e-11   5.5451e-21
 1300  2.05874e-11  3.73579e-20
 1400  2.31874e-11   1.9288e-19
 1500  2.61233e-11  8.15219e-19
 1600   2.9051e-11  2.88966e-18
 1700  3.20398e-11  8.88163e-18
 1800  3.53989e-11  2.44492e-17
 1900  3.88418e-11  6.08198e-17
 2000  4.23545e-11   1.3875e-16
 2100   4.6721e-11  2.98882e-16
 2200  4.99849e-11  5.88308e-16
 2300  5.42693e-11  1.11576e-15
 2400  5.79504e-11  1.98881e-15
