========================================
HO2+H=H2+O2_B1_Energy_1_0.0.out
--
T,P1->P2
200.0,2.33334e-12
210.0,2.35182e-12
220.0,2.43412e-12
230.0,2.49551e-12
240.0,2.63188e-12
250.0,2.67353e-12
260.0,2.88335e-12
270.0,2.92215e-12
280.0,3.25362e-12
290.0,3.05667e-12
300.0,3.14712e-12
310.0,3.55426e-12
320.0,3.65763e-12
330.0,3.43922e-12
340.0,3.57045e-12
350.0,3.64133e-12
360.0,3.69586e-12
370.0,3.81572e-12
380.0,3.91475e-12
390.0,4.19087e-12
400.0,4.14054e-12
410.0,4.27888e-12
420.0,4.39502e-12
430.0,4.48423e-12
440.0,4.56473e-12
450.0,4.74018e-12
460.0,4.7845e-12
470.0,4.91948e-12
480.0,5.0461e-12
490.0,5.16217e-12
500.0,5.26965e-12
510.0,5.50923e-12
520.0,5.55269e-12
530.0,5.95899e-12
540.0,5.80163e-12
550.0,5.98904e-12
560.0,6.60851e-12
570.0,6.17215e-12
580.0,6.31645e-12
590.0,6.45568e-12
600.0,6.58938e-12
610.0,6.71849e-12
620.0,7.49147e-12
630.0,7.10066e-12
640.0,7.18548e-12
650.0,7.29197e-12
660.0,7.54418e-12
670.0,7.6091e-12
680.0,7.89611e-12
690.0,7.91276e-12
700.0,8.15861e-12
800.0,9.67839e-12
900.0,1.1637e-11
1000.0,1.35116e-11
1100.0,1.58063e-11
1200.0,1.78929e-11
1300.0,2.04716e-11
1400.0,2.30727e-11
1500.0,2.59926e-11
1600.0,2.89207e-11
1700.0,3.19196e-11
1800.0,3.52668e-11
1900.0,3.87043e-11
2000.0,4.22194e-11
2100.0,4.65192e-11
2200.0,4.98357e-11
2300.0,5.40868e-11
2400.0,5.78085e-11
