Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.30338e-12  1.48823e-71
  210  2.31861e-12  1.04126e-68
  220   2.3966e-12  4.12236e-66
  230   2.4538e-12  9.62905e-64
  240  2.58445e-12   1.4704e-61
  250  2.62184e-12  1.45134e-59
  260   2.8238e-12  1.06875e-57
  270  2.85794e-12  5.40509e-56
  280  3.17781e-12  2.26996e-54
  290  2.98139e-12   6.2586e-53
  300  3.06543e-12  1.50888e-51
  310  3.45727e-12  3.25422e-50
  320  3.55294e-12  5.31631e-49
  330  3.33618e-12   6.7088e-48
  340  3.45872e-12  8.02037e-47
  350  3.52251e-12  8.18909e-46
  360  3.57033e-12  7.31965e-45
  370  3.68103e-12  5.91521e-44
  380  3.77135e-12  4.26172e-43
  390  4.03176e-12   2.8985e-42
  400  3.97784e-12  1.65838e-41
  410  4.10506e-12  9.10829e-41
  420  4.21066e-12  4.59131e-40
  430  4.29021e-12  2.13472e-39
  440  4.36123e-12  9.24181e-39
  450  4.52265e-12  3.82682e-38
  460  4.55868e-12  1.45019e-37
  470   4.6809e-12  5.29136e-37
  480  4.79485e-12   1.8269e-36
  490   4.8985e-12  5.98635e-36
  500  4.99375e-12  1.86826e-35
  510  5.21377e-12  5.71503e-35
  520  5.24788e-12  1.61717e-34
  530  5.62439e-12  4.68614e-34
  540  5.46863e-12   1.1874e-33
  550  5.63787e-12  3.08102e-33
  560  6.21289e-12  8.26854e-33
  570  5.79513e-12  1.82055e-32
  580  5.92297e-12  4.26416e-32
  590  6.04578e-12  9.69855e-32
  600  6.16315e-12  2.14504e-31
  610  6.27598e-12  4.62039e-31
  620  6.98929e-12  1.06247e-30
  630  6.61646e-12  2.02963e-30
  640  6.68724e-12  4.04981e-30
  650  6.77806e-12  7.93633e-30
  660    7.004e-12  1.55428e-29
  670  7.05579e-12  2.91159e-29
  680  7.31322e-12  5.51048e-29
  690  7.31999e-12  9.89757e-29
  700   7.5386e-12  1.79892e-28
  800  8.84416e-12  2.83955e-26
  900  1.05278e-11  1.53675e-24
 1000   1.2114e-11  3.76276e-23
 1100  1.40568e-11  5.34931e-22
 1200  1.57969e-11  4.86796e-21
 1300  1.79552e-11  3.25815e-20
 1400  2.01168e-11  1.67338e-19
 1500   2.2541e-11  7.03427e-19
 1600  2.49578e-11  2.48252e-18
 1700   2.7423e-11   7.6018e-18
 1800   3.0175e-11  2.08411e-17
 1900  3.29921e-11  5.16601e-17
 2000  3.58642e-11  1.17488e-16
 2100  3.93908e-11  2.51989e-16
 2200  4.20745e-11  4.95204e-16
 2300  4.55384e-11  9.36256e-16
 2400  4.85476e-11  1.66611e-15
