Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200   2.3336e-12  1.50759e-71
  210   2.3522e-12  1.05618e-68
  220  2.43466e-12  4.18689e-66
  230  2.49625e-12  9.79272e-64
  240  2.63291e-12  1.49738e-61
  250  2.67488e-12  1.47995e-59
  260  2.88517e-12  1.09129e-57
  270  2.92444e-12  5.52653e-56
  280  3.25671e-12  2.32411e-54
  290  3.06016e-12  6.41662e-53
  300  3.15137e-12  1.54909e-51
  310  3.55989e-12  3.34552e-50
  320  3.66434e-12  5.47296e-49
  330  3.44646e-12  6.91599e-48
  340  3.57902e-12  8.27946e-47
  350  3.65119e-12   8.4653e-46
  360  3.70709e-12    7.577e-45
  370  3.82864e-12  6.13166e-44
  380  3.92943e-12  4.42378e-43
  390  4.20817e-12  3.01288e-42
  400  4.15927e-12  1.72621e-41
  410  4.29998e-12  9.49396e-41
  420  4.41855e-12  4.79233e-40
  430  4.51019e-12  2.23126e-39
  440  4.59319e-12  9.67305e-39
  450  4.77191e-12  4.01089e-38
  460  4.81876e-12  1.52202e-37
  470  4.95706e-12  5.56106e-37
  480  5.08709e-12  1.92263e-36
  490  5.20665e-12  6.30858e-36
  500  5.31769e-12  1.97148e-35
  510  5.56223e-12  6.03889e-35
  520  5.60895e-12  1.71109e-34
  530  6.02244e-12  4.96492e-34
  540  5.86643e-12   1.2597e-33
  550  6.05907e-12  3.27293e-33
  560  6.68928e-12  8.79506e-33
  570  6.25087e-12  1.93899e-32
  580  6.40037e-12  4.54744e-32
  590   6.5449e-12  1.03561e-31
  600  6.68399e-12  2.29338e-31
  610  6.81856e-12  4.94617e-31
  620   7.6071e-12  1.13881e-30
  630  7.21409e-12  2.17816e-30
  640  7.30414e-12  4.35155e-30
  650  7.41632e-12  8.53806e-30
  660   7.6769e-12  1.67416e-29
  670  7.74706e-12  3.13991e-29
  680  8.04353e-12  5.94969e-29
  690  8.06474e-12  1.06991e-28
  700  8.31968e-12  1.94687e-28
  800  9.92049e-12  3.10739e-26
  900  1.19869e-11  1.69866e-24
 1000  1.39827e-11  4.19688e-23
 1100   1.6429e-11  6.01505e-22
 1200  1.86746e-11  5.51384e-21
 1300  2.14489e-11  3.71476e-20
 1400  2.42625e-11  1.91926e-19
 1500   2.7427e-11   8.1114e-19
 1600  3.06155e-11  2.87671e-18
 1700  3.38933e-11   8.8483e-18
 1800  3.75552e-11  2.43579e-17
 1900  4.13277e-11  6.06045e-17
 2000  4.51966e-11  1.38307e-16
 2100  4.99204e-11  2.97591e-16
 2200   5.3602e-11  5.86552e-16
 2300  5.83006e-11  1.11201e-15
 2400  6.24403e-11  1.98394e-15
