Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.22223e-12   1.4358e-71
  210  2.23983e-12  1.00588e-68
  220  2.31821e-12  3.98752e-66
  230  2.37668e-12   9.3264e-64
  240  2.50655e-12  1.42608e-61
  250  2.54622e-12  1.40948e-59
  260  2.74605e-12  1.03932e-57
  270    2.783e-12  5.26336e-56
  280  3.09868e-12  2.21344e-54
  290  2.91111e-12  6.11107e-53
  300  2.99725e-12  1.47533e-51
  310  3.38501e-12  3.18621e-50
  320  3.48346e-12  5.21234e-49
  330  3.27544e-12  6.58665e-48
  340  3.40043e-12   7.8852e-47
  350  3.46793e-12  8.06219e-46
  360  3.51987e-12  7.21619e-45
  370  3.63402e-12  5.83967e-44
  380  3.72834e-12  4.21312e-43
  390  3.99131e-12  2.86941e-42
  400  3.94337e-12  1.64401e-41
  410  4.07512e-12  9.04186e-41
  420  4.18573e-12  4.56412e-40
  430  4.27069e-12  2.12501e-39
  440  4.34736e-12  9.21242e-39
  450  4.51446e-12   3.8199e-38
  460  4.55666e-12  1.44954e-37
  470  4.68522e-12  5.29625e-37
  480  4.80581e-12  1.83108e-36
  490  4.91636e-12  6.00817e-36
  500  5.01872e-12   1.8776e-35
  510  5.24689e-12  5.75133e-35
  520  5.28828e-12  1.62961e-34
  530  5.67522e-12   4.7285e-34
  540  5.52536e-12  1.19972e-33
  550  5.70384e-12  3.11708e-33
  560  6.29382e-12  8.37624e-33
  570  5.87824e-12  1.84666e-32
  580  6.01566e-12  4.33089e-32
  590  6.14827e-12  9.86296e-32
  600   6.2756e-12  2.18418e-31
  610  6.39856e-12  4.71063e-31
  620  7.13473e-12  1.08458e-30
  630  6.76254e-12  2.07444e-30
  640  6.84331e-12  4.14433e-30
  650  6.94473e-12  8.13149e-30
  660  7.18493e-12  1.59443e-29
  670  7.24677e-12  2.99039e-29
  680  7.52011e-12  5.66637e-29
  690  7.53596e-12  1.01896e-28
  700   7.7701e-12  1.85416e-28
  800  9.21752e-12  2.95942e-26
  900  1.10828e-11  1.61777e-24
 1000  1.28682e-11  3.99703e-23
 1100  1.50536e-11  5.72862e-22
 1200  1.70408e-11  5.25127e-21
 1300  1.94967e-11  3.53787e-20
 1400   2.1974e-11  1.82786e-19
 1500  2.47549e-11  7.72514e-19
 1600  2.75436e-11  2.73972e-18
 1700  3.03996e-11  8.42695e-18
 1800  3.35874e-11   2.3198e-17
 1900  3.68612e-11  5.77186e-17
 2000  4.02089e-11  1.31721e-16
 2100   4.4304e-11   2.8342e-16
 2200  4.74626e-11  5.58621e-16
 2300  5.15113e-11  1.05906e-15
 2400  5.50557e-11  1.88947e-15
