Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.33334e-12  1.58297e-71
  210  2.35182e-12  1.10899e-68
  220  2.43412e-12  4.39624e-66
  230  2.49551e-12  1.02824e-63
  240  2.63188e-12  1.57225e-61
  250  2.67353e-12  1.55395e-59
  260  2.88335e-12  1.14585e-57
  270  2.92215e-12  5.80286e-56
  280  3.25362e-12  2.44032e-54
  290  3.05667e-12  6.73745e-53
  300  3.14712e-12  1.62655e-51
  310  3.55426e-12   3.5128e-50
  320  3.65763e-12  5.74661e-49
  330  3.43922e-12  7.26179e-48
  340  3.57045e-12  8.69343e-47
  350  3.64133e-12  8.88857e-46
  360  3.69586e-12  7.95585e-45
  370  3.81572e-12  6.43824e-44
  380  3.91475e-12  4.64497e-43
  390  4.19087e-12  3.16353e-42
  400  4.14054e-12  1.81252e-41
  410  4.27888e-12  9.96865e-41
  420  4.39502e-12  5.03194e-40
  430  4.48423e-12  2.34282e-39
  440  4.56473e-12  1.01567e-38
  450  4.74018e-12  4.21144e-38
  460   4.7845e-12  1.59812e-37
  470  4.91948e-12  5.83911e-37
  480   5.0461e-12  2.01876e-36
  490  5.16217e-12  6.62401e-36
  500  5.26965e-12  2.07005e-35
  510  5.50923e-12  6.34084e-35
  520  5.55269e-12  1.79665e-34
  530  5.95899e-12  5.21317e-34
  540  5.80163e-12  1.32269e-33
  550  5.98904e-12  3.43658e-33
  560  6.60851e-12  9.23481e-33
  570  6.17215e-12  2.03594e-32
  580  6.31645e-12  4.77481e-32
  590  6.45568e-12  1.08739e-31
  600  6.58938e-12  2.40805e-31
  610  6.71849e-12  5.19347e-31
  620  7.49147e-12  1.19575e-30
  630  7.10066e-12  2.28707e-30
  640  7.18548e-12  4.56912e-30
  650  7.29197e-12  8.96496e-30
  660  7.54418e-12  1.75786e-29
  670   7.6091e-12  3.29691e-29
  680  7.89611e-12  6.24717e-29
  690  7.91276e-12   1.1234e-28
  700  8.15861e-12  2.04421e-28
  800  9.67839e-12  3.26276e-26
  900   1.1637e-11  1.78359e-24
 1000  1.35116e-11  4.40673e-23
 1100  1.58063e-11   6.3158e-22
 1200  1.78929e-11  5.78953e-21
 1300  2.04716e-11   3.9005e-20
 1400  2.30727e-11  2.01522e-19
 1500  2.59926e-11  8.51697e-19
 1600  2.89207e-11  3.02054e-18
 1700  3.19196e-11  9.29071e-18
 1800  3.52668e-11  2.55758e-17
 1900  3.87043e-11  6.36347e-17
 2000  4.22194e-11  1.45222e-16
 2100  4.65192e-11  3.12471e-16
 2200  4.98357e-11  6.15879e-16
 2300  5.40868e-11  1.16761e-15
 2400  5.78085e-11  2.08314e-15
