Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.33334e-12   1.7097e-71
  210  2.35182e-12  1.19062e-68
  220  2.43412e-12   4.6942e-66
  230  2.49551e-12  1.09248e-63
  240  2.63188e-12  1.66289e-61
  250  2.67353e-12  1.63666e-59
  260  2.88335e-12  1.20218e-57
  270  2.92215e-12   6.0663e-56
  280  3.25362e-12  2.54263e-54
  290  3.05667e-12  6.99821e-53
  300  3.14712e-12  1.68462e-51
  310  3.55426e-12  3.62838e-50
  320  3.65763e-12  5.92066e-49
  330  3.43922e-12  7.46393e-48
  340  3.57045e-12  8.91541e-47
  350  3.64133e-12  9.09627e-46
  360  3.69586e-12  8.12552e-45
  370  3.81572e-12  6.56313e-44
  380  3.91475e-12  4.72661e-43
  390  4.19087e-12  3.21367e-42
  400  4.14054e-12  1.83829e-41
  410  4.27888e-12  1.00948e-40
  420  4.39502e-12   5.0882e-40
  430  4.48423e-12  2.36572e-39
  440  4.56473e-12  1.02423e-38
  450  4.74018e-12  4.24155e-38
  460   4.7845e-12  1.60759e-37
  470  4.91948e-12  5.86688e-37
  480   5.0461e-12   2.0261e-36
  490  5.16217e-12  6.64098e-36
  500  5.26965e-12  2.07323e-35
  510  5.50923e-12   6.3443e-35
  520  5.55269e-12  1.79592e-34
  530  5.95899e-12  5.20631e-34
  540  5.80163e-12  1.31979e-33
  550  5.98904e-12  3.42614e-33
  560  6.60851e-12  9.19924e-33
  570  6.17215e-12   2.0265e-32
  580  6.31645e-12  4.74905e-32
  590  6.45568e-12  1.08073e-31
  600  6.58938e-12   2.3916e-31
  610  6.71849e-12  5.15445e-31
  620  7.49147e-12  1.18597e-30
  630  7.10066e-12  2.26691e-30
  640  7.18548e-12  4.52603e-30
  650  7.29197e-12  8.87504e-30
  660  7.54418e-12  1.73921e-29
  670   7.6091e-12  3.26007e-29
  680  7.89611e-12  6.17396e-29
  690  7.91276e-12  1.10964e-28
  700  8.15861e-12  2.01812e-28
  800  9.67839e-12  3.20668e-26
  900   1.1637e-11  1.74682e-24
 1000  1.35116e-11  4.30382e-23
 1100  1.58063e-11  6.15422e-22
 1200  1.78929e-11  5.63067e-21
 1300  2.04716e-11  3.78736e-20
 1400  2.30727e-11  1.95406e-19
 1500  2.59926e-11  8.24861e-19
 1600  2.89207e-11   2.9223e-18
 1700  3.19196e-11  8.98023e-18
 1800  3.52668e-11  2.47008e-17
 1900  3.87043e-11  6.14124e-17
 2000  4.22194e-11  1.40058e-16
 2100  4.65192e-11  3.01178e-16
 2200  4.98357e-11  5.93299e-16
 2300  5.40868e-11  1.12424e-15
 2400  5.78085e-11  2.00485e-15
