Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  5.96549e-20   1.2973e-18
  210  9.48946e-20   1.7408e-18
  220  1.49059e-19  2.34258e-18
  230  2.31401e-19   3.1577e-18
  240   3.5566e-19  4.26406e-18
  250  5.41215e-19  5.76024e-18
  260  8.16957e-19  7.78992e-18
  270  1.22274e-18   1.0531e-17
  280  1.81469e-18    1.422e-17
  290   2.6714e-18  1.91704e-17
  300  3.89822e-18  2.57696e-17
  310  5.64049e-18  3.45312e-17
  320  8.09038e-18  4.60903e-17
  330  1.14991e-17  6.12281e-17
  340  1.61978e-17  8.09336e-17
  350  2.26099e-17    1.064e-16
  360  3.12704e-17  1.39061e-16
  370  4.28549e-17  1.80652e-16
  380   5.8203e-17  2.33234e-16
  390  7.83463e-17  2.99236e-16
  400  1.04539e-16  3.81485e-16
  410  1.38295e-16  4.83276e-16
  420  1.81426e-16  6.08402e-16
  430  2.36075e-16  7.61192e-16
  440  3.04764e-16  9.46576e-16
  450  3.90437e-16  1.17013e-15
  460  4.96502e-16   1.4381e-15
  470  6.26878e-16  1.75748e-15
  480  7.86045e-16  2.13603e-15
  490  9.79093e-16  2.58234e-15
  500  1.21176e-15  3.10585e-15
  510  1.49052e-15  3.71693e-15
  520  1.82257e-15   4.4269e-15
  530  2.21592e-15  5.24803e-15
  540  2.67944e-15  6.19364e-15
  550  3.22289e-15  7.27811e-15
  560  3.85699e-15  8.51688e-15
  570  4.59342e-15  9.92654e-15
  580  5.44493e-15  1.15248e-14
  590   6.4253e-15  1.33306e-14
  600  7.54944e-15   1.5364e-14
  610  8.83341e-15  1.76463e-14
  620  1.02944e-14     2.02e-14
  630   1.1951e-14   2.3049e-14
  640  1.38227e-14  2.62183e-14
  650  1.59305e-14  2.97343e-14
  660  1.82966e-14  3.36245e-14
  670  2.09447e-14   3.7918e-14
  680  2.38995e-14  4.26449e-14
  690  2.71873e-14  4.78368e-14
  700  3.08357e-14  5.35265e-14
  800  9.41962e-14  1.45965e-13
  900  2.34093e-13  3.33879e-13
 1000  4.99989e-13  6.70526e-13
 1100  9.52421e-13   1.2195e-12
 1200  1.66032e-12  2.05256e-12
 1300  2.69824e-12  3.24747e-12
 1400  4.14381e-12   4.8859e-12
 1500  6.07566e-12  7.05163e-12
 1600  8.57181e-12  9.82909e-12
 1700  1.17084e-11  1.33021e-11
 1800  1.55591e-11   1.7553e-11
 1900   2.0194e-11  2.26619e-11
 2000  2.56799e-11  2.87061e-11
 2100  3.20799e-11    3.576e-11
 2200  3.94532e-11  4.38947e-11
 2300  4.78553e-11  5.31778e-11
 2400  5.73383e-11  6.36738e-11
