Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  1.26625e-19  2.75369e-18
  210  1.95019e-19  3.57753e-18
  220  2.96741e-19  4.66352e-18
  230  4.46302e-19  6.09025e-18
  240  6.64919e-19  7.97184e-18
  250  9.80866e-19  1.04395e-17
  260  1.43687e-18   1.3701e-17
  270  2.08863e-18  1.79885e-17
  280  3.01309e-18  2.36107e-17
  290    4.317e-18  3.09796e-17
  300  6.13689e-18  4.05685e-17
  310  8.66268e-18  5.30332e-17
  320  1.21384e-17  6.91516e-17
  330  1.68745e-17  8.98503e-17
  340  2.32826e-17  1.16333e-16
  350  3.18767e-17  1.50009e-16
  360  4.32951e-17  1.92535e-16
  370  5.83402e-17  2.45929e-16
  380  7.79995e-17  3.12564e-16
  390  1.03474e-16  3.95207e-16
  400  1.36205e-16  4.97044e-16
  410  1.77929e-16   6.2178e-16
  420  2.30702e-16  7.73645e-16
  430  2.96937e-16  9.57431e-16
  440   3.7946e-16  1.17858e-15
  450  4.81554e-16   1.4432e-15
  460  6.06992e-16  1.75813e-15
  470  7.60093e-16  2.13096e-15
  480   9.4577e-16  2.57007e-15
  490  1.16958e-15  3.08476e-15
  500  1.43777e-15  3.68511e-15
  510  1.75734e-15   4.3823e-15
  520  2.13607e-15  5.18838e-15
  530  2.58257e-15  6.11639e-15
  540  3.10636e-15  7.18049e-15
  550  3.71786e-15  8.39588e-15
  560   4.4285e-15  9.77887e-15
  570   5.2507e-15  1.13469e-14
  580  6.19797e-15  1.31187e-14
  590  7.28489e-15   1.5114e-14
  600   8.5272e-15  1.73538e-14
  610  9.94179e-15  1.98605e-14
  620  1.15468e-14  2.26574e-14
  630  1.33615e-14  2.57695e-14
  640  1.54066e-14  2.92227e-14
  650  1.77039e-14  3.30443e-14
  660  2.02765e-14  3.72631e-14
  670  2.31492e-14  4.19089e-14
  680  2.63476e-14   4.7013e-14
  690   2.9899e-14   5.2608e-14
  700   3.3832e-14  5.87277e-14
  800  1.01426e-13  1.57168e-13
  900  2.48808e-13  3.54867e-13
 1000  5.26429e-13  7.05985e-13
 1100  9.95675e-13  1.27488e-12
 1200  1.72614e-12  2.13393e-12
 1300  2.79286e-12  3.36136e-12
 1400  4.27378e-12  5.03914e-12
 1500  6.24768e-12  7.25129e-12
 1600  8.79263e-12  1.00823e-11
 1700  1.19848e-11   1.3616e-11
 1800  1.58975e-11  1.79347e-11
 1900  2.06008e-11  2.31184e-11
 2000  2.61614e-11  2.92443e-11
 2100   3.2642e-11  3.63866e-11
 2200  4.01016e-11  4.46161e-11
 2300  4.85955e-11  5.40004e-11
 2400  5.81755e-11  6.46034e-11
