========================================
O+H2_B1_Frequencies_1_0.05.out
--
T,P1->P2
200.0,6.70554e-20
210.0,1.05895e-19
220.0,1.65219e-19
230.0,2.54879e-19
240.0,3.89446e-19
250.0,5.89362e-19
260.0,8.85019e-19
270.0,1.31812e-18
280.0,1.94719e-18
290.0,2.85387e-18
300.0,4.14713e-18
310.0,5.97686e-18
320.0,8.54046e-18
330.0,1.2095e-17
340.0,1.69786e-17
350.0,2.36216e-17
360.0,3.25663e-17
370.0,4.44956e-17
380.0,6.02552e-17
390.0,8.08814e-17
400.0,1.0763e-16
410.0,1.42014e-16
420.0,1.85838e-16
430.0,2.4123e-16
440.0,3.1069e-16
450.0,3.97127e-16
460.0,5.03901e-16
470.0,6.34867e-16
480.0,7.94421e-16
490.0,9.87547e-16
500.0,1.21985e-15
510.0,1.49764e-15
520.0,1.82791e-15
530.0,2.21844e-15
540.0,2.67782e-15
550.0,3.2155e-15
560.0,3.84179e-15
570.0,4.56796e-15
580.0,5.40624e-15
590.0,6.36987e-15
600.0,7.47312e-15
610.0,8.73133e-15
620.0,1.01609e-14
630.0,1.17795e-14
640.0,1.36058e-14
650.0,1.56596e-14
660.0,1.7962e-14
670.0,2.05353e-14
680.0,2.3403e-14
690.0,2.65898e-14
700.0,3.01217e-14
800.0,9.10235e-14
900.0,2.24167e-13
1000.0,4.75111e-13
1100.0,8.99035e-13
1200.0,1.55821e-12
1300.0,2.51942e-12
1400.0,3.85176e-12
1500.0,5.62478e-12
1600.0,7.90707e-12
1700.0,1.07653e-11
1800.0,1.42636e-11
1900.0,1.84628e-11
2000.0,2.34208e-11
2100.0,2.91917e-11
2200.0,3.58266e-11
2300.0,4.3373e-11
2400.0,5.18753e-11
========================================
O+H2_P2_Frequencies_1_0.05.out
--
T,P1->P2
200.0,6.76524e-20
210.0,1.06974e-19
220.0,1.6712e-19
230.0,2.58152e-19
240.0,3.94971e-19
250.0,5.9852e-19
260.0,8.99969e-19
270.0,1.34216e-18
280.0,1.98531e-18
290.0,2.91353e-18
300.0,4.23927e-18
310.0,6.11739e-18
320.0,8.75219e-18
330.0,1.24101e-17
340.0,1.7442e-17
350.0,2.42951e-17
360.0,3.35341e-17
370.0,4.58706e-17
380.0,6.21873e-17
390.0,8.35675e-17
400.0,1.11326e-16
410.0,1.47048e-16
420.0,1.92627e-16
430.0,2.50301e-16
440.0,3.227e-16
450.0,4.1289e-16
460.0,5.24416e-16
470.0,6.61352e-16
480.0,8.28347e-16
490.0,1.03068e-15
500.0,1.2743e-15
510.0,1.5659e-15
520.0,1.91292e-15
530.0,2.32365e-15
540.0,2.80724e-15
550.0,3.37376e-15
560.0,4.03424e-15
