Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200   7.6722e-20  1.47122e-18
  210   1.2059e-19  1.96238e-18
  220  1.87369e-19  2.62642e-18
  230  2.87995e-19  3.52275e-18
  240  4.38627e-19  4.73537e-18
  250  6.61894e-19  6.37016e-18
  260  9.91416e-19  8.58146e-18
  270  1.47325e-18  1.15595e-17
  280  2.17197e-18  1.55569e-17
  290  3.17761e-18   2.0908e-17
  300  4.61015e-18  2.80241e-17
  310  6.63461e-18  3.74508e-17
  320  9.46814e-18  4.98606e-17
  330  1.33933e-17  6.60791e-17
  340  1.87817e-17  8.71502e-17
  350   2.6106e-17  1.14331e-16
  360  3.59618e-17  1.49128e-16
  370  4.90984e-17  1.93364e-16
  380  6.64443e-17    2.492e-16
  390  8.91367e-17  3.19177e-16
  400  1.18553e-16  4.06252e-16
  410  1.56355e-16  5.13863e-16
  420  2.04519e-16  6.45963e-16
  430  2.65384e-16  8.07061e-16
  440  3.41691e-16  1.00228e-15
  450  4.36634e-16  1.23742e-15
  460    5.539e-16  1.51895e-15
  470  6.97722e-16  1.85413e-15
  480  8.72927e-16  2.25099e-15
  490  1.08499e-15   2.7184e-15
  500  1.34007e-15  3.26614e-15
  510  1.64509e-15  3.90491e-15
  520  2.00776e-15  4.64637e-15
  530  2.43663e-15  5.50318e-15
  540  2.94114e-15  6.48906e-15
  550  3.53168e-15   7.6188e-15
  560  4.21963e-15  8.90828e-15
  570  5.01739e-15  1.03745e-14
  580  5.93845e-15  1.20358e-14
  590  6.99738e-15  1.39114e-14
  600  8.20993e-15   1.6022e-14
  610  9.59303e-15  1.83894e-14
  620  1.11648e-14  2.10366e-14
  630  1.29447e-14  2.39882e-14
  640  1.49534e-14  2.72696e-14
  650  1.72128e-14  3.09079e-14
  660  1.97462e-14  3.49311e-14
  670  2.25784e-14   3.9369e-14
  680  2.57353e-14  4.42524e-14
  690  2.92442e-14  4.96134e-14
  700  3.31341e-14  5.54855e-14
  800  1.00312e-13  1.50629e-13
  900  2.47554e-13  3.43345e-13
 1000  5.25793e-13  6.87611e-13
 1100  9.97004e-13  1.24771e-12
 1200  1.73143e-12  2.09605e-12
 1300  2.80474e-12  3.31094e-12
 1400  4.29546e-12   4.9745e-12
 1500  6.28295e-12  7.17092e-12
 1600  8.84569e-12  9.98488e-12
 1700  1.20602e-11  1.35004e-11
 1800  1.60002e-11  1.78001e-11
 1900   2.0736e-11   2.2964e-11
 2000  2.63343e-11  2.90695e-11
 2100  3.28579e-11   3.6191e-11
 2200   4.0366e-11  4.43996e-11
 2300  4.89139e-11  5.37628e-11
 2400  5.85533e-11  6.43448e-11
