Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.44309e-20  1.40117e-18
  210   1.0188e-19  1.86893e-18
  220  1.59162e-19  2.50135e-18
  230  2.45859e-19    3.355e-18
  240  3.76163e-19  4.50988e-18
  250  5.70019e-19  6.06682e-18
  260  8.57113e-19  8.17282e-18
  270  1.27825e-18  1.10091e-17
  280  1.89077e-18  1.48161e-17
  290  2.77479e-18  1.99124e-17
  300   4.0374e-18  2.66896e-17
  310  5.82608e-18  3.56675e-17
  320  8.33542e-18  4.74863e-17
  330  1.18191e-17  6.29324e-17
  340  1.66114e-17  8.30002e-17
  350  2.31382e-17  1.08886e-16
  360  3.19373e-17  1.42027e-16
  370  4.36862e-17  1.84156e-16
  380   5.9226e-17  2.37333e-16
  390  7.95881e-17  3.03978e-16
  400  1.06024e-16  3.86907e-16
  410  1.40046e-16  4.89394e-16
  420  1.83454e-16  6.15203e-16
  430  2.38382e-16   7.6863e-16
  440  3.07333e-16  9.54555e-16
  450  3.93229e-16  1.17849e-15
  460  4.99444e-16  1.44662e-15
  470  6.29859e-16  1.76584e-15
  480  7.88902e-16   2.1438e-15
  490  9.81602e-16  2.58896e-15
  500  1.21362e-15  3.11061e-15
  510  1.49133e-15  3.71896e-15
  520  1.82183e-15  4.42511e-15
  530    2.213e-15  5.24113e-15
  540  2.67356e-15  6.18006e-15
  550   3.2131e-15    7.256e-15
  560  3.84213e-15  8.48407e-15
  570  4.57213e-15  9.88051e-15
  580  5.41556e-15  1.14627e-14
  590  6.38594e-15  1.32489e-14
  600  7.49787e-15   1.5259e-14
  610  8.76703e-15  1.75137e-14
  620  1.02103e-14  2.00349e-14
  630  1.18456e-14  2.28459e-14
  640  1.36923e-14  2.59711e-14
  650  1.57707e-14  2.94361e-14
  660  1.81025e-14  3.32678e-14
  670  2.07107e-14  3.74943e-14
  680  2.36195e-14  4.21451e-14
  690  2.68543e-14  4.72508e-14
  700  3.04421e-14  5.28433e-14
  800  9.25771e-14  1.43456e-13
  900  2.29266e-13  3.26995e-13
 1000  4.88313e-13  6.54868e-13
 1100  9.28055e-13   1.1883e-12
 1200  1.61477e-12  1.99624e-12
 1300  2.61997e-12  3.15327e-12
 1400  4.01805e-12  4.73762e-12
 1500  5.88422e-12  6.82944e-12
 1600  8.29302e-12  9.50941e-12
 1700  1.13172e-11  1.28576e-11
 1800  1.50268e-11  1.69525e-11
 1900  1.94888e-11  2.18704e-11
 2000  2.47667e-11  2.76852e-11
 2100  3.09205e-11  3.44677e-11
 2200  3.80066e-11  4.22853e-11
 2300  4.60778e-11  5.12027e-11
 2400  5.51835e-11  6.12808e-11
