Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200   7.1035e-20  1.47122e-18
  210  1.12322e-19  1.96238e-18
  220  1.75476e-19  2.62642e-18
  230  2.71059e-19  3.52275e-18
  240  4.14719e-19  4.73537e-18
  250  6.28446e-19  6.37016e-18
  260  9.44968e-19  8.58146e-18
  270  1.40927e-18  1.15595e-17
  280  2.08457e-18  1.55569e-17
  290  3.05921e-18   2.0908e-17
  300  4.45123e-18  2.80241e-17
  310  6.42326e-18  3.74508e-17
  320   9.1898e-18  4.98606e-17
  330  1.30306e-17  6.60791e-17
  340  1.83141e-17  8.71502e-17
  350  2.55099e-17  1.14331e-16
  360  3.52108e-17  1.49128e-16
  370  4.81641e-17  1.93364e-16
  380  6.52967e-17    2.492e-16
  390  8.77459e-17  3.19177e-16
  400  1.16892e-16  4.06252e-16
  410    1.544e-16  5.13863e-16
  420  2.02258e-16  6.45963e-16
  430  2.62816e-16  8.07061e-16
  440  3.38835e-16  1.00228e-15
  450  4.33535e-16  1.23742e-15
  460  5.50637e-16  1.51895e-15
  470  6.94419e-16  1.85413e-15
  480  8.69765e-16  2.25099e-15
  490  1.08222e-15   2.7184e-15
  500  1.33802e-15  3.26614e-15
  510   1.6442e-15  3.90491e-15
  520  2.00857e-15  4.64637e-15
  530  2.43984e-15  5.50318e-15
  540   2.9476e-15  6.48906e-15
  550  3.54244e-15   7.6188e-15
  560  4.23595e-15  8.90828e-15
  570  5.04077e-15  1.03745e-14
  580  5.97065e-15  1.20358e-14
  590   7.0405e-15  1.39114e-14
  600   8.2664e-15   1.6022e-14
  610  9.66566e-15  1.83894e-14
  620  1.12568e-14  2.10366e-14
  630  1.30598e-14  2.39882e-14
  640  1.50958e-14  2.72696e-14
  650  1.73872e-14  3.09079e-14
  660   1.9958e-14  3.49311e-14
  670  2.28335e-14   3.9369e-14
  680  2.60405e-14  4.42524e-14
  690  2.96069e-14  4.96134e-14
  700  3.35624e-14  5.54855e-14
  800  1.02066e-13  1.50629e-13
  900  2.52766e-13  3.43345e-13
 1000  5.38365e-13  6.87611e-13
 1100  1.02318e-12  1.24771e-12
 1200  1.78028e-12  2.09605e-12
 1300  2.88852e-12  3.31094e-12
 1400   4.4299e-12   4.9745e-12
 1500  6.48736e-12  7.17092e-12
 1600  9.14306e-12  9.98488e-12
 1700  1.24772e-11  1.35004e-11
 1800   1.6567e-11  1.78001e-11
 1900  2.14864e-11   2.2964e-11
 2000  2.73053e-11  2.90695e-11
 2100  3.40899e-11   3.6191e-11
 2200  4.19023e-11  4.43996e-11
 2300  5.08008e-11  5.37628e-11
 2400  6.08398e-11  6.43448e-11
