Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.70554e-20  1.45824e-18
  210  1.05895e-19  1.94259e-18
  220  1.65219e-19  2.59655e-18
  230  2.54879e-19  3.47809e-18
  240  3.89446e-19  4.66913e-18
  250  5.89362e-19  6.27268e-18
  260  8.85019e-19  8.43891e-18
  270  1.31812e-18  1.13524e-17
  280  1.94719e-18  1.52582e-17
  290  2.85387e-18  2.04799e-17
  300  4.14713e-18  2.74151e-17
  310  5.97686e-18  3.65905e-17
  320  8.54046e-18  4.86544e-17
  330   1.2095e-17  6.44013e-17
  340  1.69786e-17  8.48347e-17
  350  2.36216e-17  1.11161e-16
  360  3.25663e-17  1.44824e-16
  370  4.44956e-17  1.87568e-16
  380  6.02552e-17  2.41458e-16
  390  8.08814e-17  3.08918e-16
  400   1.0763e-16  3.92766e-16
  410  1.42014e-16  4.96274e-16
  420  1.85838e-16  6.23197e-16
  430   2.4123e-16  7.77813e-16
  440   3.1069e-16   9.6498e-16
  450  3.97127e-16  1.19018e-15
  460  5.03901e-16  1.45953e-15
  470  6.34867e-16  1.77988e-15
  480  7.94421e-16  2.15879e-15
  490  9.87547e-16  2.60464e-15
  500  1.21985e-15  3.12658e-15
  510  1.49764e-15  3.73468e-15
  520  1.82791e-15  4.43987e-15
  530  2.21844e-15  5.25401e-15
  540  2.67782e-15  6.18991e-15
  550   3.2155e-15  7.26141e-15
  560  3.84179e-15  8.48331e-15
  570  4.56796e-15  9.87151e-15
  580  5.40624e-15  1.14429e-14
  590  6.36987e-15  1.32156e-14
  600  7.47312e-15  1.52087e-14
  610  8.73133e-15  1.74423e-14
  620  1.01609e-14  1.99381e-14
  630  1.17795e-14  2.27184e-14
  640  1.36058e-14  2.58069e-14
  650  1.56596e-14  2.92286e-14
  660   1.7962e-14  3.30095e-14
  670  2.05353e-14  3.71768e-14
  680   2.3403e-14  4.17589e-14
  690  2.65898e-14  4.67854e-14
  700  3.01217e-14  5.22872e-14
  800  9.10235e-14  1.41049e-13
  900  2.24167e-13  3.19722e-13
 1000  4.75111e-13  6.37163e-13
 1100  8.99035e-13  1.15114e-12
 1200  1.55821e-12  1.92632e-12
 1300  2.51942e-12  3.03225e-12
 1400  3.85176e-12  4.54155e-12
 1500  5.62478e-12  6.52832e-12
 1600  7.90707e-12  9.06685e-12
 1700  1.07653e-11  1.22306e-11
 1800  1.42636e-11  1.60915e-11
 1900  1.84628e-11  2.07191e-11
 2000  2.34208e-11  2.61807e-11
 2100  2.91917e-11  3.25405e-11
 2200  3.58266e-11  3.98598e-11
 2300   4.3373e-11   4.8197e-11
 2400  5.18753e-11  5.76072e-11
