Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  3.23363e-11          ***
  210  3.25631e-11          ***
  220  3.27798e-11          ***
  230  3.29865e-11          ***
  240  3.31837e-11          ***
  250  3.33724e-11          ***
  260  3.35535e-11          ***
  270  3.37281e-11          ***
  280  3.38974e-11          ***
  290  3.40624e-11          ***
  300  3.42241e-11          ***
  310  3.43836e-11          ***
  320  3.45415e-11          ***
  330  3.46988e-11          ***
  340   3.4856e-11          ***
  350  3.50138e-11          ***
  360  3.51726e-11          ***
  370  3.53329e-11          ***
  380   3.5495e-11          ***
  390  3.56592e-11          ***
  400  3.58258e-11          ***
  410   3.5995e-11          ***
  420   3.6167e-11          ***
  430  3.63419e-11          ***
  440  3.65198e-11          ***
  450  3.67008e-11          ***
  460  3.68851e-11          ***
  470  3.70726e-11          ***
  480  3.72633e-11          ***
  490  3.74575e-11          ***
  500  3.76549e-11          ***
  510  3.78558e-11          ***
  520    3.806e-11          ***
  530  3.82676e-11          ***
  540  3.84787e-11          ***
  550  3.86931e-11          ***
  560  3.89109e-11          ***
  570  3.91321e-11          ***
  580  3.93566e-11          ***
  590  3.95845e-11          ***
  600  3.98158e-11          ***
  610  4.00503e-11          ***
  620  4.02882e-11          ***
  630  4.05293e-11          ***
  640  4.07737e-11          ***
  650  4.10213e-11          ***
  660  4.12721e-11          ***
  670  4.15261e-11          ***
  680  4.17832e-11          ***
  690  4.20435e-11          ***
  700  4.23069e-11          ***
  800  4.51075e-11          ***
  900  4.82005e-11          ***
 1000  5.15774e-11          ***
 1100  5.52311e-11          ***
 1200  5.91488e-11          ***
 1300  6.33121e-11          ***
 1400  6.77017e-11          ***
 1500  7.23033e-11          ***
 1600  7.71093e-11          ***
 1700  8.21188e-11          ***
 1800  8.73352e-11          ***
 1900  9.27627e-11          ***
 2000  9.84042e-11          ***
 2100  1.04259e-10          ***
 2200  1.10324e-10          ***
 2300   1.1659e-10          ***
 2400  1.23049e-10          ***
 2500  1.29687e-10          ***
 2600  1.36495e-10          ***
 2700  1.43461e-10          ***
 2800  1.50575e-10          ***
 2900  1.57832e-10          ***
 3000  1.65225e-10          ***
