Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  3.52047e-11          ***
  210  3.53851e-11          ***
  220  3.55481e-11          ***
  230  3.56938e-11          ***
  240   3.5823e-11          ***
  250  3.59367e-11          ***
  260   3.6036e-11          ***
  270  3.61224e-11          ***
  280  3.61972e-11          ***
  290  3.62617e-11          ***
  300  3.63171e-11          ***
  310  3.63647e-11          ***
  320  3.64055e-11          ***
  330  3.64406e-11          ***
  340  3.64708e-11          ***
  350   3.6497e-11          ***
  360  3.65199e-11          ***
  370  3.65402e-11          ***
  380  3.65583e-11          ***
  390   3.6575e-11          ***
  400  3.65905e-11          ***
  410  3.66053e-11          ***
  420  3.66197e-11          ***
  430  3.66341e-11          ***
  440  3.66487e-11          ***
  450  3.66638e-11          ***
  460  3.66796e-11          ***
  470  3.66963e-11          ***
  480   3.6714e-11          ***
  490  3.67329e-11          ***
  500  3.67531e-11          ***
  510  3.67748e-11          ***
  520  3.67981e-11          ***
  530  3.68229e-11          ***
  540  3.68495e-11          ***
  550  3.68779e-11          ***
  560  3.69081e-11          ***
  570  3.69402e-11          ***
  580  3.69742e-11          ***
  590  3.70102e-11          ***
  600  3.70481e-11          ***
  610  3.70881e-11          ***
  620    3.713e-11          ***
  630  3.71739e-11          ***
  640  3.72199e-11          ***
  650  3.72679e-11          ***
  660  3.73178e-11          ***
  670  3.73698e-11          ***
  680  3.74238e-11          ***
  690  3.74797e-11          ***
  700  3.75376e-11          ***
  800  3.82206e-11          ***
  900   3.9081e-11          ***
 1000  4.01043e-11          ***
 1100  4.12763e-11          ***
 1200    4.258e-11          ***
 1300  4.39963e-11          ***
 1400  4.55083e-11          ***
 1500  4.71041e-11          ***
 1600  4.87775e-11          ***
 1700  5.05268e-11          ***
 1800  5.23532e-11          ***
 1900  5.42578e-11          ***
 2000  5.62411e-11          ***
 2100  5.83015e-11          ***
 2200  6.04355e-11          ***
 2300  6.26381e-11          ***
 2400  6.49032e-11          ***
 2500  6.72247e-11          ***
 2600  6.95964e-11          ***
 2700  7.20132e-11          ***
 2800  7.44709e-11          ***
 2900  7.69664e-11          ***
 3000  7.94979e-11          ***
