Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.97179e-11          ***
  210  2.99186e-11          ***
  220   3.0117e-11          ***
  230  3.03105e-11          ***
  240  3.04973e-11          ***
  250  3.06763e-11          ***
  260  3.08468e-11          ***
  270  3.10083e-11          ***
  280  3.11607e-11          ***
  290  3.13042e-11          ***
  300   3.1439e-11          ***
  310  3.15654e-11          ***
  320  3.16839e-11          ***
  330  3.17949e-11          ***
  340  3.18989e-11          ***
  350  3.19964e-11          ***
  360  3.20878e-11          ***
  370  3.21738e-11          ***
  380  3.22546e-11          ***
  390  3.23309e-11          ***
  400   3.2403e-11          ***
  410  3.24713e-11          ***
  420  3.25363e-11          ***
  430  3.25983e-11          ***
  440  3.26576e-11          ***
  450  3.27147e-11          ***
  460  3.27697e-11          ***
  470  3.28231e-11          ***
  480   3.2875e-11          ***
  490  3.29257e-11          ***
  500  3.29756e-11          ***
  510  3.30247e-11          ***
  520  3.30733e-11          ***
  530  3.31216e-11          ***
  540  3.31698e-11          ***
  550  3.32179e-11          ***
  560  3.32663e-11          ***
  570   3.3315e-11          ***
  580  3.33641e-11          ***
  590  3.34138e-11          ***
  600  3.34641e-11          ***
  610  3.35151e-11          ***
  620   3.3567e-11          ***
  630  3.36197e-11          ***
  640  3.36734e-11          ***
  650  3.37281e-11          ***
  660  3.37839e-11          ***
  670  3.38407e-11          ***
  680  3.38988e-11          ***
  690   3.3958e-11          ***
  700  3.40184e-11          ***
  800  3.46929e-11          ***
  900  3.55014e-11          ***
 1000  3.64448e-11          ***
 1100  3.75168e-11          ***
 1200  3.87053e-11          ***
 1300  3.99946e-11          ***
 1400  4.13701e-11          ***
 1500  4.28213e-11          ***
 1600  4.43428e-11          ***
 1700  4.59333e-11          ***
 1800  4.75937e-11          ***
 1900  4.93252e-11          ***
 2000  5.11283e-11          ***
 2100  5.30013e-11          ***
 2200  5.49413e-11          ***
 2300  5.69437e-11          ***
 2400  5.90029e-11          ***
 2500  6.11133e-11          ***
 2600  6.32694e-11          ***
 2700  6.54665e-11          ***
 2800  6.77008e-11          ***
 2900  6.99695e-11          ***
 3000  7.22708e-11          ***
