Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  4.11605e-11          ***
  210  4.08787e-11          ***
  220  4.06221e-11          ***
  230   4.0385e-11          ***
  240  4.01634e-11          ***
  250  3.99543e-11          ***
  260  3.97558e-11          ***
  270  3.95665e-11          ***
  280  3.93853e-11          ***
  290  3.92117e-11          ***
  300  3.90452e-11          ***
  310  3.88853e-11          ***
  320   3.8732e-11          ***
  330   3.8585e-11          ***
  340  3.84442e-11          ***
  350  3.83095e-11          ***
  360  3.81807e-11          ***
  370  3.80579e-11          ***
  380  3.79408e-11          ***
  390  3.78293e-11          ***
  400  3.77235e-11          ***
  410  3.76231e-11          ***
  420  3.75281e-11          ***
  430  3.74384e-11          ***
  440  3.73539e-11          ***
  450  3.72744e-11          ***
  460  3.71999e-11          ***
  470  3.71303e-11          ***
  480  3.70654e-11          ***
  490  3.70053e-11          ***
  500  3.69497e-11          ***
  510  3.68986e-11          ***
  520  3.68519e-11          ***
  530  3.68096e-11          ***
  540  3.67715e-11          ***
  550  3.67375e-11          ***
  560  3.67076e-11          ***
  570  3.66816e-11          ***
  580  3.66595e-11          ***
  590  3.66413e-11          ***
  600  3.66267e-11          ***
  610  3.66158e-11          ***
  620  3.66085e-11          ***
  630  3.66046e-11          ***
  640  3.66042e-11          ***
  650   3.6607e-11          ***
  660  3.66131e-11          ***
  670  3.66224e-11          ***
  680  3.66348e-11          ***
  690  3.66502e-11          ***
  700  3.66686e-11          ***
  800  3.70018e-11          ***
  900  3.75712e-11          ***
 1000  3.83401e-11          ***
 1100  3.92804e-11          ***
 1200  4.03669e-11          ***
 1300  4.15752e-11          ***
 1400  4.28853e-11          ***
 1500  4.42829e-11          ***
 1600    4.576e-11          ***
 1700  4.73135e-11          ***
 1800  4.89431e-11          ***
 1900  5.06492e-11          ***
 2000  5.24311e-11          ***
 2100  5.42868e-11          ***
 2200  5.62126e-11          ***
 2300  5.82033e-11          ***
 2400  6.02531e-11          ***
 2500  6.23559e-11          ***
 2600  6.45059e-11          ***
 2700  6.66981e-11          ***
 2800  6.89285e-11          ***
 2900  7.11942e-11          ***
 3000  7.34933e-11          ***
