Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  3.20019e-11          ***
  210  3.21663e-11          ***
  220  3.23148e-11          ***
  230  3.24475e-11          ***
  240  3.25651e-11          ***
  250  3.26686e-11          ***
  260  3.27591e-11          ***
  270  3.28378e-11          ***
  280  3.29058e-11          ***
  290  3.29645e-11          ***
  300   3.3015e-11          ***
  310  3.30583e-11          ***
  320  3.30955e-11          ***
  330  3.31274e-11          ***
  340  3.31549e-11          ***
  350  3.31788e-11          ***
  360  3.31996e-11          ***
  370  3.32181e-11          ***
  380  3.32346e-11          ***
  390  3.32498e-11          ***
  400  3.32639e-11          ***
  410  3.32774e-11          ***
  420  3.32905e-11          ***
  430  3.33036e-11          ***
  440  3.33169e-11          ***
  450  3.33306e-11          ***
  460   3.3345e-11          ***
  470  3.33601e-11          ***
  480  3.33763e-11          ***
  490  3.33935e-11          ***
  500  3.34119e-11          ***
  510  3.34316e-11          ***
  520  3.34527e-11          ***
  530  3.34754e-11          ***
  540  3.34995e-11          ***
  550  3.35253e-11          ***
  560  3.35528e-11          ***
  570   3.3582e-11          ***
  580  3.36129e-11          ***
  590  3.36456e-11          ***
  600  3.36801e-11          ***
  610  3.37164e-11          ***
  620  3.37545e-11          ***
  630  3.37945e-11          ***
  640  3.38363e-11          ***
  650  3.38799e-11          ***
  660  3.39253e-11          ***
  670  3.39725e-11          ***
  680  3.40216e-11          ***
  690  3.40724e-11          ***
  700  3.41251e-11          ***
  800   3.4746e-11          ***
  900  3.55282e-11          ***
 1000  3.64584e-11          ***
 1100  3.75239e-11          ***
 1200  3.87091e-11          ***
 1300  3.99966e-11          ***
 1400  4.13712e-11          ***
 1500  4.28219e-11          ***
 1600  4.43431e-11          ***
 1700  4.59335e-11          ***
 1800  4.75938e-11          ***
 1900  4.93253e-11          ***
 2000  5.11283e-11          ***
 2100  5.30014e-11          ***
 2200  5.49414e-11          ***
 2300  5.69437e-11          ***
 2400  5.90029e-11          ***
 2500  6.11133e-11          ***
 2600  6.32694e-11          ***
 2700  6.54665e-11          ***
 2800  6.77008e-11          ***
 2900  6.99695e-11          ***
 3000  7.22708e-11          ***
