Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.13867e-14  4.61167e-33
  210  2.50204e-14  3.75946e-32
  220  2.87393e-14  2.51678e-31
  230  3.33463e-14  1.45726e-30
  240  3.86161e-14  7.35239e-30
  250   4.4705e-14  3.29113e-29
  260  5.16154e-14  1.32212e-28
  270  5.95015e-14  4.82856e-28
  280  6.85166e-14   1.6202e-27
  290  7.86405e-14  5.02769e-27
  300  9.00258e-14  1.45473e-26
  310  1.02822e-13  3.95175e-26
  320   1.1717e-13  1.01369e-25
  330  1.33262e-13  2.46869e-25
  340   1.5103e-13  5.72417e-25
  350  1.70546e-13  1.26857e-24
  360  1.92061e-13  2.69891e-24
  370  2.15924e-13  5.53527e-24
  380   2.4182e-13  1.09508e-23
  390  2.70366e-13  2.09957e-23
  400  3.01253e-13  3.90326e-23
  410  3.35292e-13  7.06662e-23
  420  3.71959e-13  1.24551e-22
  430  4.10873e-13  2.13858e-22
  440  4.53333e-13  3.59379e-22
  450  4.99117e-13  5.91301e-22
  460  5.48416e-13  9.53867e-22
  470  6.01067e-13  1.50963e-21
  480  6.57214e-13  2.34684e-21
  490  7.17318e-13  3.58915e-21
  500  7.81561e-13  5.40518e-21
  510  8.49817e-13  8.01969e-21
  520  9.21947e-13  1.17292e-20
  530  9.98401e-13  1.69297e-20
  540  1.07956e-12   2.4138e-20
  550  1.16566e-12  3.40194e-20
  560  1.25588e-12  4.73837e-20
  570  1.35132e-12  6.53164e-20
  580   1.4517e-12  8.91215e-20
  590  1.55757e-12  1.20462e-19
  600  1.66812e-12  1.61275e-19
  610  1.78443e-12  2.14081e-19
  620  1.90622e-12  2.81807e-19
  630  2.03399e-12  3.68078e-19
  640  2.16705e-12  4.77001e-19
  650  2.30635e-12  6.13783e-19
  660  2.45164e-12  7.84304e-19
  670  2.60303e-12   9.9554e-19
  680  2.76133e-12  1.25594e-18
  690  2.92499e-12  1.57425e-18
  700  3.09593e-12  1.96224e-18
  800  5.18597e-12  1.34861e-17
  900  8.04678e-12  6.29821e-17
 1000  1.17696e-11  2.23529e-16
 1100  1.64275e-11  6.47758e-16
 1200  2.20821e-11  1.60893e-15
 1300  2.87793e-11  3.54291e-15
 1400  3.65545e-11  7.08718e-15
 1500  4.54311e-11  1.31126e-14
 1600  5.54272e-11  2.27487e-14
 1700  6.65499e-11  3.73967e-14
 1800  7.88078e-11  5.87429e-14
 1900  9.21931e-11  8.87466e-14
 2000  1.06709e-10  1.29653e-13
 2100  1.22342e-10  1.83963e-13
 2200  1.39091e-10  2.54439e-13
 2300  1.56935e-10   3.4406e-13
 2400   1.7587e-10  4.56048e-13
 2500  1.95871e-10  5.93776e-13
 2600  2.16935e-10  7.60857e-13
 2700  2.39049e-10  9.61044e-13
 2800  2.62177e-10  1.19814e-12
 2900  2.86324e-10  1.47622e-12
 3000  3.11473e-10  1.79941e-12
