Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  1.66292e-14  3.58579e-33
  210   1.9689e-14  2.95839e-32
  220  2.28631e-14  2.00219e-31
  230  2.67934e-14  1.17089e-30
  240  3.13118e-14  5.96166e-30
  250  3.65542e-14  2.69108e-29
  260  4.25327e-14  1.08947e-28
  270  4.93838e-14  4.00751e-28
  280  5.72458e-14  1.35368e-27
  290  6.61128e-14  4.22676e-27
  300  7.61234e-14  1.23008e-26
  310  8.74149e-14  3.35963e-26
  320   1.0012e-13  8.66186e-26
  330  1.14414e-13  2.11953e-25
  340  1.30252e-13  4.93667e-25
  350  1.47706e-13  1.09868e-24
  360  1.67006e-13  2.34683e-24
  370  1.88466e-13  4.83139e-24
  380  2.11826e-13  9.59251e-24
  390  2.37638e-13  1.84541e-23
  400  2.65641e-13  3.44184e-23
  410  2.96565e-13   6.2504e-23
  420  3.29959e-13  1.10488e-22
  430  3.65496e-13  1.90239e-22
  440  4.04341e-13   3.2054e-22
  450   4.4631e-13  5.28741e-22
  460  4.91587e-13  8.55023e-22
  470  5.40037e-13  1.35635e-21
  480  5.91802e-13  2.11326e-21
  490  6.47307e-13  3.23885e-21
  500   7.0673e-13  4.88765e-21
  510  7.69968e-13  7.26617e-21
  520  8.36908e-13  1.06474e-20
  530  9.07967e-13  1.53962e-20
  540    9.835e-13  2.19902e-20
  550  1.06375e-12  3.10449e-20
  560  1.14795e-12  4.33114e-20
  570  1.23714e-12  5.97972e-20
  580  1.33106e-12  8.17151e-20
  590  1.43023e-12  1.10614e-19
  600  1.53392e-12    1.483e-19
  610  1.64313e-12  1.97129e-19
  620  1.75761e-12  2.59838e-19
  630  1.87784e-12  3.39821e-19
  640  2.00318e-12  4.40932e-19
  650  2.13453e-12  5.68058e-19
  660  2.27166e-12  7.26727e-19
  670  2.41469e-12  9.23506e-19
  680  2.56436e-12  1.16635e-18
  690  2.71927e-12  1.46352e-18
  700  2.88118e-12  1.82613e-18
  800  4.86981e-12  1.26639e-17
  900   7.6092e-12  5.95572e-17
 1000  1.11919e-11  2.12559e-16
 1100  1.56929e-11  6.18792e-16
 1200  2.11752e-11  1.54285e-15
 1300  2.76866e-11  3.40839e-15
 1400  3.52639e-11  6.83696e-15
 1500  4.39322e-11    1.268e-14
 1600  5.37111e-11  2.20443e-14
 1700  6.46088e-11   3.6306e-14
 1800  7.66351e-11  5.71234e-14
 1900  8.97834e-11  8.64269e-14
 2000  1.04057e-10  1.26432e-13
 2100  1.19446e-10  1.79607e-13
 2200  1.35945e-10  2.48686e-13
 2300  1.53538e-10  3.36614e-13
 2400  1.72221e-10  4.46586e-13
 2500  1.91968e-10  5.81943e-13
 2600  2.12777e-10  7.46272e-13
 2700  2.34635e-10  9.43298e-13
 2800  2.57507e-10   1.1768e-12
 2900  2.81398e-10  1.45083e-12
 3000  3.06292e-10  1.76948e-12
