Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.75054e-14  4.61167e-33
  210  3.17954e-14  3.75946e-32
  220  3.61256e-14  2.51678e-31
  230  4.15019e-14  1.45726e-30
  240  4.76244e-14  7.35239e-30
  250  5.46732e-14  3.29113e-29
  260  6.26377e-14  1.32212e-28
  270   7.1692e-14  4.82856e-28
  280  8.20065e-14   1.6202e-27
  290  9.35421e-14  5.02769e-27
  300  1.06467e-13  1.45473e-26
  310  1.20944e-13  3.95175e-26
  320  1.37124e-13  1.01369e-25
  330  1.55215e-13  2.46869e-25
  340  1.75123e-13  5.72417e-25
  350  1.96917e-13  1.26857e-24
  360  2.20875e-13  2.69891e-24
  370  2.47381e-13  5.53527e-24
  380  2.76061e-13  1.09508e-23
  390  3.07603e-13  2.09957e-23
  400   3.4164e-13  3.90326e-23
  410  3.79077e-13  7.06662e-23
  420  4.19305e-13  1.24551e-22
  430  4.61884e-13  2.13858e-22
  440  5.08262e-13  3.59379e-22
  450  5.58172e-13  5.91301e-22
  460  6.11815e-13  9.53867e-22
  470  6.68994e-13  1.50963e-21
  480  7.29856e-13  2.34684e-21
  490  7.94902e-13  3.58915e-21
  500  8.64315e-13  5.40518e-21
  510  9.37945e-13  8.01969e-21
  520  1.01563e-12  1.17292e-20
  530  1.09784e-12  1.69297e-20
  540    1.185e-12   2.4138e-20
  550  1.27735e-12  3.40194e-20
  560  1.37396e-12  4.73837e-20
  570  1.47605e-12  6.53164e-20
  580  1.58328e-12  8.91215e-20
  590  1.69625e-12  1.20462e-19
  600  1.81406e-12  1.61275e-19
  610  1.93788e-12  2.14081e-19
  620  2.06739e-12  2.81807e-19
  630  2.20312e-12  3.68078e-19
  640  2.34431e-12  4.77001e-19
  650    2.492e-12  6.13783e-19
  660  2.64588e-12  7.84304e-19
  670  2.80607e-12   9.9554e-19
  680  2.97343e-12  1.25594e-18
  690  3.14629e-12  1.57425e-18
  700  3.32669e-12  1.96224e-18
  800  5.52267e-12  1.34861e-17
  900  8.50952e-12  6.29821e-17
 1000   1.2377e-11  2.23529e-16
 1100  1.71964e-11  6.47758e-16
 1200  2.30278e-11  1.60893e-15
 1300  2.99152e-11  3.54291e-15
 1400  3.78923e-11  7.08718e-15
 1500  4.69811e-11  1.31126e-14
 1600  5.71982e-11  2.27487e-14
 1700  6.85494e-11  3.73967e-14
 1800  8.10421e-11  5.87429e-14
 1900  9.46675e-11  8.87466e-14
 2000  1.09428e-10  1.29653e-13
 2100   1.2531e-10  1.83963e-13
 2200  1.42309e-10  2.54439e-13
 2300  1.60406e-10   3.4406e-13
 2400  1.79597e-10  4.56048e-13
 2500  1.99854e-10  5.93776e-13
 2600  2.21174e-10  7.60857e-13
 2700  2.43546e-10  9.61044e-13
 2800  2.66932e-10  1.19814e-12
 2900  2.91336e-10  1.47622e-12
 3000  3.16742e-10  1.79941e-12
