Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.05898e-14  4.43981e-33
  210  2.40014e-14  3.60635e-32
  220  2.74703e-14  2.40566e-31
  230  3.17611e-14  1.38799e-30
  240  3.66511e-14  6.97825e-30
  250  4.22821e-14  3.11276e-29
  260  4.86488e-14  1.24613e-28
  270  5.58884e-14  4.53536e-28
  280  6.41354e-14   1.5166e-27
  290  7.33604e-14  4.69011e-27
  300  8.36949e-14  1.35243e-26
  310  9.52655e-14  3.66135e-26
  320  1.08191e-13  9.36005e-26
  330   1.2263e-13  2.27173e-25
  340  1.38508e-13  5.24956e-25
  350  1.55872e-13  1.15942e-24
  360  1.74937e-13  2.45828e-24
  370     1.96e-13  5.02451e-24
  380  2.18755e-13  9.90625e-24
  390  2.43739e-13  1.89279e-23
  400   2.7065e-13  3.50675e-23
  410  3.00194e-13  6.32689e-23
  420  3.31874e-13  1.11129e-22
  430  3.65329e-13  1.90152e-22
  440   4.0169e-13  3.18439e-22
  450  4.40729e-13  5.22129e-22
  460  4.82586e-13  8.39367e-22
  470  5.27087e-13  1.32382e-21
  480   5.7433e-13  2.05087e-21
  490  6.24688e-13  3.12567e-21
  500  6.78285e-13  4.69093e-21
  510  7.34978e-13  6.93597e-21
  520  7.94617e-13  1.01093e-20
  530  8.57557e-13  1.45414e-20
  540  9.24087e-13  2.06618e-20
  550  9.94383e-13  2.90206e-20
  560  1.06769e-12  4.02834e-20
  570  1.14493e-12  5.53405e-20
  580  1.22582e-12  7.52543e-20
  590  1.31078e-12  1.01376e-19
  600   1.3991e-12  1.35266e-19
  610  1.49166e-12  1.78956e-19
  620  1.58816e-12  2.34787e-19
  630    1.689e-12  3.05647e-19
  640  1.79356e-12  3.94791e-19
  650   1.9026e-12  5.06335e-19
  660  2.01587e-12  6.44897e-19
  670  2.13342e-12  8.15935e-19
  680  2.25587e-12  1.02604e-18
  690  2.38193e-12  1.28196e-18
  700  2.51311e-12  1.59284e-18
  800  4.08244e-12  1.06164e-17
  900   6.1567e-12  4.81885e-17
 1000  8.77185e-12  1.66596e-16
 1100  1.19518e-11  4.71276e-16
 1200  1.57143e-11  1.14496e-15
 1300  2.00686e-11  2.47058e-15
 1400  2.50194e-11  4.85075e-15
 1500  3.05656e-11  8.82205e-15
 1600  3.67056e-11  1.50648e-14
 1700  4.34321e-11   2.4406e-14
 1800   5.0741e-11  3.78221e-14
 1900  5.86196e-11  5.64281e-14
 2000   6.7063e-11   8.1483e-14
 2100  7.60587e-11  1.14367e-13
 2200  8.56001e-11  1.56589e-13
 2300  9.56722e-11  2.09749e-13
 2400   1.0627e-10  2.75569e-13
 2500  1.17376e-10  3.55821e-13
 2600  1.28987e-10  4.52397e-13
 2700  1.41094e-10  5.67239e-13
 2800  1.53677e-10  7.02296e-13
 2900  1.66735e-10   8.5965e-13
 3000  1.80261e-10  1.04139e-12
