Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.13867e-14  4.61249e-33
  210  2.50204e-14  3.76041e-32
  220  2.87393e-14  2.51765e-31
  230  3.33463e-14  1.45794e-30
  240  3.86161e-14  7.35685e-30
  250   4.4705e-14  3.29368e-29
  260  5.16154e-14   1.3234e-28
  270  5.95015e-14   4.8343e-28
  280  6.85166e-14  1.62253e-27
  290  7.86405e-14   5.0363e-27
  300  9.00258e-14  1.45767e-26
  310  1.02822e-13  3.96107e-26
  320   1.1717e-13  1.01645e-25
  330  1.33262e-13  2.47637e-25
  340   1.5103e-13  5.74441e-25
  350  1.70546e-13  1.27362e-24
  360  1.92061e-13  2.71095e-24
  370  2.15924e-13  5.56274e-24
  380   2.4182e-13  1.10109e-23
  390  2.70366e-13  2.11226e-23
  400  3.01253e-13  3.92909e-23
  410  3.35292e-13  7.11762e-23
  420  3.71959e-13  1.25528e-22
  430  4.10873e-13  2.15672e-22
  440  4.53333e-13  3.62666e-22
  450  4.99117e-13  5.97115e-22
  460  5.48416e-13  9.63916e-22
  470  6.01067e-13  1.52663e-21
  480  6.57214e-13  2.37499e-21
  490  7.17318e-13  3.63493e-21
  500  7.81561e-13   5.4783e-21
  510  8.49817e-13  8.13452e-21
  520  9.21947e-13  1.19066e-20
  530  9.98401e-13  1.71996e-20
  540  1.07956e-12  2.45428e-20
  550  1.16566e-12  3.46188e-20
  560  1.25588e-12  4.82591e-20
  570  1.35132e-12    6.658e-20
  580   1.4517e-12  9.09242e-20
  590  1.55757e-12  1.23006e-19
  600  1.66812e-12  1.64826e-19
  610  1.78443e-12   2.1899e-19
  620  1.90622e-12  2.88529e-19
  630  2.03399e-12  3.77199e-19
  640  2.16705e-12  4.89268e-19
  650  2.30635e-12  6.30147e-19
  660  2.45164e-12   8.0596e-19
  670  2.60303e-12  1.02398e-18
  680  2.76133e-12  1.29303e-18
  690  2.92499e-12  1.62226e-18
  700  3.09593e-12  2.02401e-18
  800  5.18597e-12   1.4045e-17
  900  8.04678e-12  6.62301e-17
 1000  1.17696e-11  2.37304e-16
 1100  1.64275e-11  6.94042e-16
 1200  2.20821e-11  1.73916e-15
 1300  2.87793e-11   3.8619e-15
 1400  3.65545e-11  7.78669e-15
 1500  4.54311e-11  1.45147e-14
 1600  5.54272e-11  2.53585e-14
 1700  6.65499e-11  4.19629e-14
 1800  7.88078e-11  6.63248e-14
 1900  9.21931e-11  1.00785e-13
 2000  1.06709e-10  1.48048e-13
 2100  1.22342e-10  2.11145e-13
 2200  1.39091e-10  2.93451e-13
 2300  1.56935e-10  3.98623e-13
 2400   1.7587e-10  5.30646e-13
 2500  1.95871e-10  6.93709e-13
 2600  2.16935e-10  8.92322e-13
 2700  2.39049e-10  1.13119e-12
 2800  2.62177e-10  1.41511e-12
 2900  2.86324e-10  1.74924e-12
 3000  3.11473e-10   2.1388e-12
