Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  3.64487e-14  7.85951e-33
  210  4.19173e-14  6.29832e-32
  220  4.68982e-14  4.10701e-31
  230  5.33104e-14  2.32971e-30
  240  6.04703e-14  1.15134e-29
  250  6.86455e-14  5.05361e-29
  260  7.77096e-14  1.99052e-28
  270  8.79073e-14  7.13371e-28
  280  9.94737e-14  2.35224e-27
  290  1.12201e-13   7.1733e-27
  300  1.26308e-13  2.04102e-26
  310  1.41998e-13  5.45744e-26
  320  1.59451e-13  1.37948e-25
  330  1.78962e-13  3.31528e-25
  340  2.00177e-13  7.58687e-25
  350   2.2308e-13  1.65933e-24
  360   2.4811e-13  3.48654e-24
  370  2.75942e-13  7.07387e-24
  380  3.05585e-13  1.38383e-23
  390  3.38378e-13  2.62773e-23
  400  3.73341e-13  4.83729e-23
  410  4.12305e-13  8.68974e-23
  420  4.53737e-13  1.51935e-22
  430  4.96456e-13  2.58403e-22
  440  5.43532e-13  4.30884e-22
  450  5.94187e-13   7.0393e-22
  460  6.48687e-13  1.12827e-21
  470  7.06403e-13  1.77419e-21
  480  7.67484e-13   2.7406e-21
  490  8.32878e-13  4.16736e-21
  500  9.02829e-13  6.24385e-21
  510  9.76804e-13  9.21808e-21
  520  1.05423e-12  1.34122e-20
  530  1.13604e-12  1.92636e-20
  540  1.22297e-12  2.73446e-20
  550  1.31546e-12  3.83911e-20
  560  1.41112e-12   5.3241e-20
  570  1.51263e-12  7.31133e-20
  580    1.619e-12  9.93923e-20
  590  1.73147e-12  1.33911e-19
  600  1.84773e-12   1.7864e-19
  610  1.97037e-12  2.36388e-19
  620  2.09842e-12  3.10222e-19
  630  2.23303e-12  4.04096e-19
  640  2.37214e-12  5.22146e-19
  650  2.51809e-12  6.70134e-19
  660  2.66998e-12  8.54152e-19
  670   2.8279e-12  1.08154e-18
  680  2.99376e-12  1.36166e-18
  690  3.16337e-12  1.70254e-18
  700   3.3415e-12  2.11788e-18
  800  5.50001e-12  1.43027e-17
  900  8.43168e-12  6.59948e-17
 1000  1.22268e-11  2.32212e-16
 1100  1.69535e-11  6.68502e-16
 1200  2.26756e-11  1.65217e-15
 1300  2.94389e-11  3.62412e-15
 1400  3.72778e-11  7.22742e-15
 1500  4.62112e-11  1.33378e-14
 1600  5.62628e-11  2.30916e-14
 1700  6.74383e-11  3.78959e-14
 1800  7.97447e-11  5.94412e-14
 1900   9.3176e-11  8.96927e-14
 2000  1.07734e-10  1.30899e-13
 2100  1.23407e-10  1.85564e-13
 2200  1.40192e-10  2.56454e-13
 2300   1.5807e-10  3.46548e-13
 2400  1.77037e-10  4.59075e-13
 2500  1.97066e-10  5.97399e-13
 2600  2.18157e-10  7.65142e-13
 2700  2.40296e-10  9.66061e-13
 2800  2.63446e-10  1.20394e-12
 2900  2.87612e-10  1.48286e-12
 3000   3.1278e-10  1.80696e-12
