Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  1.94425e-14  4.19242e-33
  210  2.27458e-14  3.41769e-32
  220  2.61266e-14  2.28798e-31
  230  3.03148e-14  1.32478e-30
  240  3.51056e-14  6.68399e-30
  250  4.06409e-14  2.99194e-29
  260  4.69231e-14  1.20193e-28
  270  5.40922e-14   4.3896e-28
  280  6.22879e-14  1.47291e-27
  290  7.14914e-14  4.57062e-27
  300  8.18416e-14  1.32248e-26
  310  9.34742e-14   3.5925e-26
  320  1.06519e-13  9.21541e-26
  330  1.21147e-13  2.24426e-25
  340    1.373e-13  5.20379e-25
  350  1.55042e-13  1.15324e-24
  360  1.74601e-13  2.45356e-24
  370  1.96294e-13  5.03207e-24
  380  2.19836e-13  9.95524e-24
  390  2.45788e-13   1.9087e-23
  400  2.73867e-13  3.54842e-23
  410  3.04811e-13   6.4242e-23
  420  3.38144e-13  1.13229e-22
  430  3.73521e-13  1.94416e-22
  440  4.12121e-13  3.26708e-22
  450  4.53743e-13  5.37547e-22
  460   4.9856e-13  8.67152e-22
  470  5.46424e-13  1.37239e-21
  480  5.97467e-13  2.13349e-21
  490  6.52108e-13  3.26287e-21
  500   7.1051e-13   4.9138e-21
  510   7.7256e-13  7.29063e-21
  520  8.38134e-13   1.0663e-20
  530  9.07638e-13  1.53907e-20
  540  9.81416e-13  2.19436e-20
  550   1.0597e-12  3.09267e-20
  560  1.14171e-12  4.30761e-20
  570  1.22848e-12  5.93786e-20
  580  1.31973e-12  8.10196e-20
  590  1.41597e-12  1.09511e-19
  600  1.51648e-12  1.46613e-19
  610  1.62221e-12  1.94619e-19
  620  1.73293e-12  2.56189e-19
  630  1.84908e-12  3.34616e-19
  640  1.97004e-12  4.33637e-19
  650  2.09668e-12  5.57985e-19
  660  2.22877e-12  7.13004e-19
  670  2.36639e-12  9.05036e-19
  680   2.5103e-12  1.14177e-18
  690  2.65909e-12  1.43113e-18
  700  2.81449e-12  1.78385e-18
  800  4.71452e-12  1.22601e-17
  900  7.31525e-12  5.72565e-17
 1000  1.06996e-11  2.03208e-16
 1100  1.49341e-11  5.88871e-16
 1200  2.00746e-11  1.46266e-15
 1300   2.6163e-11  3.22083e-15
 1400  3.32313e-11  6.44289e-15
 1500   4.1301e-11  1.19205e-14
 1600  5.03884e-11  2.06806e-14
 1700  6.04999e-11   3.3997e-14
 1800  7.16435e-11  5.34026e-14
 1900  8.38119e-11  8.06787e-14
 2000  9.70079e-11  1.17867e-13
 2100   1.1122e-10  1.67239e-13
 2200  1.26446e-10  2.31309e-13
 2300  1.42668e-10  3.12782e-13
 2400  1.59882e-10  4.14589e-13
 2500  1.78064e-10  5.39796e-13
 2600  1.97214e-10  6.91688e-13
 2700  2.17317e-10  8.73676e-13
 2800  2.38343e-10  1.08922e-12
 2900  2.60294e-10  1.34202e-12
 3000  2.83157e-10  1.63583e-12
