Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.35254e-14  4.61167e-33
  210  2.75224e-14  3.75946e-32
  220  3.16132e-14  2.51678e-31
  230   3.6681e-14  1.45726e-30
  240  4.24777e-14  7.35239e-30
  250  4.91755e-14  3.29113e-29
  260   5.6777e-14  1.32212e-28
  270  6.54516e-14  4.82856e-28
  280  7.53683e-14   1.6202e-27
  290  8.65046e-14  5.02769e-27
  300  9.90284e-14  1.45473e-26
  310  1.13104e-13  3.95175e-26
  320  1.28888e-13  1.01369e-25
  330  1.46588e-13  2.46869e-25
  340  1.66133e-13  5.72417e-25
  350  1.87601e-13  1.26857e-24
  360  2.11267e-13  2.69891e-24
  370  2.37516e-13  5.53527e-24
  380  2.66002e-13  1.09508e-23
  390  2.97403e-13  2.09957e-23
  400  3.31379e-13  3.90326e-23
  410  3.68821e-13  7.06662e-23
  420  4.09154e-13  1.24551e-22
  430  4.51961e-13  2.13858e-22
  440  4.98667e-13  3.59379e-22
  450  5.49029e-13  5.91301e-22
  460  6.03258e-13  9.53867e-22
  470  6.61174e-13  1.50963e-21
  480  7.22936e-13  2.34684e-21
  490   7.8905e-13  3.58915e-21
  500  8.59717e-13  5.40518e-21
  510  9.34798e-13  8.01969e-21
  520  1.01414e-12  1.17292e-20
  530  1.09824e-12  1.69297e-20
  540  1.18751e-12   2.4138e-20
  550  1.28223e-12  3.40194e-20
  560  1.38147e-12  4.73837e-20
  570  1.48646e-12  6.53164e-20
  580  1.59687e-12  8.91215e-20
  590  1.71332e-12  1.20462e-19
  600  1.83494e-12  1.61275e-19
  610  1.96288e-12  2.14081e-19
  620  2.09684e-12  2.81807e-19
  630  2.23739e-12  3.68078e-19
  640  2.38375e-12  4.77001e-19
  650  2.53699e-12  6.13783e-19
  660  2.69681e-12  7.84304e-19
  670  2.86334e-12   9.9554e-19
  680  3.03746e-12  1.25594e-18
  690  3.21749e-12  1.57425e-18
  700  3.40553e-12  1.96224e-18
  800  5.70457e-12  1.34861e-17
  900  8.85146e-12  6.29821e-17
 1000  1.29465e-11  2.23529e-16
 1100  1.80702e-11  6.47758e-16
 1200  2.42903e-11  1.60893e-15
 1300  3.16573e-11  3.54291e-15
 1400  4.02099e-11  7.08718e-15
 1500  4.99742e-11  1.31126e-14
 1600    6.097e-11  2.27487e-14
 1700  7.32049e-11  3.73967e-14
 1800  8.66886e-11  5.87429e-14
 1900  1.01412e-10  8.87466e-14
 2000   1.1738e-10  1.29653e-13
 2100  1.34577e-10  1.83963e-13
 2200     1.53e-10  2.54439e-13
 2300  1.72628e-10   3.4406e-13
 2400  1.93457e-10  4.56048e-13
 2500  2.15458e-10  5.93776e-13
 2600  2.38628e-10  7.60857e-13
 2700  2.62954e-10  9.61044e-13
 2800  2.88395e-10  1.19814e-12
 2900  3.14956e-10  1.47622e-12
 3000   3.4262e-10  1.79941e-12
