========================================
absch2o+h_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
200.0,2.35254e-14
210.0,2.75224e-14
220.0,3.16132e-14
230.0,3.6681e-14
240.0,4.24777e-14
250.0,4.91755e-14
260.0,5.6777e-14
270.0,6.54516e-14
280.0,7.53683e-14
290.0,8.65046e-14
300.0,9.90284e-14
310.0,1.13104e-13
320.0,1.28888e-13
330.0,1.46588e-13
340.0,1.66133e-13
350.0,1.87601e-13
360.0,2.11267e-13
370.0,2.37516e-13
380.0,2.66002e-13
390.0,2.97403e-13
400.0,3.31379e-13
410.0,3.68821e-13
420.0,4.09154e-13
430.0,4.51961e-13
440.0,4.98667e-13
450.0,5.49029e-13
460.0,6.03258e-13
470.0,6.61174e-13
480.0,7.22936e-13
490.0,7.8905e-13
500.0,8.59717e-13
510.0,9.34798e-13
520.0,1.01414e-12
530.0,1.09824e-12
540.0,1.18751e-12
550.0,1.28223e-12
560.0,1.38147e-12
570.0,1.48646e-12
580.0,1.59687e-12
590.0,1.71332e-12
600.0,1.83494e-12
610.0,1.96288e-12
620.0,2.09684e-12
630.0,2.23739e-12
640.0,2.38375e-12
650.0,2.53699e-12
660.0,2.69681e-12
670.0,2.86334e-12
680.0,3.03746e-12
690.0,3.21749e-12
700.0,3.40553e-12
800.0,5.70457e-12
900.0,8.85146e-12
1000.0,1.29465e-11
1100.0,1.80702e-11
1200.0,2.42903e-11
1300.0,3.16573e-11
1400.0,4.02099e-11
1500.0,4.99742e-11
1600.0,6.097e-11
1700.0,7.32049e-11
1800.0,8.66886e-11
1900.0,1.01412e-10
2000.0,1.1738e-10
2100.0,1.34577e-10
2200.0,1.53e-10
2300.0,1.72628e-10
2400.0,1.93457e-10
2500.0,2.15458e-10
2600.0,2.38628e-10
2700.0,2.62954e-10
2800.0,2.88395e-10
2900.0,3.14956e-10
3000.0,3.4262e-10
========================================
absch2o+h_P2_SymmetryFactor_1_0.1.out
--
T,P1->P2
200.0,2.13867e-14
210.0,2.50204e-14
220.0,2.87393e-14
230.0,3.33463e-14
240.0,3.86161e-14
250.0,4.4705e-14
260.0,5.16154e-14
270.0,5.95015e-14
280.0,6.85166e-14
290.0,7.86405e-14
300.0,9.00258e-14
310.0,1.02822e-13
320.0,1.1717e-13
330.0,1.33262e-13
340.0,1.5103e-13
350.0,1.70546e-13
360.0,1.92061e-13
370.0,2.15924e-13
380.0,2.4182e-13
390.0,2.70366e-13
400.0,3.01253e-13
410.0,3.35292e-13
420.0,3.71959e-13
430.0,4.10873e-13
440.0,4.53333e-13
450.0,4.99117e-13
460.0,5.48416e-13
