========================================
absch2o+h_B2_Energy_1_0.0.out
--
T,P1->P2
200.0,2.13867e-14
210.0,2.50204e-14
220.0,2.87393e-14
230.0,3.33463e-14
240.0,3.86161e-14
250.0,4.4705e-14
260.0,5.16154e-14
270.0,5.95015e-14
280.0,6.85166e-14
290.0,7.86405e-14
300.0,9.00258e-14
310.0,1.02822e-13
320.0,1.1717e-13
330.0,1.33262e-13
340.0,1.5103e-13
350.0,1.70546e-13
360.0,1.92061e-13
370.0,2.15924e-13
380.0,2.4182e-13
390.0,2.70366e-13
400.0,3.01253e-13
410.0,3.35292e-13
420.0,3.71959e-13
430.0,4.10873e-13
440.0,4.53333e-13
450.0,4.99117e-13
460.0,5.48416e-13
470.0,6.01067e-13
480.0,6.57214e-13
490.0,7.17318e-13
500.0,7.81561e-13
510.0,8.49817e-13
520.0,9.21947e-13
530.0,9.98401e-13
540.0,1.07956e-12
550.0,1.16566e-12
560.0,1.25588e-12
570.0,1.35132e-12
580.0,1.4517e-12
590.0,1.55757e-12
600.0,1.66812e-12
610.0,1.78443e-12
620.0,1.90622e-12
630.0,2.03399e-12
640.0,2.16705e-12
650.0,2.30635e-12
660.0,2.45164e-12
670.0,2.60303e-12
680.0,2.76133e-12
690.0,2.92499e-12
700.0,3.09593e-12
800.0,5.18597e-12
900.0,8.04678e-12
1000.0,1.17696e-11
1100.0,1.64275e-11
1200.0,2.20821e-11
1300.0,2.87793e-11
1400.0,3.65545e-11
1500.0,4.54311e-11
1600.0,5.54272e-11
1700.0,6.65499e-11
1800.0,7.88078e-11
1900.0,9.21931e-11
2000.0,1.06709e-10
2100.0,1.22342e-10
2200.0,1.39091e-10
2300.0,1.56935e-10
2400.0,1.7587e-10
2500.0,1.95871e-10
2600.0,2.16935e-10
2700.0,2.39049e-10
2800.0,2.62177e-10
2900.0,2.86324e-10
3000.0,3.11473e-10
