========================================
absch2o+h_B2_Energy_1_34.9759.out
--
T,P1->P2
200.0,1.66292e-14
210.0,1.9689e-14
220.0,2.28631e-14
230.0,2.67934e-14
240.0,3.13118e-14
250.0,3.65542e-14
260.0,4.25327e-14
270.0,4.93838e-14
280.0,5.72458e-14
290.0,6.61128e-14
300.0,7.61234e-14
310.0,8.74149e-14
320.0,1.0012e-13
330.0,1.14414e-13
340.0,1.30252e-13
350.0,1.47706e-13
360.0,1.67006e-13
370.0,1.88466e-13
380.0,2.11826e-13
390.0,2.37638e-13
400.0,2.65641e-13
410.0,2.96565e-13
420.0,3.29959e-13
430.0,3.65496e-13
440.0,4.04341e-13
450.0,4.4631e-13
460.0,4.91587e-13
470.0,5.40037e-13
480.0,5.91802e-13
490.0,6.47307e-13
500.0,7.0673e-13
510.0,7.69968e-13
520.0,8.36908e-13
530.0,9.07967e-13
540.0,9.835e-13
550.0,1.06375e-12
560.0,1.14795e-12
570.0,1.23714e-12
580.0,1.33106e-12
590.0,1.43023e-12
600.0,1.53392e-12
610.0,1.64313e-12
620.0,1.75761e-12
630.0,1.87784e-12
640.0,2.00318e-12
650.0,2.13453e-12
660.0,2.27166e-12
670.0,2.41469e-12
680.0,2.56436e-12
690.0,2.71927e-12
700.0,2.88118e-12
800.0,4.86981e-12
900.0,7.6092e-12
1000.0,1.11919e-11
1100.0,1.56929e-11
1200.0,2.11752e-11
1300.0,2.76866e-11
1400.0,3.52639e-11
1500.0,4.39322e-11
1600.0,5.37111e-11
1700.0,6.46088e-11
1800.0,7.66351e-11
1900.0,8.97834e-11
2000.0,1.04057e-10
2100.0,1.19446e-10
2200.0,1.35945e-10
2300.0,1.53538e-10
2400.0,1.72221e-10
2500.0,1.91968e-10
2600.0,2.12777e-10
2700.0,2.34635e-10
2800.0,2.57507e-10
2900.0,2.81398e-10
3000.0,3.06292e-10
