========================================
c2h6_rad_W1_Energy_1_34.9759.out
1.0 atm
T,W1->P1
200.0,5.49287e-82
210.0,2.42204e-77
220.0,4.06181e-73
230.0,2.9381e-69
240.0,1.01802e-65
250.0,1.84525e-62
260.0,1.8851e-59
270.0,1.15657e-56
280.0,4.50011e-54
290.0,1.16376e-51
300.0,2.08333e-49
310.0,2.67486e-47
320.0,2.54071e-45
330.0,1.83466e-43
340.0,1.03168e-41
350.0,4.61491e-40
360.0,1.67364e-38
370.0,5.0043e-37
380.0,1.25249e-35
390.0,2.65986e-34
400.0,4.85153e-33
410.0,7.68492e-32
420.0,1.06771e-30
430.0,1.31294e-29
440.0,1.44079e-28
450.0,1.42152e-27
460.0,1.26969e-26
470.0,1.0331e-25
480.0,7.70117e-25
490.0,5.28775e-24
500.0,3.36015e-23
510.0,1.98512e-22
520.0,1.09485e-21
530.0,5.65829e-21
540.0,2.75018e-20
550.0,1.26122e-19
560.0,5.47362e-19
570.0,2.25473e-18
580.0,8.83818e-18
590.0,3.3051e-17
600.0,1.18179e-16
610.0,4.04899e-16
620.0,1.33207e-15
630.0,4.21555e-15
640.0,1.28575e-14
650.0,3.78561e-14
660.0,1.07754e-13
670.0,2.97002e-13
680.0,7.93683e-13
690.0,2.05944e-12
700.0,5.19449e-12
800.0,1.43508e-08
900.0,6.17208e-06
1000.0,0.000716458
1100.0,0.0319676
1200.0,0.695539
1300.0,8.70877
1400.0,70.7017
1500.0,406.23
1600.0,1765.9
1700.0,6102.89
1800.0,17463.5
1900.0,42643.4
2000.0,91467.3
2100.0,175330.0
2200.0,306299.0
2300.0,493140.0
2400.0,746737.0
2500.0,1066650.0
2600.0,1461530.0
2700.0,1924550.0
