========================================
c2h6rad_W1_Energy_1_0.0.out
1.0 atm
T,P1->W1
200.0,5.53977e-11
210.0,5.49215e-11
220.0,5.44348e-11
230.0,5.39412e-11
240.0,5.34432e-11
250.0,5.29435e-11
260.0,5.24439e-11
270.0,5.19459e-11
280.0,5.14511e-11
290.0,5.096e-11
300.0,5.04731e-11
310.0,4.99908e-11
320.0,4.9513e-11
330.0,4.90393e-11
340.0,4.85695e-11
350.0,4.81018e-11
360.0,4.76389e-11
370.0,4.71766e-11
380.0,4.67144e-11
390.0,4.62533e-11
400.0,4.57901e-11
410.0,4.53262e-11
420.0,4.48592e-11
430.0,4.43876e-11
440.0,4.39123e-11
450.0,4.34308e-11
460.0,4.29448e-11
470.0,4.24524e-11
480.0,4.19507e-11
490.0,4.14435e-11
500.0,4.09268e-11
510.0,4.04028e-11
520.0,3.98719e-11
530.0,3.93301e-11
540.0,3.87818e-11
550.0,3.82254e-11
560.0,3.7659e-11
570.0,3.70869e-11
580.0,3.65061e-11
590.0,3.59199e-11
600.0,3.53269e-11
610.0,3.47257e-11
620.0,3.41209e-11
630.0,3.35093e-11
640.0,3.28955e-11
650.0,3.22786e-11
660.0,3.16562e-11
670.0,3.10339e-11
680.0,3.04073e-11
690.0,2.97829e-11
700.0,2.91572e-11
800.0,2.30273e-11
900.0,1.75004e-11
1000.0,1.28898e-11
1100.0,9.26192e-12
1200.0,6.53043e-12
1300.0,4.53877e-12
1400.0,3.12175e-12
1500.0,2.13086e-12
1600.0,1.44779e-12
1700.0,9.80017e-13
1800.0,6.6253e-13
1900.0,4.47427e-13
2000.0,3.03071e-13
2100.0,2.055e-13
2200.0,1.39875e-13
2300.0,9.53826e-14
2400.0,6.56271e-14
2500.0,4.53074e-14
2600.0,3.15986e-14
2700.0,2.2164e-14
