Pressure (atm),Temperature (K),W1_Energy_1_W1->P1
1.0,300.0,1.6771343446069593
1.0,310.0,1.6225771561100304
1.0,320.0,1.5715438168100315
1.0,330.0,1.5236713459782352
1.0,340.0,1.4786479450590386
1.0,350.0,1.4362040225570452
1.0,360.0,1.396105060986341
1.0,370.0,1.3581458999209743
1.0,380.0,1.3221461174815707
1.0,390.0,1.2879462711103362
1.0,400.0,1.255404815979583
1.0,410.0,1.22439556187384
1.0,420.0,1.1948055610759534
1.0,430.0,1.16653334362155
1.0,440.0,1.139487434356655
1.0,450.0,1.1135851000396353
1.0,460.0,1.0887512853548773
1.0,470.0,1.0649177049417695
1.0,480.0,1.0420220649691943
1.0,490.0,1.020007392832698
1.0,500.0,0.9988214575394601
1.0,510.0,0.9784162665159614
1.0,520.0,0.9587476271070158
1.0,530.0,0.9397747630712352
1.0,540.0,0.9214599780232194
1.0,550.0,0.9037683591086364
1.0,560.0,0.8866675152883002
1.0,570.0,0.8701273455007523
1.0,580.0,0.854119832708454
1.0,590.0,0.8386188604409582
1.0,600.0,0.8236000489535009
1.0,610.0,0.8090406085404953
1.0,620.0,0.7949192078957819
1.0,630.0,0.7812158557074617
1.0,640.0,0.7679117939246516
1.0,650.0,0.7549894013445491
1.0,660.0,0.742432106347333
1.0,670.0,0.7302243077589408
1.0,680.0,0.7183513029520393
1.0,690.0,0.7067992224070971
