========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P1
300.0,1.76171e-49
310.0,2.27423e-47
320.0,2.17119e-45
330.0,1.57534e-43
340.0,8.89854e-42
350.0,3.99744e-40
360.0,1.45554e-38
370.0,4.36875e-37
380.0,1.09737e-35
390.0,2.33844e-34
400.0,4.27919e-33
410.0,6.7994e-32
420.0,9.47485e-31
430.0,1.1684e-29
440.0,1.28564e-28
450.0,1.27173e-27
460.0,1.13873e-26
470.0,9.28748e-26
480.0,6.93913e-25
490.0,4.77501e-24
500.0,3.04074e-23
510.0,1.80009e-22
520.0,9.94754e-22
530.0,5.15072e-21
540.0,2.50805e-20
550.0,1.15222e-19
560.0,5.00911e-19
570.0,2.0668e-18
580.0,8.11451e-18
590.0,3.03919e-17
600.0,1.08835e-16
610.0,3.73426e-16
620.0,1.23027e-15
630.0,3.89873e-15
640.0,1.1907e-14
650.0,3.51033e-14
660.0,1.00045e-13
670.0,2.76091e-13
680.0,7.38681e-13
690.0,1.91895e-12
