========================================
c2h6rad_W1_Energy_1_34.9759.out
1 atm
T,W1->P1
300.0,2.08333e-49
310.0,2.67486e-47
320.0,2.54071e-45
330.0,1.83466e-43
340.0,1.03168e-41
350.0,4.61491e-40
360.0,1.67364e-38
370.0,5.0043e-37
380.0,1.25249e-35
390.0,2.65986e-34
400.0,4.85153e-33
410.0,7.68492e-32
420.0,1.06771e-30
430.0,1.31294e-29
440.0,1.44079e-28
450.0,1.42152e-27
460.0,1.26969e-26
470.0,1.0331e-25
480.0,7.70117e-25
490.0,5.28775e-24
500.0,3.36015e-23
510.0,1.98512e-22
520.0,1.09485e-21
530.0,5.65829e-21
540.0,2.75018e-20
550.0,1.26122e-19
560.0,5.47362e-19
570.0,2.25473e-18
580.0,8.83818e-18
590.0,3.3051e-17
600.0,1.18179e-16
610.0,4.04899e-16
620.0,1.33207e-15
630.0,4.21555e-15
640.0,1.28575e-14
650.0,3.78561e-14
660.0,1.07754e-13
670.0,2.97002e-13
680.0,7.93683e-13
690.0,2.05944e-12
