Pressure (atm),Temperature (K),W1_Energy_1_P1->W1
1.0,200.0,-5.3248312853007026e-05
1.0,210.0,-0.00010134638216851138
1.0,220.0,-8.605456429887535e-05
1.0,230.0,-0.00021902361992679799
1.0,240.0,-0.0001694789976361992
1.0,250.0,-0.00017601672557173554
1.0,260.0,-0.00027201461321889385
1.0,270.0,-0.00038415302809189034
1.0,280.0,-0.00046879908630312155
1.0,290.0,-0.000531236891685239
1.0,300.0,-0.0005975238667246473
1.0,310.0,-0.0006901647294537861
1.0,320.0,-0.0008193060052550652
1.0,330.0,-0.0009844135900377565
1.0,340.0,-0.001179528283045172
1.0,350.0,-0.0013979713681995486
1.0,360.0,-0.0016350883655680644
1.0,370.0,-0.0018891407909167695
1.0,380.0,-0.0021609934730186576
1.0,390.0,-0.0024532502409895097
1.0,400.0,-0.002769299451867073
1.0,410.0,-0.003112521347326369
1.0,420.0,-0.0034857505635484645
1.0,430.0,-0.0038909905318870617
1.0,440.0,-0.00432933000846078
1.0,450.0,-0.004800998399257194
1.0,460.0,-0.005305501146297294
1.0,470.0,-0.0058417888996067395
1.0,480.0,-0.00640842831421129
1.0,490.0,-0.007003754900649093
1.0,500.0,-0.007625998178954461
1.0,510.0,-0.008273376292754042
1.0,520.0,-0.008944161613497939
1.0,530.0,-0.009636721272187425
1.0,540.0,-0.010349537565644135
1.0,550.0,-0.011081213281515635
1.0,560.0,-0.011830466546286316
1.0,570.0,-0.012596119093018531
1.0,580.0,-0.013377081050563906
1.0,590.0,-0.014172334584743446
1.0,600.0,-0.01498091803576548
1.0,610.0,-0.01580191162219509
1.0,620.0,-0.016634425325647722
1.0,630.0,-0.017477589224813416
1.0,640.0,-0.01833054629859677
1.0,650.0,-0.019192447549711847
1.0,660.0,-0.020062449195590623
1.0,670.0,-0.0209397116178962
1.0,680.0,-0.021823399742264514
1.0,690.0,-0.022712684525359766
1.0,700.0,-0.023606745248329546
1.0,800.0,-0.0326414481268549
1.0,900.0,-0.041418171399403285
1.0,1000.0,-0.04957800055430997
1.0,1100.0,-0.05702849070469179
1.0,1200.0,-0.0638144191516093
1.0,1300.0,-0.07002020600510375
1.0,1400.0,-0.07572304826508097
1.0,1500.0,-0.0809789528301578
1.0,1600.0,-0.08582384678125198
1.0,1700.0,-0.09027940876569489
1.0,1800.0,-0.09435900068497158
1.0,1900.0,-0.09807217296139793
1.0,2000.0,-0.10142757788926227
1.0,2100.0,-0.10443459764942165
1.0,2200.0,-0.10710407702862658
1.0,2300.0,-0.1094484939475241
1.0,2400.0,-0.11148181180713464
1.0,2500.0,-0.11321917686928451
1.0,2600.0,-0.11467656227702067
1.0,2700.0,-0.11587041741329551
