========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P1->P2
296.0,7.24515e-20
370.0,3.09075e-18
407.0,1.21122e-17
474.0,8.35188e-17
513.0,2.03881e-16
539.0,3.4424e-16
577.0,6.80458e-16
700.0,3.75267e-15
810.0,1.12894e-14
906.0,2.3997e-14
1050.0,5.84967e-14
1200.0,1.2031e-13
1350.0,2.14422e-13
1525.0,3.70609e-13
1700.0,5.80179e-13
1950.0,9.73226e-13
2250.0,1.58194e-12
2600.0,2.45353e-12
3000.0,3.60977e-12
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P1->P3
296.0,4.96376e-30
370.0,6.01998e-29
407.0,2.16222e-28
474.0,2.52216e-27
513.0,1.16177e-26
539.0,3.23652e-26
577.0,1.39016e-25
700.0,8.28238e-24
810.0,1.41402e-22
906.0,1.04093e-21
1050.0,1.14235e-20
1200.0,8.08622e-20
1350.0,3.90628e-19
1525.0,1.74115e-18
1700.0,5.93398e-18
1950.0,2.45258e-17
2250.0,9.37136e-17
2600.0,3.18805e-16
3000.0,9.54098e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P2->P3
296.0,1.8272e-25
370.0,1.03088e-24
407.0,2.92535e-24
474.0,2.37074e-23
513.0,8.0289e-23
539.0,1.75198e-22
577.0,5.14348e-22
700.0,9.83129e-21
810.0,7.72763e-20
906.0,3.37732e-19
1050.0,2.05345e-18
1200.0,9.27782e-18
1350.0,3.20071e-17
1525.0,1.05969e-16
1700.0,2.87862e-16
1950.0,9.33869e-16
2250.0,2.89868e-15
2600.0,8.30735e-15
3000.0,2.16486e-14
