========================================
c2h6rad_W1_Energy_1_34.9759.out
1 atm
T,P1->P2
296.0,7.29024e-20
370.0,3.10486e-18
407.0,1.2159e-17
474.0,8.37549e-17
513.0,2.04359e-16
539.0,3.44951e-16
577.0,6.81623e-16
700.0,3.75612e-15
810.0,1.12953e-14
906.0,2.40046e-14
1050.0,5.85055e-14
1200.0,1.20318e-13
1350.0,2.14429e-13
1525.0,3.70614e-13
1700.0,5.80182e-13
1950.0,9.73228e-13
2250.0,1.58194e-12
2600.0,2.45353e-12
3000.0,3.60977e-12
========================================
c2h6rad_W1_Energy_1_34.9759.out
1 atm
T,P1->P3
296.0,5.02084e-30
370.0,6.06182e-29
407.0,2.17206e-28
474.0,2.52571e-27
513.0,1.16242e-26
539.0,3.23744e-26
577.0,1.39031e-25
700.0,8.28242e-24
810.0,1.41402e-22
906.0,1.04093e-21
1050.0,1.14235e-20
1200.0,8.08622e-20
1350.0,3.90628e-19
1525.0,1.74115e-18
1700.0,5.93398e-18
1950.0,2.45258e-17
2250.0,9.37136e-17
2600.0,3.18805e-16
3000.0,9.54098e-16
========================================
c2h6rad_W1_Energy_1_34.9759.out
1 atm
T,P2->P3
296.0,1.83502e-25
370.0,1.03258e-24
407.0,2.92788e-24
474.0,2.37131e-23
513.0,8.02986e-23
539.0,1.75212e-22
577.0,5.14374e-22
700.0,9.83146e-21
810.0,7.7277e-20
906.0,3.37734e-19
1050.0,2.05346e-18
1200.0,9.27784e-18
1350.0,3.20071e-17
1525.0,1.0597e-16
1700.0,2.87862e-16
1950.0,9.33869e-16
2250.0,2.89868e-15
2600.0,8.30735e-15
3000.0,2.16486e-14
