========================================
c2h6rad_W1_Energy_1_0.0.out
0.5 atm
T,W1->P1
290.0,9.7491e-52
300.0,1.75415e-49
310.0,2.26262e-47
320.0,2.1581e-45
330.0,1.56419e-43
340.0,8.82505e-42
350.0,3.95912e-40
360.0,1.43946e-38
370.0,4.31344e-37
380.0,1.08153e-35
390.0,2.30019e-34
400.0,4.20024e-33
410.0,6.65872e-32
420.0,9.2561e-31
430.0,1.13843e-29
440.0,1.24918e-28
450.0,1.23202e-27
460.0,1.09975e-26
470.0,8.94052e-26
480.0,6.65713e-25
490.0,4.56478e-24
500.0,2.89616e-23
510.0,1.70799e-22
520.0,9.40168e-22
530.0,4.84839e-21
540.0,2.35109e-20
550.0,1.07554e-19
560.0,4.65548e-19
570.0,1.91244e-18
580.0,7.47472e-18
590.0,2.78685e-17
600.0,9.93389e-17
610.0,3.3925e-16
620.0,1.11241e-15
630.0,3.50845e-15
640.0,1.06639e-14
650.0,3.1287e-14
660.0,8.87354e-14
670.0,2.43693e-13
680.0,6.48813e-13
690.0,1.67727e-12
700.0,4.21469e-12
800.0,1.12029e-08
900.0,4.63817e-06
1000.0,0.00051945
1100.0,0.0224251
1200.0,0.473487
1300.0,5.76908
1400.0,45.6953
1500.0,256.745
1600.0,1093.77
1700.0,3711.03
1800.0,10443.5
1900.0,25114.6
2000.0,53145.7
2100.0,100616.0
2200.0,173833.0
2300.0,277007.0
2400.0,415804.0
2500.0,589153.0
2600.0,801754.0
2700.0,1049210.0
2800.0,1333910.0
2900.0,1662470.0
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P1
290.0,9.78415e-52
300.0,1.76171e-49
310.0,2.27423e-47
320.0,2.17119e-45
330.0,1.57534e-43
340.0,8.89854e-42
350.0,3.99744e-40
360.0,1.45554e-38
370.0,4.36875e-37
380.0,1.09737e-35
390.0,2.33844e-34
400.0,4.27919e-33
410.0,6.7994e-32
420.0,9.47485e-31
430.0,1.1684e-29
440.0,1.28564e-28
450.0,1.27173e-27
460.0,1.13873e-26
470.0,9.28748e-26
480.0,6.93913e-25
490.0,4.77501e-24
500.0,3.04074e-23
510.0,1.80009e-22
520.0,9.94754e-22
530.0,5.15072e-21
540.0,2.50805e-20
550.0,1.15222e-19
560.0,5.00911e-19
570.0,2.0668e-18
580.0,8.11451e-18
590.0,3.03919e-17
600.0,1.08835e-16
610.0,3.73426e-16
620.0,1.23027e-15
630.0,3.89873e-15
640.0,1.1907e-14
650.0,3.51033e-14
660.0,1.00045e-13
670.0,2.76091e-13
680.0,7.38681e-13
690.0,1.91895e-12
700.0,4.84561e-12
800.0,1.352e-08
900.0,5.86064e-06
1000.0,0.000684678
1100.0,0.0307127
1200.0,0.671247
1300.0,8.43702
1400.0,68.7242
1500.0,396.021
1600.0,1725.95
1700.0,5978.46
1800.0,17142.3
1900.0,41935.7
2000.0,90095.5
2100.0,172952.0
2200.0,302538.0
2300.0,487649.0
2400.0,739157.0
2500.0,1056740.0
2600.0,1449020.0
2700.0,1909240.0
2800.0,2441640.0
2900.0,3057680.0
========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
T,W1->P1
290.0,9.8087e-52
300.0,1.76706e-49
310.0,2.28251e-47
320.0,2.18063e-45
330.0,1.58348e-43
340.0,8.95288e-42
350.0,4.02614e-40
360.0,1.46776e-38
370.0,4.41139e-37
380.0,1.10977e-35
390.0,2.36886e-34
400.0,4.343e-33
410.0,6.91498e-32
420.0,9.65762e-31
430.0,1.19388e-29
440.0,1.31717e-28
450.0,1.30668e-27
460.0,1.17363e-26
470.0,9.60371e-26
480.0,7.20074e-25
490.0,4.9735e-24
500.0,3.17968e-23
510.0,1.89014e-22
520.0,1.04907e-21
530.0,5.45679e-21
540.0,2.66971e-20
550.0,1.23253e-19
560.0,5.38584e-19
570.0,2.234e-18
580.0,8.81905e-18
590.0,3.32162e-17
600.0,1.19635e-16
610.0,4.1292e-16
620.0,1.3686e-15
630.0,4.364e-15
640.0,1.34118e-14
650.0,3.9792e-14
660.0,1.14147e-13
670.0,3.17081e-13
680.0,8.54033e-13
690.0,2.23355e-12
700.0,5.67844e-12
800.0,1.69946e-08
900.0,7.90445e-06
1000.0,0.000987844
1100.0,0.0471882
1200.0,1.09273
1300.0,14.4807
1400.0,123.773
1500.0,745.241
1600.0,3379.96
1700.0,12142.4
1800.0,35989.2
1900.0,90759.7
2000.0,200349.0
2100.0,394284.0
2200.0,705274.0
2300.0,1160440.0
2400.0,1790270.0
2500.0,2601270.0
2600.0,3616420.0
2700.0,4824480.0
2800.0,6236300.0
2900.0,7878740.0
========================================
c2h6rad_W1_Energy_1_0.0.out
4 atm
T,W1->P1
290.0,9.81184e-52
300.0,1.76774e-49
310.0,2.28358e-47
320.0,2.18186e-45
330.0,1.58455e-43
340.0,8.96009e-42
350.0,4.02998e-40
360.0,1.4694e-38
370.0,4.4172e-37
380.0,1.11148e-35
390.0,2.3731e-34
400.0,4.352e-33
410.0,6.93148e-32
420.0,9.68404e-31
430.0,1.19761e-29
440.0,1.32185e-28
450.0,1.31194e-27
460.0,1.17895e-26
470.0,9.65263e-26
480.0,7.24178e-25
490.0,5.00508e-24
500.0,3.2021e-23
510.0,1.90489e-22
520.0,1.05809e-21
530.0,5.50835e-21
540.0,2.69732e-20
550.0,1.24645e-19
560.0,5.45203e-19
570.0,2.26379e-18
580.0,8.94632e-18
590.0,3.37334e-17
600.0,1.21639e-16
610.0,4.20349e-16
620.0,1.39497e-15
630.0,4.45384e-15
640.0,1.3706e-14
650.0,4.07206e-14
660.0,1.16975e-13
670.0,3.25404e-13
680.0,8.7774e-13
690.0,2.29899e-12
700.0,5.85368e-12
800.0,1.78085e-08
900.0,8.42848e-06
1000.0,0.00107174
1100.0,0.052053
1200.0,1.2243
1300.0,16.4603
1400.0,142.578
1500.0,869.03
1600.0,3985.71
1700.0,14466.6
1800.0,43282.6
1900.0,110101.0
2000.0,244938.0
2100.0,485485.0
2200.0,874007.0
2300.0,1446610.0
2400.0,2243200.0
2500.0,3274690.0
2600.0,4570920.0
2700.0,6119840.0
2800.0,7935420.0
2900.0,10051200.0
========================================
c2h6rad_W1_Energy_1_0.0.out
0.5 atm
T,W1->P2
290.0,3.44706e-61
300.0,1.09051e-58
310.0,2.37901e-56
320.0,3.70111e-54
330.0,4.22917e-52
340.0,3.65526e-50
350.0,2.44204e-48
360.0,1.2911e-46
370.0,5.49911e-45
380.0,1.91735e-43
390.0,5.56885e-42
400.0,1.36271e-40
410.0,2.85209e-39
420.0,5.15379e-38
430.0,8.11975e-37
440.0,1.12763e-35
450.0,1.3897e-34
460.0,1.5342e-33
470.0,1.52661e-32
480.0,1.37666e-31
490.0,1.13396e-30
500.0,8.56301e-30
510.0,5.96981e-29
520.0,3.85478e-28
530.0,2.31468e-27
540.0,1.29894e-26
550.0,6.84123e-26
560.0,3.38436e-25
570.0,1.58198e-24
580.0,6.99554e-24
590.0,2.93912e-23
600.0,1.1751e-22
610.0,4.48058e-22
620.0,1.63406e-21
630.0,5.70678e-21
640.0,1.91664e-20
650.0,6.19123e-20
660.0,1.92485e-19
670.0,5.78197e-19
680.0,1.67712e-18
690.0,4.71644e-18
700.0,1.28534e-17
800.0,6.81708e-14
900.0,4.7963e-11
1000.0,8.20578e-09
1100.0,5.02117e-07
1200.0,1.42343e-05
1300.0,0.000223636
1400.0,0.00221284
1500.0,0.0151561
1600.0,0.0771215
1700.0,0.307497
1800.0,1.00209
1900.0,2.76201
2000.0,6.62881
2100.0,14.1147
2200.0,27.2127
2300.0,48.0948
2400.0,79.62
2500.0,123.784
2600.0,184.036
2700.0,262.0
2800.0,361.101
2900.0,486.006
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P2
290.0,6.49075e-61
300.0,2.08572e-58
310.0,4.61791e-56
320.0,7.28855e-54
330.0,8.44948e-52
340.0,7.40318e-50
350.0,5.01381e-48
360.0,2.68512e-46
370.0,1.15805e-44
380.0,4.08832e-43
390.0,1.20145e-41
400.0,2.97472e-40
410.0,6.29459e-39
420.0,1.14974e-37
430.0,1.83081e-36
440.0,2.56827e-35
450.0,3.19683e-34
460.0,3.56267e-33
470.0,3.57757e-32
480.0,3.25574e-31
490.0,2.70496e-30
500.0,2.06017e-29
510.0,1.44782e-28
520.0,9.42275e-28
530.0,5.70212e-27
540.0,3.22395e-26
550.0,1.70981e-25
560.0,8.51986e-25
570.0,4.00952e-24
580.0,1.78491e-23
590.0,7.547e-23
600.0,3.03619e-22
610.0,1.1647e-21
620.0,4.27309e-21
630.0,1.50116e-20
640.0,5.06867e-20
650.0,1.64584e-19
660.0,5.14465e-19
670.0,1.55322e-18
680.0,4.52858e-18
690.0,1.27954e-17
700.0,3.50369e-17
800.0,1.93615e-13
900.0,1.40654e-10
1000.0,2.46771e-08
1100.0,1.54092e-06
1200.0,4.44001e-05
1300.0,0.000706744
1400.0,0.00706808
1500.0,0.0488208
1600.0,0.250149
1700.0,1.00274
1800.0,3.28242
1900.0,9.07438
2000.0,21.8186
2100.0,46.509
2200.0,89.7052
2300.0,158.502
2400.0,261.987
2500.0,406.539
2600.0,602.668
2700.0,855.156
2800.0,1174.01
2900.0,1573.12
========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
T,W1->P2
290.0,1.11712e-60
300.0,3.66364e-58
310.0,8.27464e-56
320.0,1.33217e-53
330.0,1.57577e-51
340.0,1.40795e-49
350.0,9.72605e-48
360.0,5.30982e-46
370.0,2.33402e-44
380.0,8.39924e-43
390.0,2.51445e-41
400.0,6.34296e-40
410.0,1.36649e-38
420.0,2.54072e-37
430.0,4.11829e-36
440.0,5.87719e-35
450.0,7.44211e-34
460.0,8.43222e-33
470.0,8.60629e-32
480.0,7.96061e-31
490.0,6.71843e-30
500.0,5.19774e-29
510.0,3.70812e-28
520.0,2.44939e-27
530.0,1.50424e-26
540.0,8.62757e-26
550.0,4.6391e-25
560.0,2.34422e-24
570.0,1.11812e-23
580.0,5.04443e-23
590.0,2.16051e-22
600.0,8.80251e-22
610.0,3.41922e-21
620.0,1.26988e-20
630.0,4.51576e-20
640.0,1.54236e-19
650.0,5.06509e-19
660.0,1.60148e-18
670.0,4.88824e-18
680.0,1.44105e-17
690.0,4.11442e-17
700.0,1.13839e-16
800.0,6.90812e-13
900.0,5.42245e-10
1000.0,1.0147e-07
1100.0,6.68988e-06
1200.0,0.000201841
1300.0,0.0033414
1400.0,0.0345633
1500.0,0.245761
1600.0,1.29123
1700.0,5.28984
1800.0,17.6496
1900.0,49.5929
2000.0,120.874
2100.0,260.681
2200.0,507.684
2300.0,904.416
2400.0,1503.32
2500.0,2343.39
2600.0,3482.4
2700.0,4948.25
2800.0,6792.88
2900.0,9088.59
========================================
c2h6rad_W1_Energy_1_0.0.out
4 atm
T,W1->P2
290.0,1.21094e-60
300.0,3.98711e-58
310.0,9.04102e-56
320.0,1.46143e-53
330.0,1.73585e-51
340.0,1.5574e-49
350.0,1.08041e-47
360.0,5.92313e-46
370.0,2.6146e-44
380.0,9.44944e-43
390.0,2.84085e-41
400.0,7.19726e-40
410.0,1.5571e-38
420.0,2.90739e-37
430.0,4.7328e-36
440.0,6.7825e-35
450.0,8.62483e-34
460.0,9.8128e-33
470.0,1.00566e-31
480.0,9.34066e-31
490.0,7.91505e-30
500.0,6.14841e-29
510.0,4.4037e-28
520.0,2.92029e-27
530.0,1.80048e-26
540.0,1.03664e-25
550.0,5.59508e-25
560.0,2.83806e-24
570.0,1.35867e-23
580.0,6.15233e-23
590.0,2.64448e-22
600.0,1.08126e-21
610.0,4.21488e-21
620.0,1.5708e-20
630.0,5.60514e-20
640.0,1.9208e-19
650.0,6.3286e-19
660.0,2.00757e-18
670.0,6.14738e-18
680.0,1.81807e-17
690.0,5.20691e-17
700.0,1.44508e-16
800.0,9.01979e-13
900.0,7.25239e-10
1000.0,1.38534e-07
1100.0,9.29656e-06
1200.0,0.000284807
1300.0,0.00477791
1400.0,0.0499993
1500.0,0.359156
1600.0,1.90397
1700.0,7.86219
1800.0,26.4176
1900.0,74.6923
2000.0,183.03
2100.0,396.613
2200.0,775.592
2300.0,1386.7
2400.0,2311.59
2500.0,3612.28
2600.0,5377.97
2700.0,7653.15
2800.0,10517.1
2900.0,14079.5
========================================
c2h6rad_W1_Energy_1_0.0.out
0.5 atm
T,W1->P3
290.0,3.36632e-67
300.0,4.76139e-65
310.0,4.56631e-63
320.0,3.40141e-61
330.0,1.86388e-59
340.0,8.5086e-58
350.0,3.02581e-56
360.0,9.0061e-55
370.0,2.24059e-53
380.0,4.75272e-52
390.0,8.68218e-51
400.0,1.39813e-49
410.0,2.00179e-48
420.0,2.5611e-47
430.0,2.94836e-46
440.0,3.08633e-45
450.0,2.95296e-44
460.0,2.59249e-43
470.0,2.10235e-42
480.0,1.57679e-41
490.0,1.09841e-40
500.0,7.13765e-40
510.0,4.3361e-39
520.0,2.47185e-38
530.0,1.32515e-37
540.0,6.70297e-37
550.0,3.20667e-36
560.0,1.45401e-35
570.0,6.26773e-35
580.0,2.57262e-34
590.0,1.0084e-33
600.0,3.78099e-33
610.0,1.35822e-32
620.0,4.68682e-32
630.0,1.55502e-31
640.0,4.9733e-31
650.0,1.53498e-30
660.0,4.57681e-30
670.0,1.32144e-29
680.0,3.696e-29
690.0,1.00367e-28
700.0,2.6482e-28
800.0,1.11388e-24
900.0,6.96311e-22
1000.0,1.13471e-19
1100.0,6.93936e-18
1200.0,2.03816e-16
1300.0,3.41484e-15
1400.0,3.69904e-14
1500.0,2.84041e-13
1600.0,1.66038e-12
1700.0,7.76801e-12
1800.0,3.0474e-11
1900.0,1.03103e-10
2000.0,3.10717e-10
2100.0,8.41184e-10
2200.0,2.10314e-09
2300.0,4.86157e-09
2400.0,1.06412e-08
2500.0,2.19322e-08
2600.0,4.33341e-08
2700.0,8.07671e-08
2800.0,1.47077e-07
2900.0,2.60444e-07
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P3
290.0,3.36695e-67
300.0,4.7629e-65
310.0,4.56887e-63
320.0,3.40462e-61
330.0,1.86692e-59
340.0,8.5309e-58
350.0,3.03874e-56
360.0,9.06634e-55
370.0,2.26357e-53
380.0,4.82555e-52
390.0,8.87646e-51
400.0,1.44231e-49
410.0,2.08835e-48
420.0,2.70877e-47
430.0,3.1697e-46
440.0,3.38033e-45
450.0,3.30166e-44
460.0,2.96447e-43
470.0,2.46159e-42
480.0,1.89267e-41
490.0,1.35281e-40
500.0,9.02313e-40
510.0,5.62871e-39
520.0,3.29499e-38
530.0,1.81385e-37
540.0,9.42005e-37
550.0,4.62583e-36
560.0,2.15238e-35
570.0,9.51788e-35
580.0,4.00605e-34
590.0,1.60961e-33
600.0,6.1839e-33
610.0,2.2751e-32
620.0,8.03737e-32
630.0,2.72884e-31
640.0,8.92733e-31
650.0,2.81731e-30
660.0,8.5852e-30
670.0,2.53239e-29
680.0,7.23301e-29
690.0,2.00507e-28
700.0,5.39848e-28
800.0,2.72624e-24
900.0,1.98746e-21
1000.0,3.69464e-19
1100.0,2.53451e-17
1200.0,8.24113e-16
1300.0,1.51266e-14
1400.0,1.77925e-13
1500.0,1.47167e-12
1600.0,9.19189e-12
1700.0,4.55923e-11
1800.0,1.87695e-10
1900.0,6.60724e-10
2000.0,2.04596e-09
2100.0,5.64621e-09
2200.0,1.42174e-08
2300.0,3.28862e-08
2400.0,7.12359e-08
2500.0,1.44766e-07
2600.0,2.80138e-07
2700.0,5.13042e-07
2800.0,9.1067e-07
2900.0,1.57089e-06
========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
T,W1->P3
290.0,3.36744e-67
300.0,4.76412e-65
310.0,4.57103e-63
320.0,3.40745e-61
330.0,1.86974e-59
340.0,8.5526e-58
350.0,3.05196e-56
360.0,9.1313e-55
370.0,2.2897e-53
380.0,4.9129e-52
390.0,9.12235e-51
400.0,1.50131e-49
410.0,2.21032e-48
420.0,2.92821e-47
430.0,3.51645e-46
440.0,3.86555e-45
450.0,3.90757e-44
460.0,3.64447e-43
470.0,3.15189e-42
480.0,2.53022e-41
490.0,1.89167e-40
500.0,1.32106e-39
510.0,8.63615e-39
520.0,5.29954e-38
530.0,3.05845e-37
540.0,1.66503e-36
550.0,8.56841e-36
560.0,4.17609e-35
570.0,1.93339e-34
580.0,8.51434e-34
590.0,3.57714e-33
600.0,1.43602e-32
610.0,5.5164e-32
620.0,2.03341e-31
630.0,7.19785e-31
640.0,2.45334e-30
650.0,8.06048e-30
660.0,2.5552e-29
670.0,7.83542e-29
680.0,2.32472e-28
690.0,6.68991e-28
700.0,1.86854e-27
800.0,1.31509e-23
900.0,1.26694e-20
1000.0,2.98768e-18
1100.0,2.5181e-16
1200.0,9.80088e-15
1300.0,2.10603e-13
1400.0,2.84149e-12
1500.0,2.64393e-11
1600.0,1.82207e-10
1700.0,9.78687e-10
1800.0,4.27991e-09
1900.0,1.57215e-08
2000.0,4.99351e-08
2100.0,1.39563e-07
2200.0,3.50809e-07
2300.0,8.01987e-07
2400.0,1.70046e-06
2500.0,3.35989e-06
2600.0,6.28908e-06
2700.0,1.11566e-05
2800.0,1.90412e-05
2900.0,3.14811e-05
========================================
c2h6rad_W1_Energy_1_0.0.out
4 atm
T,W1->P3
290.0,3.36751e-67
300.0,4.76429e-65
310.0,4.57135e-63
320.0,3.40789e-61
330.0,1.87019e-59
340.0,8.5562e-58
350.0,3.05426e-56
360.0,9.1431e-55
370.0,2.29467e-53
380.0,4.93031e-52
390.0,9.17368e-51
400.0,1.51422e-49
410.0,2.23825e-48
420.0,2.98079e-47
430.0,3.60333e-46
440.0,3.99256e-45
450.0,4.0731e-44
460.0,3.83817e-43
470.0,3.3567e-42
480.0,2.72705e-41
490.0,2.06457e-40
500.0,1.46057e-39
510.0,9.67532e-39
520.0,6.01716e-38
530.0,3.51962e-37
540.0,1.94205e-36
550.0,1.01288e-35
560.0,5.00267e-35
570.0,2.34679e-34
580.0,1.04703e-33
590.0,4.45578e-33
600.0,1.81155e-32
610.0,7.0462e-32
620.0,2.62937e-31
630.0,9.42028e-31
640.0,3.24913e-30
650.0,1.08002e-29
660.0,3.46304e-29
670.0,1.07392e-28
680.0,3.22154e-28
690.0,9.37167e-28
700.0,2.64554e-27
800.0,2.04989e-23
900.0,2.14049e-20
1000.0,5.40396e-18
1100.0,4.82725e-16
1200.0,1.97421e-14
1300.0,4.42325e-13
1400.0,6.17814e-12
1500.0,5.91153e-11
1600.0,4.16357e-10
1700.0,2.273e-09
1800.0,1.00516e-08
1900.0,3.71773e-08
2000.0,1.18444e-07
2100.0,3.31146e-07
2200.0,8.30306e-07
2300.0,1.88982e-06
2400.0,3.98201e-06
2500.0,7.80972e-06
2600.0,1.44944e-05
2700.0,2.54922e-05
2800.0,4.30844e-05
2900.0,7.0499e-05
========================================
c2h6rad_W1_Energy_1_0.0.out
0.1 atm
T,P1->P2
290.0,8.20274e-20
300.0,1.51242e-19
