========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.5 atm
T,W1->P1
290.0,9.70362e-52
300.0,1.74547e-49
310.0,2.25078e-47
320.0,2.1462e-45
330.0,1.55514e-43
340.0,8.77162e-42
350.0,3.93413e-40
360.0,1.43001e-38
370.0,4.28404e-37
380.0,1.0739e-35
390.0,2.28343e-34
400.0,4.1687e-33
410.0,6.6073e-32
420.0,9.18273e-31
430.0,1.12918e-29
440.0,1.2388e-28
450.0,1.22157e-27
460.0,1.09024e-26
470.0,8.86179e-26
480.0,6.59752e-25
490.0,4.52328e-24
500.0,2.86946e-23
510.0,1.69204e-22
520.0,9.31287e-22
530.0,4.80208e-21
540.0,2.32841e-20
550.0,1.06507e-19
560.0,4.60983e-19
570.0,1.89356e-18
580.0,7.40042e-18
590.0,2.75899e-17
600.0,9.83415e-17
610.0,3.35831e-16
620.0,1.10116e-15
630.0,3.47284e-15
640.0,1.05554e-14
650.0,3.09681e-14
660.0,8.78297e-14
670.0,2.41202e-13
680.0,6.42182e-13
690.0,1.66013e-12
700.0,4.17162e-12
800.0,1.10908e-08
900.0,4.59373e-06
1000.0,0.000514743
1100.0,0.0222344
1200.0,0.46973
1300.0,5.72646
1400.0,45.3817
1500.0,255.11
1600.0,1087.32
1700.0,3690.74
1800.0,10390.8
1900.0,24997.4
2000.0,52915.8
2100.0,100213.0
2200.0,173188.0
2300.0,276054.0
2400.0,414473.0
2500.0,587395.0
2600.0,799510.0
2700.0,1046450.0
2800.0,1330590.0
2900.0,1658540.0
========================================
c2h6rad_B1_Frequencies_1_0.01.out
1 atm
T,W1->P1
290.0,9.73793e-52
300.0,1.75286e-49
310.0,2.26212e-47
320.0,2.15899e-45
330.0,1.56603e-43
340.0,8.84336e-42
350.0,3.97152e-40
360.0,1.44569e-38
370.0,4.33797e-37
380.0,1.08934e-35
390.0,2.32071e-34
400.0,4.24564e-33
410.0,6.74438e-32
420.0,9.39587e-31
430.0,1.15838e-29
440.0,1.27433e-28
450.0,1.26026e-27
460.0,1.12821e-26
470.0,9.19987e-26
480.0,6.87232e-25
490.0,4.72816e-24
500.0,3.01038e-23
510.0,1.78182e-22
520.0,9.84505e-22
530.0,5.09688e-21
540.0,2.48149e-20
550.0,1.13986e-19
560.0,4.95482e-19
570.0,2.04417e-18
580.0,8.0248e-18
590.0,3.0053e-17
600.0,1.07612e-16
610.0,3.69204e-16
620.0,1.21626e-15
630.0,3.85409e-15
640.0,1.177e-14
650.0,3.46976e-14
660.0,9.88841e-14
670.0,2.72877e-13
680.0,7.30061e-13
690.0,1.8965e-12
700.0,4.78884e-12
800.0,1.33621e-08
900.0,5.79426e-06
1000.0,0.000677277
1100.0,0.0303991
1200.0,0.664816
1300.0,8.36148
1400.0,68.1508
1500.0,392.948
1600.0,1713.51
1700.0,5938.49
1800.0,17036.2
1900.0,41695.5
2000.0,89617.1
2100.0,172102.0
2200.0,301158.0
2300.0,485587.0
2400.0,736245.0
2500.0,1052860.0
2600.0,1444020.0
2700.0,1903060.0
2800.0,2434170.0
2900.0,3048780.0
========================================
c2h6rad_B1_Frequencies_1_0.01.out
2 atm
T,W1->P1
290.0,9.75583e-52
300.0,1.75675e-49
310.0,2.26814e-47
320.0,2.16583e-45
330.0,1.57192e-43
340.0,8.88257e-42
350.0,3.99218e-40
360.0,1.45446e-38
370.0,4.3685e-37
380.0,1.0982e-35
390.0,2.34237e-34
400.0,4.29095e-33
410.0,6.82622e-32
420.0,9.52491e-31
430.0,1.17632e-29
440.0,1.29645e-28
450.0,1.28471e-27
460.0,1.15256e-26
470.0,9.41976e-26
480.0,7.05366e-25
490.0,4.86532e-24
500.0,3.10608e-23
510.0,1.84366e-22
520.0,1.02168e-21
530.0,5.30572e-21
540.0,2.59144e-20
550.0,1.19432e-19
560.0,5.20946e-19
570.0,2.15683e-18
580.0,8.49806e-18
590.0,3.19443e-17
600.0,1.14822e-16
610.0,3.95491e-16
620.0,1.30806e-15
630.0,4.16192e-15
640.0,1.27626e-14
650.0,3.77815e-14
660.0,1.08133e-13
670.0,2.99682e-13
680.0,8.0528e-13
690.0,2.10108e-12
700.0,5.32888e-12
800.0,1.5557e-08
900.0,7.0558e-06
1000.0,0.000860627
1100.0,0.0401854
1200.0,0.911207
1300.0,11.8447
1400.0,99.4768
1500.0,589.418
1600.0,2634.52
1700.0,9338.86
1800.0,27345.7
1900.0,68197.5
2000.0,149051.0
2100.0,290665.0
2200.0,515677.0
2300.0,842092.0
2400.0,1290720.0
2500.0,1864290.0
2600.0,2578700.0
2700.0,3424460.0
2800.0,4409130.0
2900.0,5552280.0
========================================
c2h6rad_B1_Frequencies_1_0.01.out
4 atm
T,W1->P1
290.0,9.76501e-52
300.0,1.75875e-49
310.0,2.27125e-47
320.0,2.1694e-45
330.0,1.57501e-43
340.0,8.9033e-42
350.0,4.00319e-40
360.0,1.45918e-38
370.0,4.38508e-37
380.0,1.10305e-35
390.0,2.35438e-34
400.0,4.31633e-33
410.0,6.87259e-32
420.0,9.59888e-31
430.0,1.18672e-29
440.0,1.30945e-28
450.0,1.29925e-27
460.0,1.16722e-26
470.0,9.55393e-26
480.0,7.16577e-25
490.0,4.95123e-24
500.0,3.16682e-23
510.0,1.88343e-22
520.0,1.04591e-21
530.0,5.44365e-21
540.0,2.66503e-20
550.0,1.23125e-19
560.0,5.38441e-19
570.0,2.23526e-18
580.0,8.83178e-18
590.0,3.32952e-17
600.0,1.20038e-16
610.0,4.14746e-16
620.0,1.37614e-15
630.0,4.39305e-15
640.0,1.3517e-14
650.0,4.01535e-14
660.0,1.15331e-13
670.0,3.20791e-13
680.0,8.65202e-13
690.0,2.26591e-12
700.0,5.76891e-12
800.0,1.75405e-08
900.0,8.30141e-06
1000.0,0.00105594
1100.0,0.0513149
1200.0,1.20777
1300.0,16.2504
1400.0,140.869
1500.0,859.269
1600.0,3943.89
1700.0,14325.0
1800.0,42888.8
1900.0,109171.0
2000.0,243014.0
2100.0,481944.0
2200.0,868083.0
2300.0,1437500.0
2400.0,2230030.0
2500.0,3256740.0
2600.0,4547410.0
2700.0,6090230.0
2800.0,7899130.0
2900.0,10007400.0
========================================
c2h6rad_W1_Frequencies_1_0.01.out
0.5 atm
T,W1->P1
290.0,9.76292e-52
300.0,1.75691e-49
310.0,2.26653e-47
320.0,2.16215e-45
330.0,1.56734e-43
340.0,8.84403e-42
350.0,3.96813e-40
360.0,1.44289e-38
370.0,4.32416e-37
380.0,1.08431e-35
390.0,2.30625e-34
400.0,4.21152e-33
410.0,6.67682e-32
420.0,9.2814e-31
430.0,1.14153e-29
440.0,1.25257e-28
450.0,1.23531e-27
460.0,1.10263e-26
470.0,8.96326e-26
480.0,6.67346e-25
490.0,4.57551e-24
500.0,2.90262e-23
510.0,1.71157e-22
520.0,9.42007e-22
530.0,4.85709e-21
540.0,2.35492e-20
550.0,1.0771e-19
560.0,4.66137e-19
570.0,1.91449e-18
580.0,7.48121e-18
590.0,2.78869e-17
600.0,9.93836e-17
610.0,3.39329e-16
620.0,1.11243e-15
630.0,3.50769e-15
640.0,1.06592e-14
650.0,3.12662e-14
660.0,8.86557e-14
670.0,2.43419e-13
680.0,6.47934e-13
690.0,1.67462e-12
700.0,4.20706e-12
800.0,1.11588e-08
900.0,4.61187e-06
1000.0,0.000515841
1100.0,0.0222502
1200.0,0.469565
1300.0,5.72017
1400.0,45.31
1500.0,254.637
1600.0,1085.21
1700.0,3683.71
1800.0,10372.4
1900.0,24958.3
2000.0,52849.3
2100.0,100118.0
2200.0,173079.0
2300.0,275953.0
2400.0,414435.0
2500.0,587441.0
2600.0,799699.0
2700.0,1046750.0
2800.0,1330960.0
2900.0,1659100.0
========================================
c2h6rad_W1_Frequencies_1_0.01.out
1 atm
T,W1->P1
