========================================
c2h6rad_W1_Energy_1_0.0.out
0.001 atm
T,P1->P2
290.0,8.29489e-20
300.0,1.52803e-19
310.0,2.70527e-19
320.0,4.62021e-19
330.0,7.63715e-19
340.0,1.22545e-18
350.0,1.91375e-18
360.0,2.9153e-18
370.0,4.34093e-18
380.0,6.32972e-18
390.0,9.05339e-18
400.0,1.27192e-17
410.0,1.75784e-17
420.0,2.39223e-17
430.0,3.20983e-17
440.0,4.25004e-17
450.0,5.55861e-17
460.0,7.18665e-17
470.0,9.19199e-17
480.0,1.16389e-16
490.0,1.45984e-16
500.0,1.81487e-16
510.0,2.23756e-16
520.0,2.73697e-16
530.0,3.32334e-16
540.0,4.00688e-16
550.0,4.79994e-16
560.0,5.7136e-16
570.0,6.76127e-16
580.0,7.95651e-16
590.0,9.31367e-16
600.0,1.08472e-15
610.0,1.25735e-15
620.0,1.45077e-15
630.0,1.66673e-15
640.0,1.90713e-15
650.0,2.17353e-15
660.0,2.46782e-15
670.0,2.792e-15
680.0,3.14778e-15
690.0,3.53758e-15
700.0,3.96313e-15
800.0,1.06646e-14
900.0,2.34111e-14
1000.0,4.45421e-14
1100.0,7.63095e-14
1200.0,1.20737e-13
1300.0,1.79538e-13
1400.0,2.54071e-13
1500.0,3.45336e-13
1600.0,4.53982e-13
1700.0,5.80335e-13
1800.0,7.24429e-13
1900.0,8.86049e-13
2000.0,1.06476e-12
2100.0,1.25995e-12
2200.0,1.47087e-12
2300.0,1.69666e-12
2400.0,1.93637e-12
2500.0,2.18901e-12
2600.0,2.45354e-12
2700.0,2.72891e-12
2800.0,3.01409e-12
2900.0,3.30805e-12
========================================
c2h6rad_W1_Energy_1_0.0.out
0.001 atm
T,P1->P3
290.0,2.68327e-28
300.0,2.85282e-28
310.0,3.03538e-28
320.0,3.23708e-28
330.0,3.46351e-28
340.0,3.72114e-28
350.0,4.02006e-28
360.0,4.37198e-28
370.0,4.79438e-28
380.0,5.31127e-28
390.0,5.9544e-28
400.0,6.77164e-28
410.0,7.82964e-28
420.0,9.22772e-28
430.0,1.11125e-27
440.0,1.37014e-27
450.0,1.7322e-27
460.0,2.2465e-27
470.0,2.9869e-27
480.0,4.06417e-27
490.0,5.64364e-27
500.0,7.9711e-27
510.0,1.1409e-26
520.0,1.64882e-26
530.0,2.39793e-26
540.0,3.49915e-26
550.0,5.11061e-26
560.0,7.45577e-26
570.0,1.08473e-25
580.0,1.5719e-25
590.0,2.26664e-25
600.0,3.25008e-25
610.0,4.63167e-25
620.0,6.55785e-25
630.0,9.22287e-25
640.0,1.28823e-24
650.0,1.78698e-24
660.0,2.46176e-24
670.0,3.36812e-24
680.0,4.577e-24
690.0,6.17832e-24
700.0,8.28533e-24
800.0,1.12221e-22
900.0,9.28717e-22
1000.0,5.32052e-21
1100.0,2.30867e-20
1200.0,8.08615e-20
1300.0,2.3929e-19
1400.0,6.18626e-19
1500.0,1.43257e-18
1600.0,3.02885e-18
1700.0,5.93396e-18
1800.0,1.08993e-17
1900.0,1.89452e-17
2000.0,3.1401e-17
2100.0,4.99384e-17
2200.0,7.65968e-17
2300.0,1.138e-16
2400.0,1.64365e-16
2500.0,2.31502e-16
2600.0,3.18804e-16
2700.0,4.30238e-16
2800.0,5.7012e-16
2900.0,7.43092e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
0.001 atm
T,P2->P3
290.0,2.68183e-25
300.0,3.12204e-25
310.0,3.66833e-25
320.0,4.3532e-25
330.0,5.22115e-25
340.0,6.33337e-25
350.0,7.77473e-25
360.0,9.66354e-25
370.0,1.21654e-24
380.0,1.55127e-24
390.0,2.00312e-24
400.0,2.61774e-24
410.0,3.45885e-24
420.0,4.61501e-24
430.0,6.2087e-24
440.0,8.40807e-24
450.0,1.14425e-23
460.0,1.56224e-23
470.0,2.13647e-23
480.0,2.92246e-23
490.0,3.9936e-23
500.0,5.44606e-23
510.0,7.40485e-23
520.0,1.00312e-22
530.0,1.35316e-22
540.0,1.81682e-22
550.0,2.42716e-22
560.0,3.22557e-22
570.0,4.26351e-22
580.0,5.60456e-22
590.0,7.32675e-22
600.0,9.52523e-22
610.0,1.23154e-21
620.0,1.58364e-21
630.0,2.02551e-21
640.0,2.57703e-21
650.0,3.26183e-21
660.0,4.10778e-21
670.0,5.14765e-21
680.0,6.41979e-21
690.0,7.96888e-21
700.0,9.84674e-21
800.0,6.52987e-20
900.0,3.10407e-19
1000.0,1.14976e-18
1100.0,3.51925e-18
1200.0,9.27938e-18
1300.0,2.17209e-17
1400.0,4.61526e-17
1500.0,9.05295e-17
1600.0,1.66077e-16
1700.0,2.87871e-16
1800.0,4.75333e-16
1900.0,7.52629e-16
2000.0,1.14894e-15
2100.0,1.69863e-15
2200.0,2.44126e-15
2300.0,3.42152e-15
2400.0,4.68903e-15
2500.0,6.2981e-15
2600.0,8.30738e-15
2700.0,1.07795e-14
2800.0,1.37805e-14
2900.0,1.73796e-14
