========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
290.0,8.29485e-20
300.0,1.52802e-19
310.0,2.70526e-19
320.0,4.62019e-19
330.0,7.6371e-19
340.0,1.22544e-18
350.0,1.91373e-18
360.0,2.91528e-18
370.0,4.34089e-18
380.0,6.32966e-18
390.0,9.05329e-18
400.0,1.27191e-17
410.0,1.75782e-17
420.0,2.39219e-17
430.0,3.20978e-17
440.0,4.24997e-17
450.0,5.5585e-17
460.0,7.1865e-17
470.0,9.19179e-17
480.0,1.16386e-16
490.0,1.4598e-16
500.0,1.81482e-16
510.0,2.23749e-16
520.0,2.73688e-16
530.0,3.32323e-16
540.0,4.00674e-16
550.0,4.79975e-16
560.0,5.71336e-16
570.0,6.76097e-16
580.0,7.95613e-16
590.0,9.3132e-16
600.0,1.08466e-15
610.0,1.25727e-15
620.0,1.45068e-15
630.0,1.66662e-15
640.0,1.90699e-15
650.0,2.17337e-15
660.0,2.46763e-15
670.0,2.79176e-15
680.0,3.1475e-15
690.0,3.53725e-15
700.0,3.96274e-15
800.0,1.06629e-14
900.0,2.3405e-14
1000.0,4.45249e-14
1100.0,7.62675e-14
1200.0,1.20646e-13
1300.0,1.79356e-13
1400.0,2.53738e-13
1500.0,3.44763e-13
1600.0,4.53047e-13
1700.0,5.78879e-13
1800.0,7.22252e-13
1900.0,8.82903e-13
2000.0,1.06035e-12
2100.0,1.25393e-12
2200.0,1.46285e-12
2300.0,1.6862e-12
2400.0,1.92298e-12
2500.0,2.17216e-12
2600.0,2.43266e-12
2700.0,2.7034e-12
2800.0,2.98331e-12
2900.0,3.27133e-12
========================================
c2h6rad_W1_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
290.0,8.29489e-20
300.0,1.52803e-19
310.0,2.70527e-19
320.0,4.62021e-19
330.0,7.63715e-19
340.0,1.22545e-18
350.0,1.91375e-18
360.0,2.9153e-18
370.0,4.34093e-18
380.0,6.32972e-18
390.0,9.05339e-18
400.0,1.27192e-17
410.0,1.75784e-17
420.0,2.39223e-17
430.0,3.20983e-17
440.0,4.25004e-17
450.0,5.55861e-17
460.0,7.18665e-17
470.0,9.19199e-17
480.0,1.16389e-16
490.0,1.45984e-16
500.0,1.81487e-16
510.0,2.23756e-16
520.0,2.73697e-16
530.0,3.32334e-16
540.0,4.00688e-16
550.0,4.79994e-16
560.0,5.7136e-16
570.0,6.76127e-16
580.0,7.95651e-16
590.0,9.31367e-16
600.0,1.08472e-15
610.0,1.25735e-15
620.0,1.45077e-15
630.0,1.66673e-15
640.0,1.90713e-15
650.0,2.17353e-15
660.0,2.46782e-15
670.0,2.792e-15
680.0,3.14778e-15
690.0,3.53758e-15
700.0,3.96313e-15
800.0,1.06646e-14
900.0,2.34111e-14
1000.0,4.45421e-14
1100.0,7.63095e-14
1200.0,1.20737e-13
1300.0,1.79538e-13
1400.0,2.54071e-13
1500.0,3.45336e-13
1600.0,4.53982e-13
1700.0,5.80335e-13
1800.0,7.24429e-13
1900.0,8.86049e-13
2000.0,1.06476e-12
2100.0,1.25995e-12
2200.0,1.47087e-12
2300.0,1.69666e-12
2400.0,1.93637e-12
2500.0,2.18901e-12
2600.0,2.45354e-12
2700.0,2.72891e-12
2800.0,3.01409e-12
2900.0,3.30805e-12
========================================
c2h6rad_B3_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
290.0,8.29489e-20
300.0,1.52803e-19
310.0,2.70527e-19
320.0,4.62021e-19
330.0,7.63715e-19
340.0,1.22545e-18
350.0,1.91375e-18
360.0,2.9153e-18
370.0,4.34093e-18
380.0,6.32972e-18
390.0,9.05339e-18
400.0,1.27192e-17
410.0,1.75784e-17
420.0,2.39223e-17
430.0,3.20983e-17
440.0,4.25004e-17
450.0,5.55861e-17
460.0,7.18665e-17
470.0,9.19199e-17
480.0,1.16389e-16
490.0,1.45984e-16
500.0,1.81487e-16
510.0,2.23756e-16
520.0,2.73697e-16
530.0,3.32334e-16
540.0,4.00688e-16
550.0,4.79994e-16
560.0,5.7136e-16
570.0,6.76127e-16
580.0,7.95651e-16
590.0,9.31367e-16
600.0,1.08472e-15
610.0,1.25735e-15
620.0,1.45077e-15
630.0,1.66673e-15
640.0,1.90713e-15
650.0,2.17353e-15
660.0,2.46782e-15
670.0,2.792e-15
680.0,3.14778e-15
690.0,3.53758e-15
700.0,3.96313e-15
800.0,1.06646e-14
900.0,2.34111e-14
1000.0,4.45421e-14
1100.0,7.63095e-14
1200.0,1.20737e-13
1300.0,1.79538e-13
1400.0,2.54071e-13
1500.0,3.45336e-13
1600.0,4.53982e-13
1700.0,5.80335e-13
1800.0,7.24429e-13
1900.0,8.86049e-13
2000.0,1.06476e-12
2100.0,1.25995e-12
2200.0,1.47087e-12
2300.0,1.69666e-12
2400.0,1.93638e-12
2500.0,2.18901e-12
2600.0,2.45354e-12
2700.0,2.72892e-12
2800.0,3.01411e-12
2900.0,3.30806e-12
========================================
c2h6rad_B2_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
290.0,8.25903e-20
300.0,1.52084e-19
310.0,2.69146e-19
320.0,4.59474e-19
330.0,7.59182e-19
340.0,1.21765e-18
350.0,1.90072e-18
360.0,2.89414e-18
370.0,4.30743e-18
380.0,6.2779e-18
390.0,8.97501e-18
400.0,1.26029e-17
410.0,1.74091e-17
420.0,2.36802e-17
430.0,3.17575e-17
440.0,4.20279e-17
450.0,5.494e-17
460.0,7.09945e-17
470.0,9.07575e-17
480.0,1.14858e-16
490.0,1.43988e-16
500.0,1.78913e-16
510.0,2.20466e-16
520.0,2.6953e-16
530.0,3.27101e-16
540.0,3.94175e-16
550.0,4.7194e-16
560.0,5.61481e-16
570.0,6.6408e-16
580.0,7.81069e-16
590.0,9.13815e-16
600.0,1.06372e-15
610.0,1.23237e-15
620.0,1.42121e-15
630.0,1.63193e-15
640.0,1.86632e-15
650.0,2.12592e-15
660.0,2.41254e-15
670.0,2.72804e-15
680.0,3.07411e-15
690.0,3.45305e-15
700.0,3.86647e-15
800.0,1.03536e-14
900.0,2.26231e-14
1000.0,4.28564e-14
1100.0,7.3126e-14
1200.0,1.15269e-13
1300.0,1.70818e-13
1400.0,2.40969e-13
1500.0,3.26586e-13
1600.0,4.28211e-13
1700.0,5.46095e-13
1800.0,6.80232e-13
1900.0,8.30398e-13
2000.0,9.96177e-13
2100.0,1.177e-12
2200.0,1.3722e-12
2300.0,1.58097e-12
2400.0,1.80249e-12
2500.0,2.03586e-12
2600.0,2.28016e-12
2700.0,2.53447e-12
2800.0,2.79787e-12
2900.0,3.06945e-12
========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P1->P3
290.0,2.67994e-28
300.0,2.84949e-28
310.0,3.03208e-28
320.0,3.23382e-28
330.0,3.4603e-28
340.0,3.71799e-28
350.0,4.01699e-28
360.0,4.36898e-28
370.0,4.79146e-28
380.0,5.30844e-28
390.0,5.95164e-28
400.0,6.76894e-28
410.0,7.82698e-28
420.0,9.22504e-28
430.0,1.11097e-27
440.0,1.36983e-27
450.0,1.73184e-27
460.0,2.24603e-27
470.0,2.98625e-27
480.0,4.06318e-27
490.0,5.64208e-27
500.0,7.96856e-27
510.0,1.14048e-26
520.0,1.64814e-26
530.0,2.39682e-26
540.0,3.49735e-26
550.0,5.10773e-26
560.0,7.45121e-26
570.0,1.08402e-25
580.0,1.57079e-25
590.0,2.26494e-25
600.0,3.2475e-25
610.0,4.62781e-25
620.0,6.55211e-25
630.0,9.21442e-25
640.0,1.287e-24
650.0,1.7852e-24
660.0,2.45921e-24
670.0,3.36451e-24
680.0,4.57192e-24
690.0,6.17123e-24
700.0,8.2755e-24
800.0,1.12044e-22
900.0,9.26868e-22
1000.0,5.30745e-21
1100.0,2.30179e-20
1200.0,8.0574e-20
1300.0,2.38287e-19
