Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,B2_SymmetryFactor_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,W1_Energy_1_P1->P2,P2_Energy_1_P1->P2,B2_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
1.0,200.0,3.424743758576346e-05,-0.0004227867556979232,0.0,0.0,0.0,-2.5160998926312903,-1.0000037416048055,0.0,0.0,0.0,0.0,-0.39954467027292473,1.000007998556712,0.0015099875010222102,0.0,2.5161122275862273,0.0,3.0801643337635115e-06,0.0
1.0,210.0,-6.881145550631877e-05,-0.00041116353650766884,0.0,0.0,0.0,-2.3962906622764444,-0.9999915894157975,0.0,0.0,0.0,0.0,-0.437123585371641,1.0000017265983823,0.004037382403544652,0.0,2.396282764262297,0.0,-6.019062042036632e-06,0.0
1.0,220.0,-2.2935158851092406e-05,-0.00032625714493516943,0.0,0.0,0.0,-2.2873730818821874,-1.0000024645714014,0.0,0.0,0.0,0.0,-0.4748313701786498,1.0000001770637734,0.004180809861255795,0.0,2.287361682575804,0.0,-1.871153206621904e-06,0.0
1.0,230.0,2.5581341068955926e-05,-0.00023621559553375007,0.0,0.0,0.0,-2.187924293775159,-1.0000108649454225,0.0,0.0,0.0,0.0,-0.512357257088228,1.0000006262504733,0.005038096959591368,0.0,2.1879148942531503,0.0,1.9732597198831038e-06,0.0
1.0,240.0,4.4959861278463155e-05,-0.00016283053164255735,0.0,0.0,0.0,-2.0967607756804503,-1.0000123041197253,0.0,0.0,0.0,0.0,-0.5495521709568372,1.0000016524686712,0.0070113119197233505,0.0,2.096754304043307,0.0,2.9568799972424778e-06,0.0
1.0,250.0,3.958313836963981e-05,-0.00010956294699772296,0.0,0.0,0.0,-2.0128889593216472,-1.0000085851450127,0.0,0.0,0.0,0.0,-0.5863853537783471,1.000002596670817,0.009842801455249269,0.0,2.0128847472513587,0.0,1.7734614800891651e-06,0.0
1.0,260.0,2.1171192634931662e-05,-7.352242904791112e-05,0.0,0.0,0.0,-1.9354681487560284,-1.000002494543177,0.0,0.0,0.0,0.0,-0.6228916212465487,1.000003216951389,0.013254502633652392,0.0,1.9354651933603402,0.0,-3.6759978310225735e-07,0.0
1.0,270.0,-4.3011002599737364e-07,-5.036237552613775e-05,0.0,0.0,0.0,-1.8637820457741014,-0.9999961905260402,0.0,0.0,0.0,0.0,-0.6591338134022446,1.0000034817910672,0.01709214351346219,0.0,1.8637794865714812,0.0,-2.549001475615097e-06,0.0
1.0,280.0,-1.913485101395253e-05,-3.6092209123294235e-05,0.0,0.0,0.0,-1.7972165166658802,-0.9999909456390064,0.0,0.0,0.0,0.0,-0.6951808300283324,1.0000034528002704,0.02131489078223467,0.0,1.7972137669590715,0.0,-4.2638633647009075e-06,0.0
1.0,290.0,-3.210304502345036e-05,-2.7593400540597856e-05,0.0,0.0,0.0,-1.7352420048968815,-0.9999873137788143,0.0,0.0,0.0,0.0,-0.7310965592245977,1.0000032218736377,0.025951877333319367,0.0,1.7352387427024198,0.0,-5.326984103942241e-06,0.0
