pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 14
maximum energy[1/cm] = 7362

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      21.0487  2.80984e-15
      21.0087  3.06543e-15
      20.9687  3.34417e-15
      20.9287  3.64819e-15
      20.8886   3.9797e-15
      20.8486  4.34129e-15
      20.8086  4.73562e-15
      20.7686  5.16565e-15
      20.7285   5.6346e-15
      20.6885  6.14601e-15
      20.6485  6.70366e-15
      20.6084  7.31174e-15
      20.5684  7.97482e-15
      20.5284  8.69785e-15
      20.4884  9.48616e-15
      20.4483  1.03457e-14
      20.4083  1.12829e-14
      20.3683  1.23047e-14
      20.3283  1.34187e-14
      20.2882  1.46333e-14
      20.2482  1.59574e-14
      20.2082  1.74009e-14
      20.1681  1.89746e-14
      20.1281  2.06901e-14
      20.0881  2.25601e-14
      20.0481  2.45986e-14
       20.008  2.68206e-14
       19.968  2.92427e-14
       19.928  3.18827e-14
      19.8879  3.47602e-14
      19.8479  3.78965e-14
      19.8079  4.13149e-14
      19.7679  4.50405e-14
      19.7278  4.91008e-14
      19.6878  5.35258e-14
      19.6478  5.83482e-14
      19.6078  6.36035e-14
      19.5677  6.93305e-14
      19.5277  7.55712e-14
      19.4877  8.23716e-14
      19.4476  8.97817e-14
      19.4076   9.7856e-14
      19.3676  1.06654e-13
      19.3276  1.16239e-13
      19.2875  1.26683e-13
      19.2475  1.38062e-13
      19.2075  1.50459e-13
      19.1675  1.63965e-13
      19.1274  1.78679e-13
      19.0874  1.94708e-13
      19.0474  2.12169e-13
      19.0073  2.31191e-13
      18.9673  2.51911e-13
      18.9273  2.74481e-13
      18.8873  2.99065e-13
      18.8472  3.25842e-13
      18.8072  3.55008e-13
      18.7672  3.86774e-13
      18.7272   4.2137e-13
      18.6871  4.59049e-13
      18.6471  5.00084e-13
      18.6071  5.44772e-13
       18.567  5.93437e-13
       18.527  6.46432e-13
       18.487  7.04139e-13
       18.447  7.66978e-13
      18.4069  8.35401e-13
      18.3669  9.09902e-13
      18.3269   9.9102e-13
      18.2868  1.07934e-12
      18.2468   1.1755e-12
      18.2068  1.28018e-12
      18.1668  1.39416e-12
      18.1267  1.51823e-12
      18.0867   1.6533e-12
      18.0467  1.80034e-12
      18.0067  1.96039e-12
      17.9666  2.13461e-12
      17.9266  2.32425e-12
      17.8866  2.53066e-12
      17.8465  2.75532e-12
      17.8065  2.99984e-12
      17.7665  3.26596e-12
      17.7265  3.55558e-12
      17.6864  3.87077e-12
      17.6464  4.21377e-12
