========================================
ch2o+o2_B1_Energy_1_34.9759.out
--
T,P1->P2
250.0,7.21722e-44
260.0,1.18252e-42
270.0,1.55881e-41
280.0,1.75862e-40
290.0,1.66825e-39
300.0,1.33261e-38
310.0,9.44318e-38
320.0,5.96429e-37
330.0,3.38881e-36
340.0,1.74861e-35
350.0,8.27465e-35
360.0,3.56831e-34
370.0,1.43331e-33
380.0,5.39637e-33
390.0,1.88937e-32
400.0,6.29856e-32
410.0,1.96141e-31
420.0,5.76785e-31
430.0,1.6316e-30
440.0,4.39517e-30
450.0,1.14279e-29
460.0,2.8473e-29
470.0,6.80988e-29
480.0,1.59283e-28
490.0,3.52909e-28
500.0,7.67307e-28
510.0,1.63622e-27
520.0,3.33894e-27
530.0,6.71188e-27
540.0,1.31487e-26
550.0,2.50807e-26
560.0,4.67293e-26
570.0,8.52806e-26
580.0,1.53547e-25
590.0,2.71449e-25
600.0,4.71697e-25
610.0,8.02442e-25
620.0,1.33772e-24
630.0,2.19786e-24
640.0,3.56086e-24
650.0,5.7272e-24
660.0,9.01068e-24
670.0,1.40848e-23
680.0,2.17451e-23
690.0,3.31681e-23
700.0,4.99749e-23
800.0,1.77274e-21
900.0,2.95164e-20
1000.0,2.92778e-19
1100.0,1.97296e-18
1200.0,9.90724e-18
1300.0,3.91979e-17
1400.0,1.30199e-16
1500.0,3.73354e-16
1600.0,9.49518e-16
1700.0,2.18869e-15
1800.0,4.62209e-15
1900.0,9.12344e-15
2000.0,1.68686e-14
2100.0,2.95939e-14
2200.0,4.96729e-14
2300.0,8.00461e-14
2400.0,1.25183e-13
2500.0,1.8772e-13
2600.0,2.75298e-13
2700.0,3.93646e-13
2800.0,5.50043e-13
2900.0,7.52982e-13
3000.0,1.0121e-12
