Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250   8.8265e-44  2.81751e-12
  260  1.43504e-42  2.52664e-12
  270  1.87818e-41  2.25887e-12
  280  2.10487e-40  2.09307e-12
  290  1.98436e-39  1.93618e-12
  300  1.57599e-38  1.76026e-12
  310  1.11075e-37  1.63231e-12
  320  6.97999e-37  1.53111e-12
  330  3.94706e-36   1.4495e-12
  340  2.02755e-35  1.38405e-12
  350  9.55414e-35  1.33401e-12
  360  4.10365e-34  1.27944e-12
  370  1.64213e-33  1.23923e-12
  380  6.16047e-33  1.21203e-12
  390  2.14959e-32  1.18083e-12
  400  7.14295e-32  1.16734e-12
  410  2.21754e-31  1.14346e-12
  420  6.50203e-31  1.11726e-12
  430  1.83417e-30  1.10503e-12
  440  4.92772e-30   1.0914e-12
  450  1.27801e-29  1.08763e-12
  460  3.17646e-29  1.08259e-12
  470  7.57946e-29  1.07534e-12
  480  1.76888e-28  1.08334e-12
  490  3.91078e-28  1.06979e-12
  500  8.48553e-28  1.07055e-12
  510   1.8059e-27  1.08298e-12
  520  3.67821e-27  1.07876e-12
  530  7.38039e-27  1.08739e-12
  540  1.44329e-26  1.09571e-12
  550  2.74837e-26   1.1012e-12
  560  5.11229e-26  1.10592e-12
  570  9.31519e-26  1.11163e-12
  580  1.67464e-25  1.12517e-12
  590  2.95618e-25  1.14017e-12
  600  5.12965e-25  1.15683e-12
  610  8.71447e-25  1.16943e-12
  620  1.45082e-24  1.17798e-12
  630  2.38061e-24  1.18824e-12
  640  3.85215e-24  1.20001e-12
  650  6.18821e-24  1.22065e-12
  660  9.72457e-24  1.23149e-12
  670  1.51834e-23   1.2508e-12
  680  2.34154e-23  1.27073e-12
  690  3.56775e-23  1.29098e-12
  700  5.36998e-23  1.31064e-12
  800  1.88783e-21   1.5417e-12
  900  3.12138e-20  1.81364e-12
 1000  3.07888e-19  2.16083e-12
 1100  2.06532e-18  2.57455e-12
 1200  1.03315e-17  3.05589e-12
 1300   4.0745e-17  3.57394e-12
 1400  1.34964e-16  4.18344e-12
 1500  3.86092e-16   4.8661e-12
 1600  9.79856e-16  5.62789e-12
 1700  2.25444e-15  6.48169e-12
 1800  4.75313e-15  7.39714e-12
 1900  9.36831e-15  8.42896e-12
 2000  1.72984e-14  9.51568e-12
 2100  3.03116e-14  1.06947e-11
 2200  5.08222e-14  1.19867e-11
 2300  8.18168e-14  1.33714e-11
 2400  1.27836e-13  1.49387e-11
 2500  1.91537e-13  1.64526e-11
 2600  2.80678e-13  1.81596e-11
 2700  4.01052e-13  1.99722e-11
 2800  5.60018e-13  2.18851e-11
 2900  7.66162e-13   2.3906e-11
 3000  1.02922e-12  2.60431e-11
