Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  7.21722e-44  2.30381e-12
  260  1.18252e-42  2.08203e-12
  270  1.55881e-41  1.87477e-12
  280  1.75862e-40  1.74876e-12
  290  1.66825e-39  1.62774e-12
  300  1.33261e-38  1.48842e-12
  310  9.44318e-38  1.38772e-12
  320  5.96429e-37  1.30831e-12
  330  3.38881e-36  1.24449e-12
  340  1.74861e-35  1.19364e-12
  350  8.27465e-35  1.15536e-12
  360  3.56831e-34  1.11253e-12
  370  1.43331e-33  1.08165e-12
  380  5.39637e-33   1.0617e-12
  390  1.88937e-32  1.03789e-12
  400  6.29856e-32  1.02935e-12
  410  1.96141e-31  1.01139e-12
  420  5.76785e-31  9.91104e-13
  430   1.6316e-30  9.82989e-13
  440  4.39517e-30  9.73451e-13
  450  1.14279e-29  9.72561e-13
  460   2.8473e-29  9.70405e-13
  470  6.80988e-29  9.66154e-13
  480  1.59283e-28  9.75518e-13
  490  3.52909e-28  9.65377e-13
  500  7.67307e-28  9.68048e-13
  510  1.63622e-27  9.81228e-13
  520  3.33894e-27  9.79256e-13
  530  6.71188e-27  9.88896e-13
  540  1.31487e-26  9.98214e-13
  550  2.50807e-26  1.00492e-12
  560  4.67293e-26  1.01087e-12
  570  8.52806e-26   1.0177e-12
  580  1.53547e-25  1.03167e-12
  590  2.71449e-25  1.04696e-12
  600  4.71697e-25  1.06377e-12
  610  8.02442e-25  1.07683e-12
  620  1.33772e-24  1.08615e-12
  630  2.19786e-24  1.09702e-12
  640  3.56086e-24  1.10927e-12
  650   5.7272e-24  1.12971e-12
  660  9.01068e-24  1.14108e-12
  670  1.40848e-23   1.1603e-12
  680  2.17451e-23  1.18009e-12
  690  3.31681e-23  1.20018e-12
  700  4.99749e-23  1.21973e-12
  800  1.77274e-21  1.44771e-12
  900  2.95164e-20  1.71502e-12
 1000  2.92778e-19  2.05478e-12
 1100  1.97296e-18  2.45943e-12
 1200  9.90724e-18  2.93039e-12
 1300  3.91979e-17  3.43824e-12
 1400  1.30199e-16  4.03574e-12
 1500  3.73354e-16  4.70556e-12
 1600  9.49518e-16  5.45364e-12
 1700  2.18869e-15  6.29263e-12
 1800  4.62209e-15   7.1932e-12
 1900  9.12344e-15  8.20865e-12
 2000  1.68686e-14  9.27925e-12
 2100  2.95939e-14  1.04415e-11
 2200  4.96729e-14  1.17156e-11
 2300  8.00461e-14   1.3082e-11
 2400  1.25183e-13  1.46288e-11
 2500   1.8772e-13  1.61247e-11
 2600  2.75298e-13  1.78115e-11
 2700  3.93646e-13  1.96034e-11
 2800  5.50043e-13  2.14953e-11
 2900  7.52982e-13  2.34948e-11
 3000   1.0121e-12  2.56099e-11
