Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  7.69071e-44  2.45495e-12
  260  1.24356e-42  2.18951e-12
  270  1.61877e-41  1.94688e-12
  280  1.80443e-40  1.79432e-12
  290  1.69209e-39    1.651e-12
  300  1.33678e-38  1.49307e-12
  310  9.37227e-38   1.3773e-12
  320  5.85897e-37   1.2852e-12
  330  3.29607e-36  1.21044e-12
  340  1.68449e-35  1.14987e-12
  350  7.89724e-35  1.10266e-12
  360  3.37487e-34  1.05222e-12
  370  1.34374e-33  1.01405e-12
  380  5.01597e-33  9.86855e-13
  390  1.74159e-32  9.56706e-13
  400  5.75881e-32  9.41136e-13
  410  1.77912e-31  9.17394e-13
  420  5.19131e-31  8.92036e-13
  430  1.45739e-30  8.78032e-13
  440  3.89679e-30  8.63067e-13
  450  1.00585e-29  8.56017e-13
  460  2.48827e-29  8.48041e-13
  470  5.90964e-29  8.38433e-13
  480   1.3728e-28  8.40761e-13
  490  3.02114e-28  8.26427e-13
  500  6.52529e-28  8.23241e-13
  510  1.38243e-27  8.29036e-13
  520  2.80307e-27  8.22094e-13
  530  5.59935e-27  8.24981e-13
  540  1.09016e-26  8.27618e-13
  550  2.06682e-26  8.28123e-13
  560  3.82781e-26  8.28054e-13
  570  6.94465e-26  8.28744e-13
  580  1.24314e-25  8.35252e-13
  590  2.18516e-25  8.42799e-13
  600  3.77583e-25   8.5152e-13
  610  6.38781e-25  8.57206e-13
  620  1.05907e-24  8.59907e-13
  630   1.7307e-24  8.63845e-13
  640  2.78913e-24  8.68862e-13
  650  4.46252e-24  8.80249e-13
  660  6.98475e-24  8.84526e-13
  670  1.08625e-23  8.94848e-13
  680  1.66862e-23  9.05549e-13
  690  2.53258e-23  9.16408e-13
  700  3.79724e-23  9.26788e-13
  800  1.28695e-21  1.05099e-12
  900   2.0582e-20   1.1959e-12
 1000  1.96971e-19  1.38239e-12
 1100  1.28547e-18  1.60243e-12
 1200  6.27173e-18  1.85507e-12
 1300  2.41771e-17  2.12069e-12
 1400  7.84361e-17  2.43125e-12
 1500  2.20149e-16  2.77465e-12
 1600  5.49036e-16  3.15343e-12
 1700  1.24307e-15  3.57392e-12
 1800  2.58225e-15  4.01867e-12
 1900  5.02028e-15   4.5169e-12
 2000  9.15288e-15   5.0349e-12
 2100  1.58503e-14  5.59239e-12
 2200  2.62852e-14  6.19952e-12
 2300  4.18843e-14  6.84518e-12
 2400  6.48191e-14  7.57467e-12
 2500  9.62516e-14  8.26777e-12
 2600  1.39865e-13  9.04913e-12
 2700  1.98274e-13  9.87394e-12
 2800  2.74809e-13  1.07394e-11
 2900  3.73335e-13  1.16489e-11
 3000  4.98201e-13  1.26063e-11
