Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  8.83635e-44  2.81751e-12
  260  1.43709e-42  2.52664e-12
  270  1.88155e-41  2.25887e-12
  280  2.10955e-40  2.09307e-12
  290  1.98974e-39  1.93618e-12
  300  1.58112e-38  1.76026e-12
  310  1.11504e-37  1.63231e-12
  320  7.01165e-37  1.53111e-12
  330  3.96788e-36   1.4495e-12
  340  2.03987e-35  1.38405e-12
  350  9.62044e-35  1.33401e-12
  360  4.13593e-34  1.27944e-12
  370  1.65668e-33  1.23923e-12
  380  6.22151e-33  1.21203e-12
  390  2.17328e-32  1.18083e-12
  400  7.23001e-32  1.16734e-12
  410  2.24728e-31  1.14346e-12
  420  6.59755e-31  1.11726e-12
  430  1.86356e-30  1.10503e-12
  440  5.01348e-30   1.0914e-12
  450  1.30208e-29  1.08763e-12
  460  3.24098e-29  1.08259e-12
  470  7.74494e-29  1.07534e-12
  480  1.81027e-28  1.08334e-12
  490  4.00855e-28  1.06979e-12
  500  8.71159e-28  1.07055e-12
  510  1.85704e-27  1.08298e-12
  520  3.78868e-27  1.07876e-12
  530  7.61493e-27  1.08739e-12
  540  1.49172e-26  1.09571e-12
  550  2.84555e-26   1.1012e-12
  560  5.30244e-26  1.10592e-12
  570  9.67898e-26  1.11163e-12
  580   1.7432e-25  1.12517e-12
  590  3.08283e-25  1.14017e-12
  600  5.35932e-25  1.15683e-12
  610  9.12164e-25  1.16943e-12
  620  1.52146e-24  1.17798e-12
  630  2.50126e-24  1.18824e-12
  640  4.05508e-24  1.20001e-12
  650  6.52668e-24  1.22065e-12
  660  1.02762e-23  1.23149e-12
  670  1.60758e-23   1.2508e-12
  680  2.48397e-23  1.27073e-12
  690  3.79216e-23  1.29098e-12
  700   5.7189e-23  1.31064e-12
  800  2.05048e-21   1.5417e-12
  900  3.45728e-20  1.81364e-12
 1000  3.47575e-19  2.16083e-12
 1100  2.37457e-18  2.57455e-12
 1200  1.20873e-17  3.05589e-12
 1300  4.84626e-17  3.57394e-12
 1400  1.63049e-16  4.18344e-12
 1500  4.73324e-16   4.8661e-12
 1600  1.21793e-15  5.62789e-12
 1700  2.83876e-15  6.48169e-12
 1800  6.05842e-15  7.39714e-12
 1900  1.20785e-14  8.42896e-12
 2000  2.25443e-14  9.51568e-12
 2100  3.99062e-14  1.06947e-11
 2200  6.75509e-14  1.19867e-11
 2300  1.09731e-13  1.33714e-11
 2400  1.72913e-13  1.49387e-11
 2500  2.61165e-13  1.64526e-11
 2600  3.85627e-13  1.81596e-11
 2700  5.54985e-13  1.99722e-11
 2800  7.80264e-13  2.18851e-11
 2900  1.07441e-12   2.3906e-11
 3000  1.45219e-12  2.60431e-11
