Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  1.07946e-43  2.81751e-12
  260  1.74149e-42  2.52664e-12
  270  2.26297e-41  2.25887e-12
  280  2.51928e-40  2.09307e-12
  290  2.36038e-39  1.93618e-12
  300  1.86381e-38  1.76026e-12
  310  1.30652e-37  1.63231e-12
  320  8.16865e-37  1.53111e-12
  330  4.59727e-36   1.4495e-12
  340  2.35099e-35  1.38405e-12
  350  1.10315e-34  1.33401e-12
  360   4.7193e-34  1.27944e-12
  370  1.88137e-33  1.23923e-12
  380  7.03277e-33  1.21203e-12
  390  2.44564e-32  1.18083e-12
  400  8.10055e-32  1.16734e-12
  410  2.50712e-31  1.14346e-12
  420  7.32966e-31  1.11726e-12
  430  2.06188e-30  1.10503e-12
  440  5.52479e-30   1.0914e-12
  450  1.42922e-29  1.08763e-12
  460  3.54368e-29  1.08259e-12
  470  8.43602e-29  1.07534e-12
  480   1.9644e-28  1.08334e-12
  490  4.33376e-28  1.06979e-12
  500    9.384e-28  1.07055e-12
  510  1.99317e-27  1.08298e-12
  520  4.05196e-27  1.07876e-12
  530  8.11549e-27  1.08739e-12
  540  1.58426e-26  1.09571e-12
  550  3.01169e-26   1.1012e-12
  560  5.59296e-26  1.10592e-12
  570   1.0175e-25  1.11163e-12
  580  1.82643e-25  1.12517e-12
  590  3.21938e-25  1.14017e-12
  600  5.57843e-25  1.15683e-12
  610  9.46386e-25  1.16943e-12
  620  1.57349e-24  1.17798e-12
  630  2.57857e-24  1.18824e-12
  640  4.16726e-24  1.20001e-12
  650  6.68633e-24  1.22065e-12
  660   1.0495e-23  1.23149e-12
  670  1.63677e-23   1.2508e-12
  680  2.52139e-23  1.27073e-12
  690  3.83767e-23  1.29098e-12
  700  5.77024e-23  1.31064e-12
  800   2.0104e-21   1.5417e-12
  900  3.30088e-20  1.81364e-12
 1000  3.23778e-19  2.16083e-12
 1100  2.16199e-18  2.57455e-12
 1200   1.0774e-17  3.05589e-12
 1300  4.23531e-17  3.57394e-12
 1400  1.39904e-16  4.18344e-12
 1500  3.99264e-16   4.8661e-12
 1600  1.01116e-15  5.62789e-12
 1700  2.32217e-15  6.48169e-12
 1800  4.88789e-15  7.39714e-12
 1900  9.61975e-15  8.42896e-12
 2000  1.77392e-14  9.51568e-12
 2100  3.10467e-14  1.06947e-11
 2200  5.19981e-14  1.19867e-11
 2300  8.36266e-14  1.33714e-11
 2400  1.30545e-13  1.49387e-11
 2500  1.95432e-13  1.64526e-11
 2600  2.86164e-13  1.81596e-11
 2700  4.08597e-13  1.99722e-11
 2800  5.70173e-13  2.18851e-11
 2900  7.79573e-13   2.3906e-11
 3000  1.04663e-12  2.60431e-11
